bucket,etf,underlying,w_book,frac_sleeve
core_leveraged,CIFU,CIFR,0.0008298755315883199,0.001229445231982696
core_leveraged,GOOX,GOOGL,0.0008298755314642312,0.001229445231798861
core_leveraged,NVDL,NVDA,0.0008298755314491208,0.0012294452317764752
core_leveraged,CWVX,CRWV,0.0008298755314283393,0.0012294452317456878
core_leveraged,QUBX,QUBT,0.00082987553116127,0.0012294452313500296
core_leveraged,URTY,IWM,0.000829875531020621,0.0012294452311416607
whitelist_stock,HMYY,HIMS,0.0008298755308796611,0.004149377654398305
core_leveraged,MSFU,MSFT,0.000829875530862872,0.0012294452309079584
core_leveraged,UBRL,UBER,0.0008298755307667026,0.0012294452307654853
core_leveraged,AMZZ,AMZN,0.0008298755305028915,0.001229445230374654
core_leveraged,NBIL,NBIS,0.0008298755302885441,0.0012294452300571023
core_leveraged,ARCX,ACHR,0.0008298755302676938,0.001229445230026213
core_leveraged,GGLL,GOOGL,0.0008298755302038278,0.0012294452299315966
core_leveraged,HUTG,HUT,0.0008298755300274991,0.001229445229670369
core_leveraged,CRWG,CRWV,0.0008298755300065148,0.0012294452296392811
core_leveraged,NUGT,GDX,0.0008298755299531954,0.0012294452295602894
core_leveraged,NVDB,NVDA,0.0008298755299256414,0.0012294452295194688
core_leveraged,AAPB,AAPL,0.0008298755299043906,0.0012294452294879861
core_leveraged,COHX,COHR,0.0008298755298523522,0.001229445229410892
core_leveraged,GDXU,GDX,0.0008298755296602084,0.0012294452291262345
core_leveraged,NBIG,NBIS,0.0008298755296445124,0.0012294452291029812
core_leveraged,JNUG,GDXJ,0.0008298755295939375,0.0012294452290280554
core_leveraged,AMZU,AMZN,0.0008298755295363484,0.0012294452289427383
core_leveraged,GEVX,GEV,0.0008298755294595321,0.0012294452288289363
core_leveraged,NUG,NU,0.0008298755293693669,0.0012294452286953582
core_leveraged,CONL,COIN,0.0008298755293442923,0.0012294452286582109
core_leveraged,AMDL,AMD,0.0008298755293379747,0.0012294452286488514
core_leveraged,AMUU,AMD,0.0008298755292339163,0.0012294452284946909
core_leveraged,ETRL,ETOR,0.000829875529015547,0.0012294452281711805
core_leveraged,LLYX,LLY,0.000829875528820248,0.0012294452278818488
core_leveraged,TSLI,TSLA,0.0008298755288000805,0.001229445227851971
core_leveraged,AMDG,AMD,0.0008298755285443326,0.0012294452274730853
whitelist_stock,QBY,QBTS,0.0008298755284066891,0.004149377642033445
core_leveraged,XRPK,XRPZ,0.000829875528286194,0.0012294452270906577
core_leveraged,FLYT,FLY,0.0008298755282849064,0.0012294452270887502
core_leveraged,MUU,MU,0.0008298755282388051,0.001229445227020452
core_leveraged,PALU,PANW,0.0008298755282351987,0.0012294452270151092
core_leveraged,SOXL,SOXX,0.0008298755282057915,0.001229445226971543
core_leveraged,TSLL,TSLA,0.0008298755282000062,0.001229445226962972
core_leveraged,TSLR,TSLA,0.0008298755280779712,0.0012294452267821794
core_leveraged,SRPU,SRPT,0.0008298755280569104,0.0012294452267509783
core_leveraged,LRCU,LRCX,0.0008298755277850565,0.0012294452263482318
core_leveraged,AVGG,AVGO,0.0008298755276786263,0.0012294452261905574
core_leveraged,TSMU,TSM,0.0008298755276655331,0.0012294452261711602
core_leveraged,PANG,PANW,0.0008298755276648412,0.001229445226170135
core_leveraged,SOFX,SOFI,0.000829875527655674,0.001229445226156554
core_leveraged,RGTX,RGTI,0.0008298755276389294,0.0012294452261317472
core_leveraged,ASMG,ASML,0.0008298755276243161,0.001229445226110098
core_leveraged,RBLU,RBLX,0.000829875527613039,0.001229445226093391
core_leveraged,MSTX,MSTR,0.0008298755275992404,0.0012294452260729488
core_leveraged,KORU,EWY,0.0008298755275654578,0.0012294452260229003
core_leveraged,RKLX,RKLB,0.0008298755275453266,0.0012294452259930765
core_leveraged,ROBN,HOOD,0.0008298755275381239,0.0012294452259824055
core_leveraged,TSLT,TSLA,0.0008298755274654914,0.001229445225874802
core_leveraged,TSMG,TSM,0.0008298755274452704,0.001229445225844845
core_leveraged,COIG,COIN,0.0008298755274010064,0.0012294452257792688
core_leveraged,VRTL,VRT,0.0008298755273951036,0.0012294452257705238
core_leveraged,ELIL,LLY,0.0008298755272634422,0.0012294452255754698
core_leveraged,MULL,MU,0.0008298755271185768,0.0012294452253608543
core_leveraged,HOOX,HOOD,0.0008298755270388904,0.0012294452252428006
core_leveraged,RIOX,RIOT,0.0008298755270267903,0.0012294452252248744
core_leveraged,INTW,INTC,0.0008298755270192445,0.0012294452252136956
core_leveraged,SNAG,SNAP,0.0008298755269879355,0.0012294452251673117
core_leveraged,HIMZ,HIMS,0.0008298755269183211,0.0012294452250641793
