symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,17734.75219152,17734.75219152,1
DUST,flow_program,13743.2107008,13743.2107008,1
ZSL,flow_program,11965.685214599998,11965.685214599998,1
SDS,flow_program,10725.729249099999,10725.729249099999,1
FAZ,flow_program,9822.151724199999,9822.151724199999,1
TSLQ,flow_program,8274.0907337,8274.0907337,1
SQQQ,flow_program,7710.983857499999,7710.983857499999,1
LABD,flow_program,7654.683788499999,7654.683788499999,1
NVDQ,flow_program,5934.1796241,5934.1796241,1
EWV,flow_program,3034.6687332449997,3034.6687332449997,1
SOXS,flow_program,1325.4615521399999,1325.4615521399999,1
TSYY,flow_program,-67.55094059999999,67.55094059999999,1
NVYY,flow_program,-98.29811145000001,98.29811145000001,1
TQQY,flow_program,-472.4630384256001,472.4630384256001,1
