etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.031268,0.75
ASTN,ASTS,-2.002259,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.010993,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.991304,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.021017,0.75
CONI,COIN,-1.923181,0.75
CRCD,CRCL,-2.013912,0.75
CORD,CRWV,-2.008562,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002957,0.75
SDOW,DIA,-2.999631,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-1.99421,0.75
BTCZ,IBIT,-1.999747,0.75
IONZ,IONQ,-2.028103,0.75
IREZ,IREN,-2.012743,0.75
TWM,IWM,-2.001316,0.75
TZA,IWM,-2.997033,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.991092,0.75
MSTZ,MSTR,-2.002668,0.75
SMST,MSTR,-1.976281,0.75
NBIZ,NBIS,-2.035538,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.003544,0.75
NVDS,NVDA,-1.490398,0.75
OKLS,OKLO,-2.003897,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-1.997106,0.75
QID,QQQ,-1.997244,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.98427,0.75
RKLZ,RKLB,-2.015673,0.75
SMCZ,SMCI,-2.028676,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.005676,0.75
SPXS,SPY,-2.996391,0.75
SPXU,SPY,-2.99483,0.75
UVIX,SVIX,-1.982464,0.75
TBT,TLT,-1.998591,0.75
TBX,TLT,-1.371522,0.75
TMV,TLT,-2.990511,0.75
TSDD,TSLA,-2.011393,0.75
STSM,TSM,-2.006626,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.740545,0.75
DUG,XLE,-1.991233,0.75
SKF,XLF,-1.997267,0.75
FNGD,XLK,-2.915821,0.75
REW,XLK,-2.005645,0.75
TECS,XLK,-2.996739,0.75
WEBS,XLK,-2.79279,0.75
DRIP,XOP,-1.996494,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
