underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
SMCI,"SMCI, SMYY",3.637978807091713e-12,57291.5965979664,2
AMD,"AMD, AMYY",0.0,70989.06556764,2
IBIT,"IBIT, XBTY",0.0,81036.07734749999,2
IONQ,"IONQ, IOYY",0.0,64945.257709928395,2
META,"FBYY, META",0.0,45201.66291017999,2
MSTR,"MSTR, MTYY",0.0,87013.9189056,2
QBTS,"QBTS, QBY",0.0,9054.164482440001,2
TSLA,"TSLA, TSYY",-1.0473907229862789,118.26323657701373,2
NVDA,"NVDA, NVYY",-6.65408771197562,154.38944452002437,2
QQQ,"QQQ, TQQY",-97.37323158173302,751.675000947067,2
HOOD,"HOOD, HOYY",-430.65166472498095,35748.82881549862,2
HIMS,"HIMS, HMYY",-463.61667579863024,8752.811088921371,2
COIN,"COIN, COYY",-1027.7191586621339,93413.18264853787,2
BABA,"BABA, BBYY",-1079.4590284682672,48461.44525453172,2
RIOT,"RIOT, RTYY",-8781.606180500567,41109.776545299435,2
MARA,"MAAY, MARA",-15208.195404714104,18718.9544594279,2
