underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
UPS,UPSG,-172.822085736,172.822085736,1
PYPL,PYPG,-585.99143395,585.99143395,1
AAPL,AAPB,-604.3158961536,604.3158961536,1
NU,NUG,-644.41148277,644.41148277,1
CMG,CMGG,-668.6788691254,668.6788691254,1
QCOM,QCMU,-719.43697056,719.43697056,1
NFLX,NFLU,-723.6923866199999,723.6923866199999,1
GME,GMEU,-744.1643664000001,744.1643664000001,1
UNH,UNHG,-786.4206756,786.4206756,1
XOP,GUSH,-796.9550798,796.9550798,1
TTD,TTDU,-843.8970684599999,843.8970684599999,1
KWEB,CWEB,-967.94487186,967.94487186,1
SPOT,SPOG,-990.1761994851998,990.1761994851998,1
B,BU,-1029.203934408,1029.203934408,1
META,FBL,-1043.58958704,1043.58958704,1
ETOR,ETRL,-1053.239184336,1053.239184336,1
SATS,SATG,-1068.85986285,1068.85986285,1
NIO,NIOG,-1109.6407279999999,1109.6407279999999,1
UBER,UBRL,-1120.5840984512,1120.5840984512,1
VRT,VRTL,-1199.0680561200002,1199.0680561200002,1
DKNG,DKNX,-1213.893029802,1213.893029802,1
MSFT,"MSFU, MSFX",-1214.03414307,1214.03414307,2
ALB,ALBG,-1228.2287422020001,1228.2287422020001,1
ARKK,TARK,-1291.8961041885,1291.8961041885,1
ADBE,ADBG,-1322.34671328,1322.34671328,1
GLW,GLWG,-1325.60686232,1325.60686232,1
NVO,NVOX,-1356.0040793,1356.0040793,1
CRM,CRMG,-1384.36714635,1384.36714635,1
BA,"BOEG, BOEU",-1406.0166886772,1406.0166886772,2
VST,VSTL,-1437.29016333,1437.29016333,1
CVNA,CVNX,-1439.2811458078,1439.2811458078,1
JOBY,JOBX,-1483.1536752,1483.1536752,1
MARA,MRAL,-1499.02158978,1499.02158978,1
XPEV,XPEG,-1499.4545244,1499.4545244,1
IWM,URTY,-1510.2651078199997,1510.2651078199997,1
SHOP,SHPU,-1550.3575230000001,1550.3575230000001,1
NET,NETG,-1569.9302437499998,1569.9302437499998,1
QQQ,TQQQ,-1602.1421234700001,1602.1421234700001,1
SPY,SPXL,-1607.0497928999998,1607.0497928999998,1
TSM,"TSMG, TSMU",-1646.2821507444,1646.2821507444,2
FXI,YINN,-1666.51210188,1666.51210188,1
NEM,NEMG,-1676.485141578,1676.485141578,1
GDXJ,JNUG,-1699.437324,1699.437324,1
DNN,DNNG,-1724.2533398944,1724.2533398944,1
BABA,BABX,-1802.2828823999998,1802.2828823999998,1
PANW,"PALU, PANG",-1828.5794932620001,1828.5794932620001,2
BULL,"BULG, BULX",-1835.7241885112003,1835.7241885112003,2
LEU,LEUX,-1842.0556096799996,1842.0556096799996,1
ANET,ANEL,-1853.630127,1853.630127,1
MRVL,MVLL,-1861.9895984799998,1861.9895984799998,1
NOW,NOWL,-1864.9477368000003,1864.9477368000003,1
APH,APHU,-1878.2034374999998,1878.2034374999998,1
OKTA,OKTG,-1894.7539870865999,1894.7539870865999,1
URA,URAA,-1994.2019824,1994.2019824,1
XYZ,XYZG,-2013.3351112031999,2013.3351112031999,1
KTOS,KTUP,-2038.5054180500001,2038.5054180500001,1
TER,TERG,-2038.6792255999999,2038.6792255999999,1
KLAC,KLAG,-2075.3447245344,2075.3447245344,1
RBLX,RBLU,-2167.77583002,2167.77583002,1
CEG,CEGX,-2256.4557660800006,2256.4557660800006,1
COPX,COPZ,-2296.98438858,2296.98438858,1
PAAS,PAAU,-2299.4697726,2299.4697726,1
FCX,FCXG,-2307.72653748,2307.72653748,1
GEV,"GEVG, GEVX",-2370.23037936,2370.23037936,2
ZETA,ZETX,-2479.01963024,2479.01963024,1
MP,"MPG, MPL",-2502.4515048897,2502.4515048897,2
AFRM,AFRU,-2520.3021865,2520.3021865,1
DELL,DLLL,-2599.437616533,2599.437616533,1
SNAP,SNAG,-2616.5427489791996,2616.5427489791996,1
LRCX,LRCU,-2653.5768112799997,2653.5768112799997,1
SMCI,SMCL,-2832.4881193839997,2832.4881193839997,1
PONY,PONX,-2833.8823314999995,2833.8823314999995,1
LAC,LACG,-2869.202668332,2869.202668332,1
SOUN,SOUX,-2907.40071216,2907.40071216,1
QS,QSU,-2955.4321447499997,2955.4321447499997,1
AVGO,"AVGG, AVL",-2963.00822108,2963.00822108,2
MSTR,"MSTU, MSTX",-3018.08066556,3018.08066556,2
LMND,LMNX,-3035.0441912,3035.0441912,1
RIOT,RIOX,-3060.3255088,3060.3255088,1
AVAV,AVXX,-3104.03400192,3104.03400192,1
SOFI,"SOFA, SOFX",-3323.4069984959997,3323.4069984959997,2
MRNA,MRNX,-3346.0211187679997,3346.0211187679997,1
TEM,TEMT,-3381.4646126499997,3381.4646126499997,1
EWW,MEXX,-3429.2028002399998,3429.2028002399998,1
CORZ,COZX,-3432.1893231999998,3432.1893231999998,1
COHR,COHX,-3463.40610231,3463.40610231,1
RDDT,RDTL,-3474.1042212499997,3474.1042212499997,1
ORCL,"ORCU, ORCX",-3668.4396476,3668.4396476,2
ARM,ARMG,-3689.8817022800004,3689.8817022800004,1
SNOW,SNOU,-3748.3444352199995,3748.3444352199995,1
TDOG,TXXD,-3789.0025446167997,3789.0025446167997,1
IBIT,"BITU, BITX, BTCL",-3805.01492519,3805.01492519,3
DUOL,DUOG,-3894.023803956,3894.023803956,1
SOXX,SOXL,-4142.5089216,4142.5089216,1
OSCR,OSCX,-4227.971387528,4227.971387528,1
RKT,RKTL,-4379.33376622,4379.33376622,1
SRPT,SRPU,-4388.311571022,4388.311571022,1
GDX,"GDXU, NUGT",-4389.866983149999,4389.866983149999,2
UPST,UPSX,-4467.2094953999995,4467.2094953999995,1
EWY,KORU,-4534.086929800001,4534.086929800001,1
ACHR,ARCX,-4607.27600102,4607.27600102,1
TSLA,"TSLI, TSLL, TSLR, TSLT",-4735.4005978215,4735.4005978215,4
UEC,UECG,-4965.341670536,4965.341670536,1
CRWD,CRWL,-5117.792473289599,5117.792473289599,1
PLTR,"PLTA, PLTU, PTIR",-5141.2028881078,5141.2028881078,3
FIG,FIGG,-5182.551039080001,5182.551039080001,1
SOEZ,SOLT,-5212.2392124,5212.2392124,1
APP,APPX,-5477.9386441999995,5477.9386441999995,1
BLSH,BLSG,-5766.594125171599,5766.594125171599,1
INTC,INTW,-5767.94469348,5767.94469348,1
U,UNX,-5788.5771756024005,5788.5771756024005,1
CLS,CSEX,-5843.711446560001,5843.711446560001,1
HIMS,HIMZ,-6228.7690967,6228.7690967,1
GEMI,GEMG,-6257.268738396,6257.268738396,1
SBET,SBTU,-6435.232184150002,6435.232184150002,1
MU,"MULL, MUU",-6730.497558789999,6730.497558789999,2
BBAI,BAIG,-6771.130611330299,6771.130611330299,1
WDC,WDCX,-7177.33136736,7177.33136736,1
QUBT,QUBX,-7308.40001125,7308.40001125,1
AMD,"AMDG, AMDL, AMUU",-7760.103544564,7760.103544564,3
FIGR,FGRU,-7801.8097489599995,7801.8097489599995,1
RKLB,RKLX,-7902.458540799999,7902.458540799999,1
ASML,ASMU,-10223.280122659999,10223.280122659999,1
TSUI,TXXS,-10678.881136231,10678.881136231,1
OPEN,"OPEG, OPEX",-10852.4723346932,10852.4723346932,2
HOOD,"HODU, HOOG, HOOX, ROBN",-10874.9369685788,10874.9369685788,4
RGTI,"RGTU, RGTX",-11033.23694838,11033.23694838,2
WULF,WULX,-11856.349520400001,11856.349520400001,1
PL,PLU,-11869.44232858,11869.44232858,1
USAR,USGG,-12037.061187984002,12037.061187984002,1
UUUU,UUUG,-12185.5845582,12185.5845582,1
RDW,RDWU,-12421.52111688,12421.52111688,1
COIN,"COIA, COIG, CONL, CONX",-12611.448901759199,12611.448901759199,4
GLXY,"GLGG, GLXU",-12848.632366576,12848.632366576,2
CRDO,CRDU,-12992.36230047,12992.36230047,1
HUT,HUTG,-13521.776203814397,13521.776203814397,1
ETHA,"ETHT, ETHU, ETU",-13674.489718229997,13674.489718229997,3
NVDA,"NVDB, NVDL, NVDU",-13755.73566852,13755.73566852,3
XRPZ,"UXRP, XRPT, XXRP",-13840.398092429998,13840.398092429998,3
