bucket,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
bucket_1,-14424.080857001767,59835.89707764051,645.654394168227,-15.7,-722.79,-16511.22880351344,1833.2331886007883,-1.82,0.0,30639.16499989431
bucket_2,20531.638146605466,33906.86938256441,1.3397673737714442,0.0,-36914.78,-3905.7344994327314,2663.5965689819304,0.0,0.0,16282.929366092845
bucket_3,30.564975440000012,9617.705093999999,0.0,0.0,-565.99,-1388.4299999999998,111.23333056871871,0.0,0.0,7805.083400008718
bucket_4,3379.5723511062993,1363.0129537950854,30.735838458001595,0.0,0.0,-332.7866970538288,152.8669118485628,0.0,0.0,4593.40135815412
