underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
NBIS,"NBIS, NBIZ",23860.907207680004,23860.907207680004,2
IREN,"IREN, IREZ",18070.530112139997,18070.530112139997,2
CRWV,"CORD, CRWV",17805.279756,17805.279756,2
QBTS,"QBTS, QBTZ",16472.1243521,16472.1243521,2
ASTS,"ASTN, ASTS",11778.120624120002,11778.120624120002,2
CRCL,"CRCD, CRCL",5906.884093110001,5906.884093110001,2
MSTR,"MSDD, MSTR, MSTZ",5029.9520552,5029.9520552,3
RKLB,"RKLB, RKLZ",1896.9912674999998,1896.9912674999998,2
AMD,AMD,0.0,0.0,1
BLSH,BLSH,0.0,0.0,1
BE,BE,0.0,0.0,1
AXON,AXON,0.0,0.0,1
DKNG,DKNG,0.0,0.0,1
IONQ,IONQ,0.0,0.0,1
IBIT,IBIT,0.0,0.0,1
HOOD,HOOD,0.0,0.0,1
IWM,IWM,0.0,0.0,1
LITE,LITE,0.0,0.0,1
KEEL,KEEL,0.0,0.0,1
COIN,COIN,0.0,0.0,1
BMNR,BMNR,0.0,0.0,1
NEM,NEM,0.0,0.0,1
MU,MU,0.0,0.0,1
OKLO,OKLO,0.0,0.0,1
NET,NET,0.0,0.0,1
OKTA,OKTA,0.0,0.0,1
QQQ,QQQ,0.0,0.0,1
QS,QS,0.0,0.0,1
NVDA,NVDA,0.0,0.0,1
RGTI,RGTI,0.0,0.0,1
SMCI,SMCI,0.0,0.0,1
SNDK,SNDK,0.0,0.0,1
SPY,SPY,0.0,0.0,1
TSLA,TSLA,0.0,0.0,1
TSM,TSM,0.0,0.0,1
XOP,XOP,0.0,0.0,1
XRPZ,XRPZ,0.0,0.0,1
