underlying,symbol,leg_class,net_notional_usd,gross_notional_usd,_ratio_b1,_ratio_b2,_ratio_b4
AAOI,AAOI,spot,70870.38,70870.38,1.0,0.0,0.0
AAOI,AAOX,core_levered_etf,-72362.5223353,72362.5223353,1.0,0.0,0.0
AAPL,AAPL,spot,616.66,616.66,1.0,0.0,0.0
AAPL,AAPB,core_levered_etf,-630.0116114808,630.0116114808,1.0,0.0,0.0
ACHR,ACHR,spot,3619.56,3619.56,1.0,0.0,0.0
ACHR,ARCX,core_levered_etf,-4298.14721882,4298.14721882,1.0,0.0,0.0
ADBE,ADBE,spot,1202.45,1202.45,1.0,0.0,0.0
ADBE,ADBG,core_levered_etf,-1232.271898,1232.271898,1.0,0.0,0.0
AFRM,AFRM,spot,1870.29,1870.29,1.0,0.0,0.0
AFRM,AFRU,core_levered_etf,-2289.56429509,2289.56429509,1.0,0.0,0.0
ALAB,ALAB,spot,15617.28,15617.28,1.0,0.0,0.0
ALAB,LABX,core_levered_etf,-16802.29821504,16802.29821504,1.0,0.0,0.0
ALB,ALB,spot,1222.83,1222.83,1.0,0.0,0.0
ALB,ALBG,core_levered_etf,-1370.3870835928,1370.3870835928,1.0,0.0,0.0
AMD,AMD,spot,53412.34,53412.34,0.4050844820680015,0.5949155179319985,0.0
AMD,AMDG,core_levered_etf,-2696.13033384,2696.13033384,1.0,0.0,0.0
AMD,AMDL,core_levered_etf,-3330.5362200000004,3330.5362200000004,1.0,0.0,0.0
AMD,AMUU,core_levered_etf,-3716.1807456,3716.1807456,1.0,0.0,0.0
AMD,AMYY,yieldboost_etf,-31775.82991506,31775.82991506,0.0,1.0,0.0
AMZN,AMZN,spot,25998.420000000002,25998.420000000002,1.0,0.0,0.0
AMZN,AMZU,core_levered_etf,-84.78982078,84.78982078,1.0,0.0,0.0
AMZN,AMZZ,core_levered_etf,-26617.199595674403,26617.199595674403,1.0,0.0,0.0
ANET,ANET,spot,1422.09,1422.09,1.0,0.0,0.0
ANET,ANEL,core_levered_etf,-1751.2868497499999,1751.2868497499999,1.0,0.0,0.0
APH,APH,spot,2093.4,2093.4,1.0,0.0,0.0
APH,APHU,core_levered_etf,-2417.2077534,2417.2077534,1.0,0.0,0.0
APP,APP,spot,5656.64,5656.64,1.0,0.0,0.0
APP,APPX,core_levered_etf,-6195.91584934,6195.91584934,1.0,0.0,0.0
ARKK,ARKK,spot,1544.6000000000001,1544.6000000000001,1.0,0.0,0.0
ARKK,TARK,core_levered_etf,-1602.197917056,1602.197917056,1.0,0.0,0.0
ARM,ARM,spot,3212.2000000000003,3212.2000000000003,1.0,0.0,0.0
ARM,ARMG,core_levered_etf,-3864.59948784,3864.59948784,1.0,0.0,0.0
ASML,ASML,spot,1632.03,1632.03,1.0,0.0,0.0
ASML,ASMU,core_levered_etf,-1570.8414597199999,1570.8414597199999,1.0,0.0,0.0
ASTS,ASTN,inverse_b4_etf,11146.34081,11146.34081,0.0,0.0,1.0
ASTS,ASTS,spot_b4_structural,4069.8,4069.8,2.0,0.0,-1.0
ASTS,ASTX,core_levered_etf,-34723.3891728,34723.3891728,1.0,0.0,0.0
AVAV,AVAV,spot,3462.9399999999996,3462.9399999999996,1.0,0.0,0.0
AVAV,AVXX,core_levered_etf,-3816.546751600001,3816.546751600001,1.0,0.0,0.0
AVGO,AVGO,spot,2954.0699999999997,2954.0699999999997,1.0,0.0,0.0
AVGO,AVL,core_levered_etf,-1288.5938989,1288.5938989,1.0,0.0,0.0
AVGO,AVGG,core_levered_etf,-1731.3422716799998,1731.3422716799998,1.0,0.0,0.0
BA,BA,spot,1313.4,1313.4,1.0,0.0,0.0
BA,BOEG,core_levered_etf,-702.95225739,702.95225739,1.0,0.0,0.0
BA,BOEU,core_levered_etf,-780.6373238400001,780.6373238400001,1.0,0.0,0.0
BABA,BABA,spot,29778.1,29778.1,0.10365692038108533,0.8963430796189147,0.0
BABA,BABU,core_levered_etf,-557.383978092,557.383978092,1.0,0.0,0.0
BABA,BABX,core_levered_etf,-1667.90735925,1667.90735925,1.0,0.0,0.0
BABA,BBYY,yieldboost_etf,-26691.3938592,26691.3938592,0.0,1.0,0.0
BBAI,BBAI,spot,5864.54,5864.54,1.0,0.0,0.0
BBAI,BAIG,core_levered_etf,-6389.760298310401,6389.760298310401,1.0,0.0,0.0
BE,BEZ,inverse_b4_etf,17156.0736,17156.0736,0.0,0.0,1.0
BE,BE,spot_b4_structural,16934.399999999998,16934.399999999998,1.7366027172388847,0.0,-0.7366027172388846
BE,BEG,core_levered_etf,-9387.16416864,9387.16416864,1.0,0.0,0.0
BE,BEX,core_levered_etf,-21967.00790796,21967.00790796,1.0,0.0,0.0
BLSH,BLSH,spot,3988.2,3988.2,1.0,0.0,0.0
BLSH,BLSG,core_levered_etf,-4076.703774153599,4076.703774153599,1.0,0.0,0.0
BMNR,BMNR,spot,22579.2,22579.2,1.0,0.0,0.0
BMNR,BMNG,core_levered_etf,-9464.511214799999,9464.511214799999,1.0,0.0,0.0
BMNR,BMNU,core_levered_etf,-12166.777934999998,12166.777934999998,1.0,0.0,0.0
BULL,BULL,spot,1677.6799999999998,1677.6799999999998,1.0,0.0,0.0
BULL,BULG,core_levered_etf,-900.6572133720001,900.6572133720001,1.0,0.0,0.0
CEG,CEG,spot,904.71,904.71,1.0,0.0,0.0
CEG,CEGX,core_levered_etf,-1133.8574687999999,1133.8574687999999,1.0,0.0,0.0
CIFR,CIFR,spot,18416.0,18416.0,1.0,0.0,0.0
CIFR,CIFU,core_levered_etf,-7365.78400525,7365.78400525,1.0,0.0,0.0
CIFR,CIFG,core_levered_etf,-13373.9962288422,13373.9962288422,1.0,0.0,0.0
CLS,CLS,spot,6675.12,6675.12,1.0,0.0,0.0
CLS,CSEX,core_levered_etf,-6674.5497312,6674.5497312,1.0,0.0,0.0
CLSK,CLSK,spot,13207.23,13207.23,1.0,0.0,0.0
CLSK,CLSX,core_levered_etf,-28582.28613,28582.28613,1.0,0.0,0.0
CMG,CMG,spot,484.65000000000003,484.65000000000003,1.0,0.0,0.0
CMG,CMGG,core_levered_etf,-696.074582715,696.074582715,1.0,0.0,0.0
CNC,CNC,spot,2746.08,2746.08,1.0,0.0,0.0
CNC,CNCG,core_levered_etf,-2964.7038586605,2964.7038586605,1.0,0.0,0.0
COHR,COHR,spot,3813.5,3813.5,1.0,0.0,0.0
COHR,COHX,core_levered_etf,-3878.5910961599993,3878.5910961599993,1.0,0.0,0.0
COIN,COIN,spot_b4_structural,60123.34,60123.34,0.19206839360801967,0.8205034637240658,-0.012571857332085412
COIN,COIG,core_levered_etf,-2298.84161733,2298.84161733,1.0,0.0,0.0
COIN,COIA,core_levered_etf,-2726.3307664400004,2726.3307664400004,1.0,0.0,0.0
COIN,CONX,core_levered_etf,-2764.59067786,2764.59067786,1.0,0.0,0.0
COIN,CONL,core_levered_etf,-3320.6074659,3320.6074659,1.0,0.0,0.0
COIN,COYY,yieldboost_etf,-47462.76745407999,47462.76745407999,0.0,1.0,0.0
COPX,COPX,spot,1662.69,1662.69,1.0,0.0,0.0
COPX,COPZ,core_levered_etf,-2025.2725212599998,2025.2725212599998,1.0,0.0,0.0
CORZ,CORZ,spot,4008.2400000000002,4008.2400000000002,1.0,0.0,0.0
CORZ,COZX,core_levered_etf,-4402.3624304,4402.3624304,1.0,0.0,0.0
CRCL,CRCL,spot_b4_structural,21146.510000000002,21146.510000000002,1.3131897435458617,0.0,-0.3131897435458617
CRCL,CRCD,inverse_b4_etf,6622.870043790001,6622.870043790001,0.0,0.0,1.0
CRCL,CCUP,core_levered_etf,-5680.69037718,5680.69037718,1.0,0.0,0.0
CRCL,CRCA,core_levered_etf,-7825.92563605,7825.92563605,1.0,0.0,0.0
CRCL,CRCG,core_levered_etf,-10551.943389330001,10551.943389330001,1.0,0.0,0.0
CRDO,CRDO,spot,13741.679999999998,13741.679999999998,1.0,0.0,0.0
CRDO,CRDU,core_levered_etf,-15763.622622719999,15763.622622719999,1.0,0.0,0.0
CRM,CRM,spot,716.32,716.32,1.0,0.0,0.0
CRM,CRMG,core_levered_etf,-821.47410952,821.47410952,1.0,0.0,0.0
CRML,CRML,spot,112574.86,112574.86,1.0,0.0,0.0
CRML,CRMX,core_levered_etf,-40475.455710199996,40475.455710199996,1.0,0.0,0.0
CRML,CRMU,core_levered_etf,-80108.710914888,80108.710914888,1.0,0.0,0.0
CRWD,CRWD,spot,671.55,671.55,1.0,0.0,0.0
CRWD,CRWL,core_levered_etf,-625.35131484,625.35131484,1.0,0.0,0.0
CRWV,CRWV,spot_b4_structural,29013.86,29013.86,1.439200162254846,0.0,-0.4392001622548459
CRWV,CORD,inverse_b4_etf,16095.32148675,16095.32148675,0.0,0.0,1.0
CRWV,CRWU,core_levered_etf,-13961.31861124,13961.31861124,1.0,0.0,0.0
CRWV,CWVX,core_levered_etf,-14643.6606908,14643.6606908,1.0,0.0,0.0
CRWV,CRWG,core_levered_etf,-15604.772398000001,15604.772398000001,1.0,0.0,0.0
CVNA,CVNA,spot,1473.15,1473.15,1.0,0.0,0.0
DELL,DELL,spot,1525.3999999999999,1525.3999999999999,1.0,0.0,0.0
DELL,DLLL,core_levered_etf,-1999.9553603328004,1999.9553603328004,1.0,0.0,0.0
DKNG,DKNG,spot,1119.07,1119.07,1.0,0.0,0.0
DKNG,DKNX,core_levered_etf,-1091.1299424468002,1091.1299424468002,1.0,0.0,0.0
DNN,DNN,spot,1788.9,1788.9,1.0,0.0,0.0
DNN,DNNG,core_levered_etf,-1918.8767787200002,1918.8767787200002,1.0,0.0,0.0
DUOL,DUOL,spot,3300.88,3300.88,1.0,0.0,0.0
DUOL,DUOG,core_levered_etf,-3584.7234293073006,3584.7234293073006,1.0,0.0,0.0
EOSE,EOSE,spot,28320.120000000003,28320.120000000003,1.0,0.0,0.0
EOSE,EOSU,core_levered_etf,-31990.99941024,31990.99941024,1.0,0.0,0.0
ETHA,ETHA,spot,13105.179999999998,13105.179999999998,1.0,0.0,0.0
ETHA,ETHT,core_levered_etf,-3735.1754208,3735.1754208,1.0,0.0,0.0
ETHA,ETU,core_levered_etf,-4280.93417754,4280.93417754,1.0,0.0,0.0
ETHA,ETHU,core_levered_etf,-4754.8579428,4754.8579428,1.0,0.0,0.0
EWW,EWW,spot,1025.18,1025.18,1.0,0.0,0.0
EWW,MEXX,core_levered_etf,-1061.1969808000001,1061.1969808000001,1.0,0.0,0.0
EWY,EWY,spot,5016.25,5016.25,1.0,0.0,0.0
EWY,KORU,core_levered_etf,-6054.35975992,6054.35975992,1.0,0.0,0.0
FCX,FCX,spot,1222.84,1222.84,1.0,0.0,0.0
FCX,FCXG,core_levered_etf,-1521.27565776,1521.27565776,1.0,0.0,0.0
FIG,FIG,spot,4941.0,4941.0,1.0,0.0,0.0
FIG,FIGG,core_levered_etf,-4858.15252648,4858.15252648,1.0,0.0,0.0
FIGR,FIGR,spot,8734.56,8734.56,1.0,0.0,0.0
FIGR,FGRU,core_levered_etf,-9219.866593824701,9219.866593824701,1.0,0.0,0.0
FLY,FLY,spot,31875.02,31875.02,1.0,0.0,0.0
FLY,FLYT,core_levered_etf,-42760.306511999996,42760.306511999996,1.0,0.0,0.0
FXI,FXI,spot,1537.25,1537.25,1.0,0.0,0.0
FXI,YINN,core_levered_etf,-1593.9562956799998,1593.9562956799998,1.0,0.0,0.0
GDX,GDX,spot,3894.0,3894.0,1.0,0.0,0.0
GDX,NUGT,core_levered_etf,-2002.51866816,2002.51866816,1.0,0.0,0.0
GDX,GDXU,core_levered_etf,-2311.22976084,2311.22976084,1.0,0.0,0.0
GDXJ,GDXJ,spot,1516.58,1516.58,1.0,0.0,0.0
GDXJ,JNUG,core_levered_etf,-1795.3569088,1795.3569088,1.0,0.0,0.0
GEMI,GEMI,spot,6271.360000000001,6271.360000000001,1.0,0.0,0.0
GEMI,GEMG,core_levered_etf,-6010.9848415474,6010.9848415474,1.0,0.0,0.0
GEV,GEV,spot,2140.94,2140.94,1.0,0.0,0.0
GEV,GEVG,core_levered_etf,-1285.8258924000002,1285.8258924000002,1.0,0.0,0.0
GEV,GEVX,core_levered_etf,-1942.9781994999998,1942.9781994999998,1.0,0.0,0.0
GLW,GLW,spot,1373.1899999999998,1373.1899999999998,1.0,0.0,0.0
GLW,GLWG,core_levered_etf,-1555.13011212,1555.13011212,1.0,0.0,0.0
GLXY,GLXY,spot,13891.78,13891.78,1.0,0.0,0.0
GLXY,GLGG,core_levered_etf,-4452.571395272,4452.571395272,1.0,0.0,0.0
GLXY,GLXU,core_levered_etf,-9007.958805,9007.958805,1.0,0.0,0.0
GOOGL,GOOGL,spot,1166.6399999999999,1166.6399999999999,1.0,0.0,0.0
GOOGL,GGLL,core_levered_etf,-552.80333388,552.80333388,1.0,0.0,0.0
GOOGL,GOOX,core_levered_etf,-771.57981712,771.57981712,1.0,0.0,0.0
HIMS,HIMS,spot,11734.2,11734.2,0.589242900364405,0.4107570996355951,0.0
HIMS,HMYY,yieldboost_etf,-4819.905958544,4819.905958544,0.0,1.0,0.0
HIMS,HIMZ,core_levered_etf,-6626.8064187400005,6626.8064187400005,1.0,0.0,0.0
HOOD,HOOD,spot,26005.59,26005.59,0.4982833652264686,0.5017166347735315,0.0
HOOD,HOOG,core_levered_etf,-2093.0963502694,2093.0963502694,1.0,0.0,0.0
HOOD,HOOX,core_levered_etf,-2440.5999441500003,2440.5999441500003,1.0,0.0,0.0
