etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.033707,0.75
ASTN,ASTS,-2.015451,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.011281,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.991646,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.024785,0.75
CONI,COIN,-1.922551,0.75
CRCD,CRCL,-2.009969,0.75
CORD,CRWV,-2.007975,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002441,0.75
SDOW,DIA,-2.999491,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-1.99298,0.75
BTCZ,IBIT,-1.999397,0.75
IONZ,IONQ,-2.03056,0.75
IREZ,IREN,-2.013168,0.75
TWM,IWM,-2.001655,0.75
TZA,IWM,-2.997627,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.990362,0.75
MSTZ,MSTR,-2.002293,0.75
SMST,MSTR,-1.97549,0.75
NBIZ,NBIS,-2.034873,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.001702,0.75
NVDS,NVDA,-1.492054,0.75
OKLS,OKLO,-2.00503,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-2.004053,0.75
QID,QQQ,-1.997198,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.99664,0.75
RKLZ,RKLB,-2.020795,0.75
SMCZ,SMCI,-2.031017,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.006846,0.75
SPXS,SPY,-2.996098,0.75
SPXU,SPY,-2.994401,0.75
UVIX,SVIX,-1.984758,0.75
TBT,TLT,-1.997815,0.75
TBX,TLT,-1.371718,0.75
TMV,TLT,-2.98989,0.75
TSDD,TSLA,-2.011804,0.75
STSM,TSM,-2.007718,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.743845,0.75
DUG,XLE,-1.98934,0.75
SKF,XLF,-1.996562,0.75
FNGD,XLK,-2.918566,0.75
REW,XLK,-2.006229,0.75
TECS,XLK,-2.998059,0.75
WEBS,XLK,-2.787245,0.75
DRIP,XOP,-1.994533,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
