etf,underlying,pair_frac_merged
MSFU,MSFT,0.0999995687484128
CWEB,KWEB,0.09999950655907269
TARK,ARKK,0.05985747898730395
BITX,IBIT,0.04570525997965334
BITU,IBIT,0.04505255696973682
BTCL,IBIT,0.04424145555704392
BOEU,BA,0.04096396001713657
FBYY,META,0.040000307716204386
XBTY,IBIT,0.040000150701573506
COYY,COIN,0.0400000198360607
MTYY,MSTR,0.04000000576575533
GOOX,GOOGL,0.03297046159091973
SMYY,SMCI,0.02664783069011717
NVDU,NVDA,0.02558448549271745
PLTZ,PLTR,0.02500028464957438
ETHD,ETHA,0.025000062773568497
CONI,COIN,0.02500005761904272
NVDL,NVDA,0.024631326001592582
CORD,CRWV,0.02095863053747392
MSTU,MSTR,0.020657388594409257
MSTX,MSTR,0.020303915341957194
NFXL,NFLX,0.019199717237771568
MSDD,MSTR,0.019032682516853548
NVDG,NVDA,0.01837916589050573
PALU,PANW,0.014218324705970542
PANG,PANW,0.013343043507298313
UBRL,UBER,0.0129320216811291
NUGT,GDX,0.00936470529344863
MAAY,MARA,0.0070001707808078325
IOYY,IONQ,0.006351514509481115
MSTZ,MSTR,0.005967404623928012
NFLU,NFLX,0.00561870940402053
CONL,COIN,0.005604000943575454
LLYX,LLY,0.0053876934834248555
QBTZ,QBTS,0.0040408772795589385
TSMG,TSM,0.0037485783500164492
BOEG,BA,0.00250715196905264
TSMU,TSM,0.0024475436338774552
COIG,COIN,0.0022819751883947155
ASMG,ASML,3.464505916487563e-09
CRWL,CRWD,1.4070518651942989e-09
