ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.986711,500,ols
AMUU,AMD,2.0,2.007593,253,ols
AMZU,AMZN,2.0,1.988549,500,ols
ASMU,ASML,2.0,2.009665,38,ols
AVL,AVGO,2.0,1.986563,372,ols
BOEU,BA,2.0,1.993785,240,ols
BABU,BABA,2.0,2.033472,37,ols
BRKU,BRK-B,2.0,1.945915,329,ols
CONX,COIN,2.0,2.003182,94,ols
CSCL,CSCO,2.0,2.024028,197,ols
FRDU,F,2.0,1.9826,178,ols
GGLL,GOOGL,2.0,1.994662,500,ols
HODU,HOOD,2.0,2.006853,94,ols
LINT,INTC,2.0,1.991509,94,ols
ELIL,LLY,2.0,1.992952,258,ols
LMTL,LMT,2.0,1.998692,168,ols
METU,META,2.0,1.998398,459,ols
MRVU,MRVL,2.0,2.009578,37,ols
MSFU,MSFT,2.0,1.99176,500,ols
MUU,MU,2.0,1.994144,372,ols
NFXL,NFLX,2.0,1.996173,377,ols
NVDU,NVDA,2.0,1.987086,500,ols
ORCU,ORCL,2.0,2.00344,94,ols
PALU,PANW,2.0,2.005396,258,ols
PLTU,PLTR,2.0,1.991933,329,ols
QCMU,QCOM,2.0,2.002638,197,ols
SHPU,SHOP,2.0,2.011666,168,ols
SOFA,SOFI,2.0,1.986169,38,ols
TSLL,TSLA,2.0,1.993807,500,ols
TSMX,TSM,2.0,1.995689,377,ols
XOMX,XOM,2.0,1.986594,240,ols
YINN,FXI,2.0,2.973296,500,ols
MEXX,EWW,2.0,2.954666,500,ols
KORU,EWY,2.0,2.932232,500,ols
HIBL,SPY,2.0,4.479737,500,ols
LABU,XBI,2.0,2.988091,500,ols
SOXL,SOXX,2.0,2.962051,500,ols
CHAU,ASHR,2.0,1.9668,500,ols
CWEB,KWEB,2.0,1.988079,500,ols
ERX,XLE,2.0,1.987277,500,ols
NUGT,GDX,2.0,1.977292,500,ols
JNUG,GDXJ,2.0,1.97553,500,ols
GUSH,XOP,2.0,2.010259,500,ols
URAA,URA,2.0,1.928175,446,ols
MSTU,MSTR,2.0,1.966025,388,ols
NVDX,NVDA,2.0,1.997828,500,ols
TSLT,TSLA,2.0,1.99265,500,ols
BTCL,IBIT,2.0,2.006488,437,ols
ETU,ETHA,2.0,1.989879,362,ols
CCUP,CRCL,2.0,1.984454,165,ols
CRWU,CRWV,2.0,1.988682,175,ols
AAPX,AAPL,2.0,1.994637,500,ols
GOOX,GOOGL,2.0,1.978382,500,ols
MSFX,MSFT,2.0,2.007574,500,ols
NFLU,NFLX,2.0,1.991661,381,ols
ROBN,HOOD,2.0,2.011514,296,ols
DJTU,DJT,2.0,2.00566,275,ols
RBLU,RBLX,2.0,2.018492,275,ols
SNOU,SNOW,2.0,2.01669,239,ols
SMUP,SMR,2.0,1.976593,175,ols
GLXU,GLXY,2.0,2.011129,166,ols
AFRU,AFRM,2.0,1.953973,140,ols
KTUP,KTOS,2.0,2.032301,140,ols
TTDU,TTD,2.0,1.996264,139,ols
BMNU,BMNR,2.0,1.949345,132,ols
SBTU,SBET,2.0,2.023758,115,ols
CIFU,CIFR,2.0,1.985936,92,ols
SOLX,GSOL,2.0,1.971204,85,ols
XRPK,XRPZ,2.0,1.956576,85,ols
XRPT,XRPZ,2.0,2.01601,91,ols
CHNU,CHNL,2.0,2.0,0,imputed_no_overlap
CRDX,CRDD,2.0,2.0,0,imputed_no_overlap
STLU,STLR,2.0,2.0,0,imputed_no_overlap
GMEU,GME,2.0,1.964995,239,ols
APLX,APLD,2.0,1.9944,145,ols
APPX,APP,2.0,1.986733,238,ols
ARCX,ACHR,2.0,1.984904,207,ols
ASTX,ASTS,2.0,1.990028,186,ols
BEX,BE,2.0,1.975979,98,ols
CEGX,CEG,2.0,1.987668,186,ols
CLSX,CLSK,2.0,1.998785,140,ols
COZX,CORZ,2.0,2.036595,104,ols
CRDU,CRDO,2.0,1.990394,140,ols
CSEX,CLS,2.0,1.995424,98,ols
CWVX,CRWV,2.0,1.989124,186,ols
DOGD,DDOG,2.0,2.013608,164,ols
ENPX,ENPH,2.0,2.018515,140,ols
FLYT,FLY,2.0,1.990775,113,ols
GEVX,GEV,2.0,1.996216,186,ols
IREX,IREN,2.0,1.981768,113,ols
JOBX,JOBY,2.0,1.978951,145,ols
LABX,ALAB,2.0,1.995496,164,ols
LRCU,LRCX,2.0,2.036154,159,ols
MDBX,MDB,2.0,1.990923,159,ols
NEBX,NBIS,2.0,1.997691,145,ols
NNEX,NNE,2.0,1.988647,98,ols
NVTX,NVTS,2.0,1.996569,145,ols
OPEX,OPEN,2.0,1.994412,113,ols
PONX,PONY,2.0,2.005341,145,ols
QBTX,QBTS,2.0,1.991909,238,ols
QUBX,QUBT,2.0,1.963084,198,ols
RGTU,RGTI,2.0,1.986117,198,ols
SMU,SMR,2.0,1.984994,186,ols
SNPX,SNPS,2.0,1.920571,98,ols
SRPU,SRPT,2.0,1.965459,113,ols
TARK,ARKK,2.0,1.977678,500,ols
TEMT,TEM,2.0,1.985179,226,ols
UNX,U,2.0,2.02865,140,ols
UPSX,UPST,2.0,1.986244,207,ols
VOYX,VOYG,2.0,1.968553,145,ols
WULX,WULF,2.0,1.993626,113,ols
CRMU,CRML,2.0,1.961458,39,ols
UECG,UEC,2.0,1.993253,39,ols
DNNG,DNN,2.0,1.97815,39,ols
RCAX,RCAT,2.0,2.009817,44,ols
RDWU,RDW,2.0,1.978816,46,ols
OKLL,OKLO,2.0,1.998008,198,ols
GDXU,GDX,2.0,3.043703,500,ols
MRNX,MRNA,2.0,2.015345,43,ols
ZETX,ZETA,2.0,2.057531,43,ols
LITX,LITE,2.0,1.980487,49,ols
SNXX,SNDX,2.0,1.242684,49,ols
WDCX,WDC,2.0,2.043934,49,ols
LNOK,NOK,2.0,1.951724,53,ols
USGG,USAR,2.0,1.996512,58,ols
ONDG,ONDS,2.0,2.003612,58,ols
PLUL,PLUG,2.0,1.943606,58,ols
ALBG,ALB,2.0,2.007823,58,ols
UUUG,UUUU,2.0,2.00006,58,ols
HUTG,HUT,2.0,1.999486,58,ols
XPEG,XPEV,2.0,1.989951,56,ols
ORLG,ORLY,2.0,2.004407,56,ols
LUNL,LUNR,2.0,1.989797,58,ols
RKTL,RKT,2.0,1.95002,58,ols
EOSU,EOSE,2.0,1.966277,57,ols
BTFL,KEEL,2.0,2.053063,67,ols
FGRU,FIGR,2.0,2.000811,34,ols
APHU,APH,2.0,2.003561,34,ols
COPZ,COPX,2.0,2.037557,34,ols
LEUX,LEU,2.0,2.038647,33,ols
COHX,COHR,2.0,2.051534,33,ols
AXPG,AXP,2.0,2.022394,33,ols
FCXG,FCX,2.0,2.046915,33,ols
GLWG,GLW,2.0,1.986526,20,ols_short_history
SNDU,SNDK,2.0,1.962313,18,ols_short_history
PAAU,PAAS,2.0,1.961636,18,ols_short_history
BITX,IBIT,2.0,2.004441,500,ols
ETHU,ETHA,2.0,2.001235,428,ols
