ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.986711,500,ols,0.11896100000000001,35000,0.11896100000000001,False,False,29.139999389648438,0.11896100000000001,1.0,False,,True,False,False,False,False,False,False,False,0.566045,0.173362,0.284751,0.079474,0.173362,0.05440099999999998,0.05440099999999998,0.49667775,0.5960133,0.5,0.5960133
AMUU,AMD,2.007593,253,ols,0.051619,15000,0.051619,False,False,54.959999084472656,0.051619,1.0,False,,True,False,False,False,False,False,False,False,1.288714,0.491526,0.559699,0.31684,0.491526,0.43990700000000005,0.43990700000000005,0.50189825,0.6022778999999999,0.50189825,0.6022778999999999
AMZU,AMZN,1.988549,500,ols,0.055883,45000,0.055883,False,False,30.18000030517578,0.055883,1.0,False,,True,False,False,False,False,False,False,False,0.637917,0.210404,0.320655,0.10106,0.210404,0.15452100000000002,0.15452100000000002,0.49713725,0.5965647,0.5,0.5965647
ASMU,ASML,2.009665,38,ols,0.100287,8000,0.100287,False,False,23.969999313354492,0.100287,1.0,False,,True,False,False,False,False,False,False,False,0.986028,0.30008,0.441985,0.198192,0.213556,0.199793,0.113269,0.50241625,0.6028995,0.50241625,0.6028995
AVL,AVGO,1.986563,372,ols,0.045637,85000,0.045637,False,False,41.790000915527344,0.045637,1.0,False,,True,False,False,False,False,False,False,False,1.075853,0.377961,0.538487,0.28415,0.377961,0.332324,0.332324,0.49664075,0.5959689,0.5,0.5959689
BOEU,BA,1.993785,240,ols,0.06232,10000,0.06232,False,False,36.30500030517578,0.06232,1.0,False,,True,False,False,False,False,False,False,False,0.604725,0.192689,0.35498,0.124838,0.189458,0.130369,0.12713799999999997,0.49844625,0.5981354999999999,0.5,0.5981354999999999
BABU,BABA,2.033472,37,ols,0.049955,10000,0.049955,False,False,13.479999542236328,0.049955,1.0,False,,True,False,False,False,False,False,False,False,0.742811,0.218538,0.446595,0.209573,0.210889,0.168583,0.160934,0.508368,0.6100416000000001,0.508368,0.6100416000000001
BRKU,BRK-B,1.945915,329,ols,0.139215,40000,0.139215,False,False,21.799999237060547,0.139215,1.0,False,,True,False,False,False,False,False,False,False,0.354762,0.134789,0.172644,0.027431,0.134789,-0.004426000000000013,-0.004426000000000013,0.48647875,0.5837745,0.5,0.5837745
CONX,COIN,2.003182,94,ols,0.10663,6000,0.10663,False,False,8.468999862670898,0.10663,1.0,False,,True,False,False,False,False,False,False,False,1.513107,0.673693,0.791466,0.629411,0.645929,0.567063,0.539299,0.5007955,0.6009545999999999,0.5007955,0.6009545999999999
CSCL,CSCO,2.024028,197,ols,0.094768,15000,0.094768,False,False,33.525001525878906,0.094768,1.0,False,,True,False,False,False,False,False,False,False,0.537626,0.19702,0.239555,0.059471,0.166999,0.102252,0.072231,0.506007,0.6072084,0.506007,0.6072084
