ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve
NVDX,NVDA,1.997293,499,ols,0.20422,150000,0.20422,False,False,18.5,0.20422,1.0,False,True,False,False,False,False,False,False,False,0.684211,0.398672,0.340865,0.115718,0.398672,0.194452,0.194452,0.49932325,0.5991879,0.5,0.5991879,bucket_1,,False,0.20422,ETF_LS,570.0846535339946,-285.42865445079644,570.0846535339946,-285.42865445079644,9279.49391435437,0.0,-0.0,9279.49391435437,core_leveraged
TSLT,TSLA,1.993002,499,ols,0.089052,50000,0.089052,False,False,18.559999465942383,0.089052,1.0,False,True,False,False,False,False,False,False,False,0.975653,0.52355,0.489419,0.237022,0.52355,0.4344979999999999,0.4344979999999999,0.4982505,0.5979006,0.5,0.5979006,bucket_1,,False,0.089052,ETF_LS,3130.0766017226274,-1570.5335979204374,3130.0766017226274,-1570.5335979204374,16481.749464594206,0.0,-0.0,16481.749464594206,core_leveraged
BTCL,IBIT,2.006679,445,ols,0.042649,60000,0.042649,False,False,19.09000015258789,0.042649,1.0,False,True,False,False,False,False,False,False,False,0.871928,0.421823,0.435902,0.191918,0.421823,0.379174,0.379174,0.50166975,0.6020037,0.50166975,0.6020037,bucket_1,,False,0.042649,ETF_LS,3502.3366836854807,-1745.3397796486038,3502.3366836854807,-1745.3397796486038,13886.699094853604,0.0,-0.0,13886.699094853604,core_leveraged
ETU,ETHA,1.989578,370,ols,0.03244,35000,0.03244,False,False,7.210000038146973,0.03244,1.0,False,True,False,False,False,False,False,False,False,1.45031,0.726974,0.728109,0.521884,0.726974,0.694534,0.694534,0.4973945,0.5968734,0.5,0.5968734,bucket_1,,False,0.03244,ETF_LS,6858.98910518215,-3447.4592628095756,6858.98910518215,-3447.4592628095756,19981.389347237895,-52836.61092289059,19981.389347237895,-32855.2215756527,core_leveraged
CCUP,CRCL,1.98583,173,ols,0.2192579999999999,350000,0.2192579999999999,False,False,5.510000228881836,0.2192579999999999,1.0,False,True,False,False,False,False,False,False,False,1.934401,0.98584,1.17517,1.351809,1.100568,0.7665820000000001,0.88131,0.4964575,0.595749,0.5,0.595749,bucket_1,,False,0.2192579999999999,ETF_LS,4993.456068003834,-2514.543575232439,4993.456068003834,-2514.543575232439,23008.39264283669,-71241.92932728132,23008.39264283669,-48233.53668444463,core_leveraged
CRWU,CRWV,1.989202,183,ols,0.190975,75000,0.190975,False,False,9.829999923706056,0.190975,1.0,False,True,False,False,False,False,False,False,False,1.947367,1.083155,1.078593,1.144588,1.099976,0.8921800000000001,0.909001,0.4973005,0.5967606,0.5,0.5967606,bucket_1,,False,0.190975,ETF_LS,5834.211971953464,-2932.940934079829,5834.211971953464,-2932.940934079829,23947.66311840271,-127102.37480053474,23947.66311840271,-103154.71168213204,core_leveraged
AAPX,AAPL,1.991861,499,ols,0.143792,20000,0.143792,False,False,29.190000534057617,0.143792,1.0,False,True,False,False,False,False,False,False,False,0.474013,0.190691,0.235669,0.054864,0.190691,0.0468989999999999,0.0468989999999999,0.49796525,0.5975583,0.5,0.5975583,bucket_1,,False,0.143792,ETF_LS,569.5664314471472,-285.94687653764356,569.5664314471472,-285.94687653764356,2143.635321439479,0.0,-0.0,2143.635321439479,core_leveraged
GOOX,GOOGL,1.978129,499,ols,0.01657,95000,0.01657,False,False,75.75,0.01657,1.0,False,True,False,False,False,False,False,False,False,0.563072,0.201769,0.286502,0.07941,0.201769,0.185199,0.185199,0.49453225,0.5934387,0.5,0.5934387,bucket_1,,False,0.01657,ETF_LS,2088.6177184617236,-1055.8551633698933,2088.6177184617236,-1055.8551633698933,3229.728474345937,0.0,-0.0,3229.728474345937,core_leveraged
MSFX,MSFT,2.006779,499,ols,0.085473,150000,0.085473,False,False,19.190000534057617,0.085473,1.0,False,True,False,False,False,False,False,False,False,0.493004,0.188771,0.244529,0.060404,0.188771,0.103298,0.103298,0.50169475,0.6020336999999999,0.50169475,0.6020336999999999,bucket_1,,False,0.085473,ETF_LS,570.9851441307827,-284.5281638540082,570.9851441307827,-284.5281638540082,2411.322974586144,0.0,-0.0,2411.322974586144,core_leveraged
NFLU,NFLX,1.991922,389,ols,,0,,False,True,30.420000076293945,,1.0,False,False,False,False,False,False,False,True,False,0.677334,0.238202,0.336924,0.112146,0.238202,0.238202,0.238202,0.4979805,1.0,0.5,1.0,bucket_1,,False,,ETF_LS,2948.518337376712,-1480.2378493619292,2948.518337376712,-1480.2378493619292,4132.998577121352,0.0,-0.0,4132.998577121352,core_leveraged
