ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.98631,501,ols
AMUU,AMD,2.0,2.007824,248,ols
AMZU,AMZN,2.0,1.988328,501,ols
ASMU,ASML,2.0,1.97463,33,ols
AVL,AVGO,2.0,1.986992,367,ols
BOEU,BA,2.0,1.990581,235,ols
BABU,BABA,2.0,2.029938,32,ols
BRKU,BRK-B,2.0,1.946212,324,ols
CONX,COIN,2.0,2.000218,89,ols
CSCL,CSCO,2.0,2.025247,192,ols
FRDU,F,2.0,1.984362,172,ols
GGLL,GOOGL,2.0,1.994875,501,ols
HODU,HOOD,2.0,2.006818,89,ols
LINT,INTC,2.0,1.985623,89,ols
ELIL,LLY,2.0,1.992552,253,ols
LMTL,LMT,2.0,1.992872,163,ols
METU,META,2.0,1.998518,454,ols
MRVU,MRVL,2.0,2.010064,32,ols
MSFU,MSFT,2.0,1.991855,501,ols
MUU,MU,2.0,1.994214,367,ols
NFXL,NFLX,2.0,1.997011,372,ols
NVDU,NVDA,2.0,1.987623,501,ols
ORCU,ORCL,2.0,2.003335,89,ols
PALU,PANW,2.0,2.003602,253,ols
PLTU,PLTR,2.0,1.991738,324,ols
QCMU,QCOM,2.0,2.002415,192,ols
SHPU,SHOP,2.0,2.012214,163,ols
SOFA,SOFI,2.0,2.010967,33,ols
TSLL,TSLA,2.0,1.993749,501,ols
TSMX,TSM,2.0,1.994239,372,ols
XOMX,XOM,2.0,1.980886,235,ols
YINN,FXI,2.0,2.972981,501,ols
MEXX,EWW,2.0,2.957199,501,ols
KORU,EWY,2.0,2.929907,501,ols
HIBL,SPY,2.0,4.47793,501,ols
LABU,XBI,2.0,2.988419,501,ols
SOXL,SOXX,2.0,2.961256,501,ols
CHAU,ASHR,2.0,1.966508,501,ols
CWEB,KWEB,2.0,1.987261,501,ols
ERX,XLE,2.0,1.987525,501,ols
NUGT,GDX,2.0,1.978503,501,ols
JNUG,GDXJ,2.0,1.975567,501,ols
GUSH,XOP,2.0,2.010548,501,ols
URAA,URA,2.0,1.932538,441,ols
MSTU,MSTR,2.0,1.965902,383,ols
NVDX,NVDA,2.0,1.99776,501,ols
TSLT,TSLA,2.0,1.992511,501,ols
BTCL,IBIT,2.0,2.006145,432,ols
ETU,ETHA,2.0,1.989433,357,ols
CCUP,CRCL,2.0,1.983112,160,ols
