ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.98631,501,ols,0.09303900000000001,-0.056639,0.149678,70000,0.149678,False,False,False,,True,False,False,False,False,True,False,False,False,0.563591,0.173772,0.283572,0.078769,0.173772,0.024094000000000004,0.024094000000000004,0.4965775,0.595893,0.5,0.595893
AMUU,AMD,2.007824,248,ols,0.046406,-0.010006,0.056412000000000004,55000,0.056412000000000004,False,False,False,,True,False,False,False,False,True,False,False,False,1.295456,0.48905,0.560817,0.318216,0.486338,0.43263799999999997,0.429926,0.501956,0.6023472,0.501956,0.6023472
AMZU,AMZN,1.988328,501,ols,0.044404000000000006,-0.008004,0.05240800000000001,55000,0.05240800000000001,False,False,False,,True,False,False,False,False,True,False,False,False,0.636585,0.209753,0.320019,0.100626,0.209753,0.15734499999999998,0.15734499999999998,0.497082,0.5964984,0.5,0.5964984
ASMU,ASML,1.97463,33,ols,0.05269599999999999,-0.016295999999999998,0.068992,55000,0.068992,False,False,False,,True,False,False,False,False,True,False,False,False,0.866374,0.342219,0.436928,0.183703,0.204461,0.273227,0.135469,0.4936575,0.592389,0.5,0.592389
AVL,AVGO,1.986992,367,ols,0.044596,-0.008196,0.052792,150000,0.052792,False,False,False,,True,False,False,False,False,True,False,False,False,1.074948,0.376263,0.535717,0.281417,0.376263,0.323471,0.323471,0.496748,0.5960976,0.5,0.5960976
BOEU,BA,1.990581,235,ols,0.050669000000000006,-0.014269,0.06493800000000001,10000,0.06493800000000001,False,False,False,,True,False,False,False,False,True,False,False,False,0.59621,0.194568,0.352402,0.122438,0.189702,0.12962999999999997,0.124764,0.49764525,0.5971742999999999,0.5,0.5971742999999999
BABU,BABA,2.029938,32,ols,0.047544,-0.011144000000000001,0.058688000000000004,30000,0.058688000000000004,False,False,False,,True,False,False,False,False,True,False,False,False,0.716467,0.195608,0.444514,0.206555,0.205165,0.13692,0.14647699999999997,0.5074845,0.6089814,0.5074845,0.6089814
BRKU,BRK-B,1.946212,324,ols,0.130075,-0.093675,0.22375,35000,0.22375,False,False,False,,True,False,False,False,False,True,False,False,False,0.357114,0.1354,0.172737,0.027474,0.1354,-0.08835000000000001,-0.08835000000000001,0.486553,0.5838636,0.5,0.5838636
CONX,COIN,2.000218,89,ols,0.140909,-0.104509,0.24541800000000003,25000,0.24541800000000003,False,False,False,,True,False,False,False,False,True,False,False,False,1.547085,0.707046,0.793345,0.629602,0.656953,0.4616279999999999,0.411535,0.5000545,0.6000654,0.5000545,0.6000654
CSCL,CSCO,2.025247,192,ols,0.094001,-0.057601000000000006,0.15160200000000001,15000,0.15160200000000001,False,False,False,,True,False,False,False,False,True,False,False,False,0.534963,0.188223,0.239164,0.059384,0.157547,0.03662099999999999,0.005944999999999978,0.50631175,0.6075740999999999,0.50631175,0.6075740999999999
FRDU,F,1.984362,172,ols,0.10031599999999999,-0.063916,0.164232,10000,0.164232,False,False,False,,True,False,False,False,False,True,False,False,False,0.620204,0.202714,0.344527,0.115929,0.175163,0.038482000000000016,0.010931000000000024,0.4960905,0.5953086,0.5,0.5953086
GGLL,GOOGL,1.994875,501,ols,0.049355,-0.012955000000000001,0.062310000000000004,100000,0.062310000000000004,False,False,False,,True,False,False,False,False,True,False,False,False,0.598637,0.189987,0.299968,0.08929,0.189987,0.12767699999999998,0.12767699999999998,0.49871875,0.5984625,0.5,0.5984625
