symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AMZO,TRADR 2X SHORT AMZN DAILY ET,0.0,3604.886606,0.0,0.0,0.0,-555.33,55.58742807168338,0.0,0.0,3105.1440340716836
SOXS,DIREX DAI SEMI BE 3X ETF-USD,0.0,2961.735881,0.0,0.0,-30.14,-56.89,3.5150309141318465,0.0,0.0,2878.220911914132
LABD,DIRE DLY SP BT BE 3X ETF-USD,0.0,1970.185835,0.0,0.0,-32.54,-159.05,12.316344806759203,0.0,0.0,1790.9121798067592
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,1597.927687,0.0,0.0,-74.0,-47.56,18.395499623299937,0.0,0.0,1494.7631866233
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,328.671913,0.0,0.0,0.0,-92.34,28.042706090551647,0.0,0.0,264.3746190905517
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TSYY,GRANITE YIELDBOOST TSLA ETF,0.49581973,34.932349,0.0,0.0,-24.51,-2.78,0.8226558837749041,0.0,0.0,8.960824613774907
NVYY,GRANITE YIELDBOOST NVDA,129.68969726,0.0,0.0,0.0,-175.33,-9.59,0.0,0.0,0.0,-55.23030274000001
DUST,DIREXION DAILY GOLD MINERS I,-3.4059583,-3014.335048,0.0,0.0,-131.54000000000002,-530.07,49.190919112712606,0.0,0.0,-3630.1600871872874
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-3248.457632,0.0,0.0,0.0,-689.79,44.52047263148119,0.0,0.0,-3893.727159368519
