symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,29729.681913888,29729.681913888,1
SVIX,SVIX,volatility_etp_bucket5,-31135.55,31135.55,1
