run_date,underlying,qty_b1,qty_b2,qty_b4,cost_b1_base,cost_b2_base,cost_b4_base
2026-05-18,ETRL,-171.0,0.0,0.0,-2380.4397,0.0,0.0
2026-05-18,ETU,-1046.0,0.0,0.0,-6704.860000000001,0.0,0.0
2026-05-18,EWJ,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,EWV,0.0,0.0,-52.0,0.0,0.0,-1000.4799999999999
2026-05-18,EWW,0.0,9.0,0.0,0.0,694.89,0.0
2026-05-18,EWY,0.0,20.0,0.0,0.0,3577.2000000000003,0.0
2026-05-18,F,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,FAZ,0.0,0.0,-76.0,0.0,0.0,-3499.7999999999997
2026-05-18,FBL,-141.0,0.0,0.0,-3616.6499999999996,0.0,0.0
2026-05-18,FBY,0.0,42.0,0.0,0.0,0.0,0.0
2026-05-18,FBYY,0.0,-1594.0,0.0,0.0,-20929.22,0.0
2026-05-18,FCX,0.0,31.0,0.0,0.0,1953.31,0.0
2026-05-18,FCXG,-91.0,0.0,0.0,-1243.97,0.0,0.0
2026-05-18,FGRU,-405.0,0.0,0.0,-9586.35,0.0,0.0
2026-05-18,FIG,0.0,247.0,0.0,0.0,5661.240000000001,0.0
2026-05-18,FIGG,-2952.35,0.0,0.0,-74281.126,0.0,0.0
2026-05-18,FIGR,0.0,384.0,0.0,0.0,16619.52,0.0
2026-05-18,FLY,0.0,325.0,0.0,0.0,13139.75,0.0
2026-05-18,FLYT,-359.0,0.0,0.0,-9452.47,0.0,0.0
2026-05-18,FRDU,-113.0,0.0,0.0,-0.0,0.0,0.0
2026-05-18,FTRE,500.0,0.0,0.0,6830.0,0.0,0.0
2026-05-18,FUTG,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,FUTU,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,FXI,15.333807151581423,17.666192848418575,0.0,555.0838188872476,639.5161811127525,0.0
2026-05-18,GDX,5.578402492012607,29.4215975079874,0.0,487.2734576773012,2569.976542322699,0.0
2026-05-18,GDXJ,0.0,17.0,0.0,0.0,1978.29,0.0
2026-05-18,GDXU,-6.0,0.0,0.0,-944.8199999999999,0.0,0.0
2026-05-18,GEMG,-234.0,0.0,0.0,-3901.3182,0.0,0.0
2026-05-18,GEMI,0.0,1311.0,0.0,0.0,7315.38,0.0
2026-05-18,GEV,1.262043745716495,1.7379562542835068,0.0,1324.1741593181182,1823.515840681884,0.0
2026-05-18,GEVG,-10.0,0.0,0.0,-307.1,0.0,0.0
2026-05-18,GEVX,-85.0,0.0,0.0,-6095.349999999999,0.0,0.0
2026-05-18,GGLL,-43.0,0.0,0.0,-6205.33,0.0,0.0
2026-05-18,GLGG,-197.0,0.0,0.0,-2025.3175999999999,0.0,0.0
2026-05-18,GLIBK,-637.0,0.0,0.0,-0.0,0.0,0.0
2026-05-18,GLW,0.0,8.0,0.0,0.0,1534.48,0.0
2026-05-18,GLWG,-26.0,0.0,0.0,-756.86,0.0,0.0
2026-05-18,GLXU,-490.0,0.0,0.0,-5826.1,0.0,0.0
2026-05-18,GLXY,-32.0,396.0,0.0,-947.52,11725.56,0.0
2026-05-18,GME,0.0,35.0,0.0,0.0,755.65,0.0
2026-05-18,GMEU,-41.0,0.0,0.0,-343.58000000000004,0.0,0.0
2026-05-18,GOOGL,0.2091099961885234,0.7908900038114766,0.0,82.97066428768231,313.80933571231765,0.0
2026-05-18,GOOX,-71.0,0.0,0.0,-7228.51,0.0,0.0
2026-05-18,GOOY,0.0,37.0,0.0,0.0,0.0,0.0
2026-05-18,GRAB,0.0,1263.0,0.0,0.0,4483.65,0.0
2026-05-18,GRAG,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,GS,10.0,0.0,0.0,9484.7,0.0,0.0
2026-05-18,GSOL,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,GSX,-141.0,0.0,0.0,-0.0,0.0,0.0
2026-05-18,GUSH,-151.0,0.0,0.0,-5970.54,0.0,0.0
2026-05-18,GXRP,-20.0,0.0,0.0,-0.0,0.0,0.0
2026-05-18,HEI.A,1.0,0.0,0.0,216.35,0.0,0.0
2026-05-18,HIMS,0.0,295.0,0.0,0.0,7389.75,0.0
2026-05-18,HIMZ,0.0,-146.0,0.0,0.0,-4198.96,0.0
2026-05-18,HL,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,HLXX,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,HMYY,0.0,-986.0,0.0,0.0,-7069.62,0.0
2026-05-18,HODU,-234.0,0.0,0.0,-1869.66,0.0,0.0
2026-05-18,HOOD,0.0,228.0,0.0,0.0,17587.920000000002,0.0
2026-05-18,HOOG,0.0,-77.0,0.0,0.0,-1490.72,0.0
2026-05-18,HOOW,0.0,11.0,0.0,0.0,0.0,0.0
2026-05-18,HOOX,0.0,-76.0,0.0,0.0,-1677.32,0.0
2026-05-18,HOOY,0.0,11.0,0.0,0.0,0.0,0.0
2026-05-18,HOYY,0.0,-3359.0,0.0,0.0,-20320.9423,0.0
2026-05-18,HUT,0.0,146.0,0.0,0.0,14960.619999999999,0.0
2026-05-18,HUTG,-414.0,0.0,0.0,-11028.5046,0.0,0.0
2026-05-18,IBIT,103.21311475409836,814.7868852459017,0.0,4626.011803278689,36518.74819672131,0.0
