underlying,etf,beta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl,bucket,symbol
SVIX,UVIX,-1.981649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
NVDA,NVDS,-1.489885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
XOP,DRIP,-1.996868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
XRPZ,XRP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
XRPZ,GXRP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
TSLA,TSDD,-2.011177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
XLF,SKF,-1.99873,-18.775827,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,-19.015826999999998,bucket_4,
COIN,CONI,-1.92499,1.5282954579712977,-35.45584915604386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.927553698072565,bucket_4,
XLK,FNGD,-2.916035,-34.63322925,0.0,0.0,0.0,0.0,-0.10250000000000001,0.0,0.0,0.0,-34.73572925,bucket_4,
XLK,TECS,-2.996247,-34.63322925,0.0,0.0,0.0,0.0,-0.10250000000000001,0.0,0.0,0.0,-34.73572925,bucket_4,
XLK,REW,-2.00515,-34.63322925,0.0,0.0,0.0,0.0,-0.10250000000000001,0.0,0.0,0.0,-34.73572925,bucket_4,
DASH,DASX,-1.0,-234.890501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-234.890501,bucket_4,
AXON,AXUP,-1.0,-233.916935,-180.53999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-414.45693499999993,bucket_4,
CELH,CELT,-1.0,-792.729404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-792.729404,bucket_4,
CRWV,CORD,-2.006444,2.547591106032361,-908.5731790900114,0.0,0.0,0.0,0.0,32.94450309227057,0.0,0.0,-873.0810848917085,bucket_4,
ASTS,ASTN,-1.99861,-62.73775930732369,-850.7746305968699,0.0,0.0,0.0,0.0,28.02674485226137,0.0,0.0,-885.4856450519322,bucket_4,
IREN,IREZ,-2.0041,0.0,-1147.91610065232,0.0,0.0,0.0,0.0,38.83432874420806,0.0,0.0,-1109.081771908112,bucket_4,
SMR,SMZ,-1.994788,-5770.360011552921,-1270.0237349765935,0.0,0.0,0.0,-9.3,41.86822579677269,0.0,0.0,-7007.81552073274,bucket_4,
AAL,,,-7.41950528,0.0,0.0,0.0,0.0,-45.63,0.0,0.0,0.0,-53.049505280000005,bucket_1,AALG
AAOI,,,-8742.97764735,0.0,0.0,0.0,0.0,-139.81,0.0,0.0,0.0,-8882.78764735,bucket_1,AAOX
AAPL,,,-2280.5012557,-124.712344,0.0,0.0,0.0,-61.36,1.2366017050697746,0.0,0.0,-2465.3369979949302,bucket_1,AAPB
AAPL,,,-431.64102638,0.0,0.0,0.0,-22.97,-71.8,0.0,0.0,0.0,-526.41102638,bucket_1,AAPU
AAPL,,,-272.18401598,0.0,0.0,0.0,0.0,-13.16,0.0,0.0,0.0,-285.34401598000005,bucket_1,AAPX
ABNB,,,-299.05013925,0.0,0.0,0.0,0.0,-7.93,0.0,0.0,0.0,-306.98013925,bucket_1,ABNG
ABNB,,,531.49797475,0.0,0.0,0.0,-99.24000000000001,-11.59,0.0,0.0,0.0,420.66797475000004,bucket_2,ABNY
ADBE,,,124.12895453,138.193549,0.0,0.0,0.0,-16.72,2.618554648565161,0.0,0.0,248.22105817856516,bucket_1,ADBG
AFRM,,,-399.92486731,-456.511167,0.0,0.0,0.0,-44.82,5.014369686027593,0.0,0.0,-896.2416646239724,bucket_1,AFRU
AI,,,1000.80526146,0.0,0.0,0.0,-237.28,-30.04,0.0,0.0,0.0,733.4852614600001,bucket_2,AIYY
ALB,,,47.236354,92.224141,0.0,0.0,0.0,-5.8100000000000005,2.8480740102656728,0.0,0.0,136.49856901026567,bucket_1,ALBG
AMD,,,-11552.36775501,-305.782701,0.0,0.0,0.0,-65.73,2.3583610494039555,0.0,0.0,-11921.522094960595,bucket_1,AMDG
AMD,,,-11476.82029641,-687.165805,0.0,0.0,0.0,-87.94,4.971128105995401,0.0,0.0,-12246.954973304006,bucket_1,AMDL
AMD,,,896.15158561,0.0,0.0,0.0,-126.77000000000001,-6.84,0.0,0.0,0.0,762.54158561,bucket_2,AMDY
AMD,,,-11396.06678072,-778.438957,0.0,0.0,-21.85,-83.35,5.554434697060641,0.0,0.0,-12274.151303022942,bucket_1,AMUU
AMD,,,0.0,460.611969,0.0,0.0,0.0,0.0,66.70199749707758,0.0,0.0,527.3139664970776,bucket_2,AMYY
AMZN,,,-1348.42708525,-4.486614,0.0,0.0,-25.91,-63.08,0.17466125777821676,0.0,0.0,-1441.7290379922215,bucket_1,AMZU
AMZN,,,917.96394275,0.0,0.0,0.0,-99.67,-9.91,0.0,0.0,0.0,808.3839427500001,bucket_2,AMZW
