symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,18886.179463007997,18886.179463007997,1
SVIX,SVIX,volatility_etp_bucket5,-21980.91,21980.91,1
