etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.025771,1.0
ASTN,ASTS,-2.005648,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-2.008245,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
BMNZ,BMNR,-1.988975,1.0
CELT,CELH,-1.0,1.0
CONI,COIN,-1.931343,1.0
CRCD,CRCL,-1.989458,1.0
CORD,CRWV,-1.999258,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-2.001538,1.0
SDOW,DIA,-2.999014,1.0
DKUP,DKNG,-1.0,1.0
HOOZ,HOOD,-2.015291,1.0
BTCZ,IBIT,-1.997,1.0
IONZ,IONQ,-2.016649,1.0
IREZ,IREN,-2.005364,1.0
TWM,IWM,-2.002495,1.0
TZA,IWM,-2.997297,1.0
BTFL,KEEL,-1.0,1.0
LITZ,LITE,-1.999832,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.993825,1.0
SMST,MSTR,-1.969814,1.0
MUZ,MU,-2.0,1.0
NBIZ,NBIS,-2.027238,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVD,NVDA,-2.0009,1.0
NVDS,NVDA,-1.497049,1.0
OKLS,OKLO,-1.999533,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.997451,1.0
QID,QQQ,-1.994935,1.0
QSX,QS,-1.0,1.0
RGTZ,RGTI,-1.986567,1.0
RKLZ,RKLB,-2.002371,1.0
SMCZ,SMCI,-2.003345,1.0
SNDQ,SNDK,-2.026602,1.0
SNK,SPCX,-2.0,1.0
SPCG,SPCX,-2.0,1.0
SSPC,SPCX,-2.0,1.0
HIBS,SPHB,-3.00496,1.0
SPXS,SPY,-2.994126,1.0
SPXU,SPY,-2.990841,1.0
UVIX,SVIX,-1.991572,1.0
TBT,TLT,-1.997533,1.0
TBX,TLT,-1.370007,1.0
TMV,TLT,-2.990074,1.0
TSDD,TSLA,-2.0087,1.0
STSM,TSM,-1.995013,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.749012,1.0
DUG,XLE,-1.990557,1.0
SKF,XLF,-1.999539,1.0
FNGD,XLK,-2.889704,1.0
REW,XLK,-2.007297,1.0
TECS,XLK,-2.997889,1.0
WEBS,XLK,-2.728971,1.0
DRIP,XOP,-1.99561,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
