symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,17843.2811839737,17843.2811839737,1
DUST,flow_program,16322.84800512,16322.84800512,1
ZSL,flow_program,14404.01047956,14404.01047956,1
SDS,flow_program,10658.594073100001,10658.594073100001,1
FAZ,flow_program,9032.12764092,9032.12764092,1
SQQQ,flow_program,7947.8713692,7947.8713692,1
TSLQ,flow_program,7092.1939803800005,7092.1939803800005,1
NVDQ,flow_program,6640.297154399999,6640.297154399999,1
LABD,flow_program,5389.9418904,5389.9418904,1
EWV,flow_program,3217.42418382,3217.42418382,1
SOXS,flow_program,1422.4195148999997,1422.4195148999997,1
TSYY,flow_program,-66.68685744,66.68685744,1
NVYY,flow_program,-94.979286,94.979286,1
TQQY,flow_program,-460.5603611364,460.5603611364,1
