symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed,discrepancy_blocker,purgatory,purgatory_no_locate,purgatory_borrow_band,purgatory_net_edge,purgatory_vol_ratio
CWY,-189159.76661285252,-26827.2,162332.5666128525,162332.5666128525,189159.76661285252,26827.2,-162332.5666128525,True,no_locate,True,True,False,False,False
COYY,-73553.26916656319,-204681.165,-131127.8958334368,131127.8958334368,73553.26916656319,204681.165,131127.8958334368,False,none,False,False,False,False,False
HMYY,-160451.11537171167,-37934.64,122516.47537171167,122516.47537171167,160451.11537171167,37934.64,-122516.47537171167,True,none,False,False,False,False,False
AMYY,0.0,-107024.47499999999,-107024.47499999999,107024.47499999999,0.0,107024.47499999999,107024.47499999999,False,borrow_band,True,False,True,False,False
XBTY,-58767.7274916963,-140876.505,-82108.7775083037,82108.7775083037,58767.7274916963,140876.505,82108.7775083037,False,none,False,False,False,False,False
HOYY,0.0,-79738.785,-79738.785,79738.785,0.0,79738.785,79738.785,False,borrow_band,True,False,True,False,False
QBY,0.0,-70210.83499999999,-70210.83499999999,70210.83499999999,0.0,70210.83499999999,70210.83499999999,False,borrow_band,True,False,True,False,False
RTYY,-55171.78576288006,-118396.37999999999,-63224.59423711993,63224.59423711993,55171.78576288006,118396.37999999999,63224.59423711993,False,none,False,False,False,False,False
CRY,-80875.06612543778,-19538.5,61336.56612543778,61336.56612543778,80875.06612543778,19538.5,-61336.56612543778,True,no_locate,True,True,False,False,False
POEL,-46562.51936405023,0.0,46562.51936405023,46562.51936405023,46562.51936405023,0.0,-46562.51936405023,True,none,False,False,False,False,False
AXTU,-45577.89697417507,0.0,45577.89697417507,45577.89697417507,45577.89697417507,0.0,-45577.89697417507,True,none,False,False,False,False,False
ASTX,-12078.210817055124,-48402.770000000004,-36324.55918294488,36324.55918294488,12078.210817055124,48402.770000000004,36324.55918294488,False,none,False,False,False,False,False
SMYY,-149227.08172648042,-115764.9606,33462.121126480415,33462.121126480415,149227.08172648042,115764.9606,-33462.121126480415,True,none,False,False,False,False,False
MTYY,-117082.81526389607,-150128.5752,-33045.75993610392,33045.75993610392,117082.81526389607,150128.5752,33045.75993610392,False,none,False,False,False,False,False
LITX,-8542.010563362557,-39182.1,-30640.08943663744,30640.08943663744,8542.010563362557,39182.1,30640.08943663744,False,none,False,False,False,False,False
MUYY,-193183.1230789137,-165648.59999999998,27534.523078913713,27534.523078913713,193183.1230789137,165648.59999999998,-27534.523078913713,True,none,False,False,False,False,False
CORD,-17420.152151606366,-43938.18,-26518.027848393634,26518.027848393634,17420.152151606366,43938.18,26518.027848393634,False,none,False,False,False,False,False
TMYY,-83468.08015782494,-61100.15900000001,22367.92115782493,22367.92115782493,83468.08015782494,61100.15900000001,-22367.92115782493,True,no_locate,True,True,False,False,False
MAAY,-130350.29320669873,-111487.2,18863.09320669873,18863.09320669873,130350.29320669873,111487.2,-18863.09320669873,True,none,False,False,False,False,False
NBIG,-4347.430915710616,-21867.48,-17520.049084289385,17520.049084289385,4347.430915710616,21867.48,17520.049084289385,False,none,False,False,False,False,False
CRMU,-30851.189525053844,-47054.451400000005,-16203.261874946162,16203.261874946162,30851.189525053844,47054.451400000005,16203.261874946162,False,none,False,False,False,False,False
IREZ,0.0,-14631.680000000002,-14631.680000000002,14631.680000000002,0.0,14631.680000000002,14631.680000000002,False,borrow_band,True,False,True,False,False
CRMX,0.0,-13597.56,-13597.56,13597.56,0.0,13597.56,13597.56,False,borrow_band,True,False,True,False,False
IOYY,-139445.434862038,-126081.4827,13363.952162038011,13363.952162038011,139445.434862038,126081.4827,-13363.952162038011,True,none,False,False,False,False,False
RKLX,-4520.146371531574,-17248.0,-12727.853628468427,12727.853628468427,4520.146371531574,17248.0,12727.853628468427,False,none,False,False,False,False,False
