symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,17554.0631793912,17554.0631793912,1
DUST,flow_program,15551.394047999998,15551.394047999998,1
ZSL,flow_program,11570.436469799999,11570.436469799999,1
SDS,flow_program,10694.83077663,10694.83077663,1
FAZ,flow_program,10408.0403412,10408.0403412,1
LABD,flow_program,9994.9432905,9994.9432905,1
TSLQ,flow_program,8828.475967850001,8828.475967850001,1
SQQQ,flow_program,8673.860181909999,8673.860181909999,1
NVDQ,flow_program,6274.41230403,6274.41230403,1
EWV,flow_program,3202.5491403245,3202.5491403245,1
SOXS,flow_program,2402.2020765599996,2402.2020765599996,1
TSYY,flow_program,-66.44925144,66.44925144,1
NVYY,flow_program,-92.964431392,92.964431392,1
TQQY,flow_program,-446.3866470528,446.3866470528,1
