ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.97621,500,ols
AMUU,AMD,2.0,2.007541,233,ols
AMZU,AMZN,2.0,1.983479,500,ols
ASMU,ASML,2.0,2.002507,18,ols_short_history
AVL,AVGO,2.0,1.987303,352,ols
BOEU,BA,2.0,1.992655,220,ols
BABU,BABA,2.0,2.00699,17,ols_short_history
BRKU,BRK-B,2.0,1.944996,309,ols
CONX,COIN,2.0,1.998671,74,ols
CSCL,CSCO,2.0,2.026613,177,ols
FRDU,F,2.0,1.981228,158,ols
GGLL,GOOGL,2.0,1.981702,500,ols
HODU,HOOD,2.0,2.007592,74,ols
LINT,INTC,2.0,1.987356,74,ols
ELIL,LLY,2.0,1.992322,238,ols
LMTL,LMT,2.0,1.982837,148,ols
METU,META,2.0,1.998767,439,ols
MRVU,MRVL,2.0,2.026864,17,ols_short_history
MSFU,MSFT,2.0,1.981549,500,ols
MUU,MU,2.0,1.993879,352,ols
NFXL,NFLX,2.0,1.997133,357,ols
NVDU,NVDA,2.0,1.978907,500,ols
ORCU,ORCL,2.0,2.008612,74,ols
PALU,PANW,2.0,2.005147,238,ols
PLTU,PLTR,2.0,1.991701,309,ols
QCMU,QCOM,2.0,2.004056,177,ols
SHPU,SHOP,2.0,2.009156,148,ols
SOFA,SOFI,2.0,2.019595,18,ols_short_history
TSLL,TSLA,2.0,1.987191,500,ols
TSMX,TSM,2.0,1.994276,357,ols
XOMX,XOM,2.0,1.963985,220,ols
YINN,FXI,2.0,2.974197,500,ols
MEXX,EWW,2.0,2.954875,500,ols
KORU,EWY,2.0,2.94019,500,ols
HIBL,SPY,2.0,4.486837,500,ols
LABU,XBI,2.0,2.987799,500,ols
SOXL,SOXX,2.0,2.960216,500,ols
CHAU,ASHR,2.0,1.96726,500,ols
CWEB,KWEB,2.0,1.986977,500,ols
ERX,XLE,2.0,1.986518,500,ols
NUGT,GDX,2.0,1.980247,500,ols
JNUG,GDXJ,2.0,1.971093,500,ols
GUSH,XOP,2.0,2.011149,500,ols
URAA,URA,2.0,1.929702,426,ols
MSTU,MSTR,2.0,1.965661,368,ols
NVDX,NVDA,2.0,1.998208,500,ols
TSLT,TSLA,2.0,1.992854,500,ols
BTCL,IBIT,2.0,2.006586,417,ols
ETU,ETHA,2.0,1.989126,342,ols
CCUP,CRCL,2.0,1.981947,145,ols
CRWU,CRWV,2.0,1.989211,155,ols
AAPX,AAPL,2.0,1.995016,500,ols
GOOX,GOOGL,2.0,1.982302,500,ols
MSFX,MSFT,2.0,2.006922,500,ols
NFLU,NFLX,2.0,1.988856,361,ols
ROBN,HOOD,2.0,2.012135,276,ols
ARMU,ARM,2.0,1.998292,255,ols
DJTU,DJT,2.0,2.002771,255,ols
RBLU,RBLX,2.0,2.020121,255,ols
SNOU,SNOW,2.0,2.02256,219,ols
SMUP,SMR,2.0,2.059627,155,ols
DKUP,DKNG,2.0,1.983603,152,ols
BULU,BULL,2.0,1.979183,152,ols
GLXU,GLXY,2.0,2.011226,146,ols
AFRU,AFRM,2.0,1.962867,120,ols
AXUP,AXON,2.0,1.971785,120,ols
KTUP,KTOS,2.0,2.020332,120,ols
TTDU,TTD,2.0,1.998305,119,ols
BKNU,BKNG,2.0,2.008352,119,ols
PXIU,UPXI,2.0,1.912445,119,ols
BMNU,BMNR,2.0,1.942121,112,ols
SBTU,SBET,2.0,2.023902,95,ols
CIFU,CIFR,2.0,1.990579,72,ols
SOLX,GSOL,2.0,1.980212,65,ols
XRPK,XRPZ,2.0,1.964814,65,ols
XRPT,XRPZ,2.0,2.020635,71,ols
GMEU,GME,2.0,1.966406,219,ols
APLX,APLD,2.0,1.993921,125,ols
APPX,APP,2.0,1.984377,218,ols
ARCX,ACHR,2.0,1.9894,187,ols
ASTX,ASTS,2.0,1.98981,166,ols
AURU,AUR,2.0,1.850768,99,ols
BEX,BE,2.0,1.978227,78,ols
BLSX,BLSH,2.0,2.009151,93,ols
CEGX,CEG,2.0,1.984413,166,ols
CELT,CELH,2.0,1.957271,104,ols
CLSX,CLSK,2.0,1.998115,120,ols
COZX,CORZ,2.0,2.037597,84,ols
CRDU,CRDO,2.0,1.986375,120,ols
CSEX,CLS,2.0,1.999623,78,ols
CWVX,CRWV,2.0,1.989384,166,ols
DASX,DASH,2.0,1.991849,93,ols
DOGD,DDOG,2.0,2.01559,144,ols
ENPX,ENPH,2.0,2.017514,120,ols
FLYT,FLY,2.0,1.962919,93,ols
GEVX,GEV,2.0,1.994262,166,ols
IREX,IREN,2.0,1.982174,93,ols
JOBX,JOBY,2.0,1.979236,125,ols
LABX,ALAB,2.0,1.994326,144,ols
LRCU,LRCX,2.0,2.049848,139,ols
LYFX,LYFT,2.0,1.839153,99,ols
MDBX,MDB,2.0,1.991302,139,ols
NEBX,NBIS,2.0,1.997753,125,ols
NETX,NET,2.0,1.527111,103,ols
NNEX,NNE,2.0,1.993668,78,ols
NVTX,NVTS,2.0,2.000272,125,ols
NWMX,NEM,2.0,1.221794,68,ols
OKTX,OKTA,2.0,1.692947,80,ols
OPEX,OPEN,2.0,1.999308,93,ols
PONX,PONY,2.0,2.017788,125,ols
QBTX,QBTS,2.0,1.993182,218,ols
QSX,QS,2.0,1.697939,67,ols
QUBX,QUBT,2.0,1.965525,178,ols
RGTU,RGTI,2.0,1.986777,178,ols
SMU,SMR,2.0,1.985949,166,ols
SNPX,SNPS,2.0,1.904801,78,ols
SRPU,SRPT,2.0,1.955898,93,ols
TARK,ARKK,2.0,1.976058,500,ols
TEMT,TEM,2.0,1.984618,206,ols
UNX,U,2.0,2.026062,120,ols
UPSX,UPST,2.0,1.988431,187,ols
VOYX,VOYG,2.0,1.975635,125,ols
WULX,WULF,2.0,1.990632,93,ols
CRMU,CRML,2.0,1.954051,19,ols_short_history
UECG,UEC,2.0,1.986747,19,ols_short_history
DNNG,DNN,2.0,1.95774,19,ols_short_history
RCAX,RCAT,2.0,2.029335,24,ols_short_history
RDWU,RDW,2.0,1.981506,26,ols_short_history
OKLL,OKLO,2.0,1.997081,178,ols
GDXU,GDX,2.0,3.042593,500,ols
MRNX,MRNA,2.0,2.011096,23,ols_short_history
ZETX,ZETA,2.0,2.082357,23,ols_short_history
LITX,LITE,2.0,1.973891,29,ols_short_history
SNXX,SNDX,2.0,1.481593,29,ols_short_history
WDCX,WDC,2.0,2.068058,29,ols_short_history
LNOK,NOK,2.0,1.952895,33,ols
USGG,USAR,2.0,2.003567,38,ols
ONDG,ONDS,2.0,2.003672,38,ols
PLUL,PLUG,2.0,1.936619,38,ols
ALBG,ALB,2.0,2.010759,38,ols
UUUG,UUUU,2.0,1.998006,38,ols
HUTG,HUT,2.0,2.002512,38,ols
XPEG,XPEV,2.0,1.996579,36,ols
ORLG,ORLY,2.0,2.011644,36,ols
LUNL,LUNR,2.0,2.016936,38,ols
RKTL,RKT,2.0,1.931458,38,ols
EOSU,EOSE,2.0,1.983125,37,ols
BTFL,KEEL,2.0,2.033839,47,ols
FGRU,FIGR,2.0,2.007145,14,ols_short_history
APHU,APH,2.0,2.003912,14,ols_short_history
COPZ,COPX,2.0,2.082083,14,ols_short_history
LEUX,LEU,2.0,2.248113,13,ols_short_history
COHX,COHR,2.0,2.053619,13,ols_short_history
AXPG,AXP,2.0,2.022237,13,ols_short_history
FCXG,FCX,2.0,2.060351,13,ols_short_history
BITX,IBIT,2.0,2.003887,500,ols
ETHU,ETHA,2.0,2.000978,408,ols
XXRP,XRPZ,2.0,2.021886,71,ols
AALG,AAL,2.0,1.977661,166,ols
ABNG,ABNB,2.0,1.999201,76,ols
ADBG,ADBE,2.0,1.989338,242,ols
AMDG,AMD,2.0,2.00235,281,ols
ARMG,ARM,2.0,1.996748,288,ols
ASMG,ASML,2.0,1.982812,288,ols
AVGG,AVGO,2.0,2.001228,203,ols
BAIG,BBAI,2.0,2.010339,137,ols
BEG,BE,2.0,1.999986,56,ols
BIDG,BIDU,2.0,2.01117,54,ols
BLSG,BLSH,2.0,2.007976,91,ols
BMNG,BMNR,2.0,1.991886,91,ols
BOEG,BA,2.0,1.993404,184,ols
BULG,BULL,2.0,1.986909,145,ols
CIFG,CIFR,2.0,1.995138,59,ols
CMGG,CMG,2.0,1.972779,76,ols
CNCG,CNC,2.0,1.997281,54,ols
COIG,COIN,2.0,1.995488,246,ols
COTG,COST,2.0,1.984486,118,ols
CRCG,CRCL,2.0,1.989522,145,ols
CRMG,CRM,2.0,1.983576,232,ols
CRWG,CRWV,2.0,1.996569,145,ols
DUOG,DUOL,2.0,2.025991,59,ols
FIGG,FIG,2.0,1.996122,100,ols
FUTG,FUTU,2.0,1.997324,100,ols
GEMG,GEMI,2.0,1.980102,84,ols
GEVG,GEV,2.0,1.944872,56,ols
GLGG,GLXY,2.0,2.002581,137,ols
GRAG,GRAB,2.0,1.985682,59,ols
HOOG,HOOD,2.0,2.006187,242,ols
IREG,IREN,2.0,1.970323,56,ols
KLAG,KLAC,2.0,2.016194,54,ols
LACG,LAC,2.0,2.020191,59,ols
