ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.97621,500,ols,0.045334000000000006,-0.009034,0.05436800000000001,55000,0.05436800000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.562725,0.165859,0.284405,0.078023,0.165859,0.111491,0.111491,0.4940525,0.592863,0.5,0.592863
AMUU,AMD,2.007541,233,ols,0.024663,0.011637,0.013026000000000001,30000,0.013026000000000001,False,False,False,,True,False,False,False,True,False,False,False,False,1.308774,0.49869,0.557124,0.313907,0.484758,0.48566400000000004,0.47173200000000004,0.50188525,0.6022622999999999,0.50188525,0.6022622999999999
AMZU,AMZN,1.983479,500,ols,0.039498000000000005,-0.003198,0.042696000000000005,400000,0.042696000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.627962,0.21487,0.316364,0.09762,0.21487,0.172174,0.172174,0.49586975,0.5950437,0.5,0.5950437
ASMU,ASML,2.002507,18,ols_short_history,0.04502,-0.00872,0.053739999999999996,10000,0.053739999999999996,False,False,False,,True,False,False,False,True,False,False,False,False,0.897721,,0.432575,0.187825,0.187825,,0.134085,0.50062675,0.6007521,0.50062675,0.6007521
AVL,AVGO,1.987303,352,ols,0.055269000000000006,-0.018969,0.074238,250000,0.074238,False,False,False,,True,False,False,False,True,False,False,False,False,1.084437,0.379384,0.534245,0.280005,0.379384,0.30514600000000003,0.30514600000000003,0.49682575,0.5961909,0.5,0.5961909
BOEU,BA,1.992655,220,ols,0.042654,-0.006353999999999999,0.049007999999999996,25000,0.049007999999999996,False,False,False,,True,False,False,False,True,False,False,False,False,0.580863,0.190572,0.34983,0.121036,0.181742,0.141564,0.132734,0.49816375,0.5977965,0.5,0.5977965
BABU,BABA,2.00699,17,ols_short_history,0.031198,0.005102,0.026096,20000,0.026096,False,False,False,,True,False,False,False,True,False,False,False,False,0.585643,,0.440561,0.196134,0.196134,,0.170038,0.5017475,0.602097,0.5017475,0.602097
BRKU,BRK-B,1.944996,309,ols,0.057744,-0.021444,0.079188,60000,0.079188,False,False,False,,True,False,False,False,True,False,False,False,False,0.361872,0.13761,0.172512,0.02735,0.13761,0.058422000000000016,0.058422000000000016,0.486249,0.5834988,0.5,0.5834988
CONX,COIN,1.998671,74,ols,0.098788,-0.062488,0.161276,20000,0.161276,False,False,False,,True,False,False,False,True,False,False,False,False,1.57781,0.699373,0.797354,0.634507,0.653555,0.538097,0.492279,0.49966775,0.5996013,0.5,0.5996013
CSCL,CSCO,2.026613,177,ols,0.06232,-0.026019999999999998,0.08834,15000,0.08834,False,False,False,,True,False,False,False,True,False,False,False,False,0.536046,0.196479,0.235761,0.057822,0.155212,0.10813899999999999,0.06687199999999999,0.50665325,0.6079839,0.50665325,0.6079839
FRDU,F,1.981228,158,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.629657,0.200406,0.347531,0.117398,0.169443,,,0.495307,1.0,0.5,1.0
GGLL,GOOGL,1.981702,500,ols,0.036703,-0.00040300000000000004,0.037106,450000,0.037106,False,False,False,,True,False,False,False,True,False,False,False,False,0.590969,0.205969,0.297875,0.086309,0.205969,0.168863,0.168863,0.4954255,0.5945106,0.5,0.5945106
HODU,HOOD,2.007592,74,ols,0.108997,-0.072697,0.181694,20000,0.181694,False,False,False,,True,False,False,False,True,False,False,False,False,1.476127,0.653267,0.706784,0.505247,0.548713,0.471573,0.367019,0.501898,0.6022776,0.501898,0.6022776
LINT,INTC,1.987356,74,ols,0.21712900000000002,-0.180829,0.39795800000000003,35000,0.39795800000000003,False,False,False,,False,True,False,False,False,True,True,False,False,1.452014,0.603032,0.617929,0.374625,0.441697,0.20507399999999998,0.04373899999999997,0.496839,0.5962067999999999,0.5,0.5962067999999999
ELIL,LLY,1.992322,238,ols,0.09199500000000001,-0.055694999999999995,0.14769,15000,0.14769,False,False,False,,True,False,False,False,True,False,False,False,False,0.853413,0.282741,0.370718,0.135853,0.274581,0.13505100000000003,0.12689100000000003,0.4980805,0.5976965999999999,0.5,0.5976965999999999
