symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,18302.91358896,18302.91358896,1
DUST,flow_program,15780.278015999998,15780.278015999998,1
ZSL,flow_program,11650.4272872,11650.4272872,1
SDS,flow_program,11028.70538482,11028.70538482,1
FAZ,flow_program,10354.870275599998,10354.870275599998,1
LABD,flow_program,9139.516162,9139.516162,1
SQQQ,flow_program,8567.0604327,8567.0604327,1
TSLQ,flow_program,8357.225437000001,8357.225437000001,1
NVDQ,flow_program,6304.38532542,6304.38532542,1
EWV,flow_program,3354.3958067999997,3354.3958067999997,1
SOXS,flow_program,1834.9704496199997,1834.9704496199997,1
TSYY,flow_program,-67.89884244,67.89884244,1
NVYY,flow_program,-98.75918891700002,98.75918891700002,1
TQQY,flow_program,-474.4482379056001,474.4482379056001,1
