etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.02649,0.75
ASTN,ASTS,-2.005023,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.004996,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.991497,0.75
CBRZ,CBRS,-2.0,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.001595,0.75
CONI,COIN,-1.925572,0.75
CRCD,CRCL,-1.996021,0.75
CORD,CRWV,-2.004514,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002498,0.75
SDOW,DIA,-2.999244,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.005158,0.75
BTCZ,IBIT,-1.995681,0.75
IONZ,IONQ,-2.021085,0.75
IREZ,IREN,-2.013545,0.75
TWM,IWM,-2.002402,0.75
TZA,IWM,-2.995906,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.003987,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.975715,0.75
MSTZ,MSTR,-1.994001,0.75
SMST,MSTR,-1.968727,0.75
MUZ,MU,-2.0,0.75
NBIZ,NBIS,-2.033876,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.001109,0.75
NVDS,NVDA,-1.494292,0.75
OKLS,OKLO,-2.00101,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-1.996424,0.75
QID,QQQ,-1.995945,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.987671,0.75
RKLZ,RKLB,-2.007983,0.75
SMCZ,SMCI,-2.0045,0.75
SNDQ,SNDK,-2.022929,0.75
HIBS,SPHB,-3.006366,0.75
SPXS,SPY,-2.99429,0.75
SPXU,SPY,-2.992831,0.75
UVIX,SVIX,-1.980069,0.75
TBT,TLT,-1.999638,0.75
TBX,TLT,-1.370708,0.75
TMV,TLT,-2.990002,0.75
TSDD,TSLA,-2.009704,0.75
STSM,TSM,-1.995152,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.737374,0.75
DUG,XLE,-1.991106,0.75
SKF,XLF,-1.996846,0.75
FNGD,XLK,-2.904047,0.75
REW,XLK,-2.006306,0.75
TECS,XLK,-2.99814,0.75
WEBS,XLK,-2.762754,0.75
DRIP,XOP,-1.996714,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
