underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
MSTR,"MSTR, MTYY",1026.1899644055238,35650.89702877338,2
MARA,"MAAY, MARA",306.3899873999999,22015.650012600003,2
META,"FBL, FBYY, META",246.34150515849987,22262.930250773567,3
HIMS,"HIMS, HMYY",245.87216599999994,1065.787834,2
XOM,"XOM, XOMX",154.07162762086514,15754.36269748696,2
SPY,"SPXL, SPY",113.3720803474674,3881.203094292314,2
DKNG,"DKNG, DRAY",34.91050505739997,1998.1294949426,2
NVDA,"NVDA, NVDB, NVDG, NVDL, NVDU, NVYY",-4.101077742180973,4227.460093717631,6
BABA,"BABA, BABX",-5.791704508885882,954.1428136527078,2
TSM,"TSM, TSMG, TSMU",-7.994039095244314,12591.998539003696,3
RBLX,"RBLU, RBLX",-17.128977677072598,5343.554008487748,2
XYZ,"XYZ, XYZG",-18.824723884628497,4967.994489519801,2
GOOGL,"GGLL, GOOGL, GOOX",-20.197331826241555,3759.844367849735,3
RDDT,"RDDT, RDTL",-25.01273924140834,5902.618608708988,2
SNOW,"SNOU, SNOW",-26.253802165122078,2565.8438791278068,2
AAPL,"AAPB, AAPL, AAPU",-28.71739020875647,3160.104743114734,3
PYPL,"PYPG, PYPL",-36.428605371144215,4595.931333038796,2
AMD,"AMD, AMDG, AMDL, AMUU",-38.55770426378807,11818.757924773905,4
IBIT,"BITU, BITX, BTCL, IBIT, XBTY",-46.87444569747287,8587.816322918217,5
PLTR,"PLTA, PLTR, PLTU, PTIR",-63.71459248957374,19823.166932798467,4
ABNB,"ABNB, ABNG",-75.82667582972928,3508.17267967408,2
COIN,"COIN, CONX",-82.60602388796876,7784.686596031754,2
NFLX,"NFLU, NFLX",-90.13168551782844,11467.618299368532,2
AMZN,"AMZN, AMZU, AMZZ",-91.34779071688612,17609.811990616407,3
ARM,"ARM, ARMG",-95.77296963833007,3572.8858577190813,2
HOOD,"HODU, HOOD",-134.93417891814042,9770.262796825547,2
TSLA,"TSLA, TSLI, TSLL, TSLR, TSYY",-272.2546793980876,7652.515353629496,5
QQQ,"QQQ, TQQQ, TQQY",-555.2039624637765,7671.804778802162,3
MSFT,"MSFL, MSFT, MSFU, MSFX",-593.9860245940976,36569.27751413519,4
