etf,underlying,pair_frac_merged
XBTY,IBIT,0.03999999983247453
IOYY,IONQ,0.03754409391798644
MAAY,MARA,0.03214679155975964
FBYY,META,0.03019966102630124
QBTZ,QBTS,0.025000000012865328
ETHD,ETHA,0.025000000010058445
CORD,CRWV,0.025000000008011596
MTYY,MSTR,0.024347310830114564
MSDD,MSTR,0.021590808670600745
PLTZ,PLTR,0.021349484748849658
ETHU,ETHA,0.020478279089676477
SMYY,SMCI,0.01935946220590773
QBTX,QBTS,0.01848080412892775
ASTX,ASTS,0.01703510965747445
COYY,COIN,0.016402680627456034
ETU,ETHA,0.015533732446948513
NUGT,GDX,0.013353326125549224
CWVX,CRWV,0.012718467498443974
CWEB,KWEB,0.012486552735327188
INTW,INTC,0.012433354846966352
BABX,BABA,0.012024209408650755
SMU,SMR,0.011894733411821273
NEBX,NBIS,0.011847040817922413
ETHT,ETHA,0.01057695570901491
BITX,IBIT,0.010573356877057995
CRWG,CRWV,0.010569339982077016
NVTX,NVTS,0.01017749228651718
LLYX,LLY,0.010007680861911726
CONL,COIN,0.009935669600363947
UBRL,UBER,0.009861133953124613
JNUG,GDXJ,0.009803819991991976
RGTX,RGTI,0.009726260953006799
LABX,ALAB,0.009607312889722382
APPX,APP,0.009490158651723028
RKLX,RKLB,0.008935342360640601
PTIR,PLTR,0.008393307538959744
BTCL,IBIT,0.008298060533970676
MUU,MU,0.008170986204298201
BITU,IBIT,0.008086010303820048
IONX,IONQ,0.008083632705103042
SNOU,SNOW,0.007952775306115777
CRDU,CRDO,0.007817893801609731
MSFU,MSFT,0.007320701769269631
PALU,PANW,0.0069325082303611325
NBIG,NBIS,0.006832380476172848
TSLI,TSLA,0.006649190544846514
CLSX,CLSK,0.006347617456738872
FBL,META,0.006271152140280939
NFLU,NFLX,0.006176791678144163
NVOX,NVO,0.005993679702682002
OSCX,OSCR,0.005992723329728886
COIA,COIN,0.005921922679972624
DKNX,DKNG,0.005774333416498454
GLXU,GLXY,0.0056699251925252155
GOOX,GOOGL,0.005664281075984184
AMDL,AMD,0.005600055036192209
PLTU,PLTR,0.005562064040830067
TSLL,TSLA,0.005376213191216751
RDTL,RDDT,0.0053238344057440126
OKLL,OKLO,0.005288998230295633
UPSX,UPST,0.005280792578356135
WULX,WULF,0.005061736459872519
ROBN,HOOD,0.005036052564937059
RBLU,RBLX,0.005030961205800362
AVGG,AVGO,0.005013910996502783
NBIL,NBIS,0.0049941025796352775
TEMT,TEM,0.004914730563568075
AVXX,AVAV,0.00483329627497675
CRMG,CRM,0.004651321485050708
NFXL,NFLX,0.004509775663896134
TSLR,TSLA,0.004477509003810794
HOOX,HOOD,0.004431591172350912
COIG,COIN,0.004360374571896455
NVDG,NVDA,0.004318648814105274
BOEU,BA,0.00426034199342585
GEVX,GEV,0.004257304050810996
AMZZ,AMZN,0.004211508002467272
CONI,COIN,0.004160106169145971
AMUU,AMD,0.0041562381348133025
PANG,PANW,0.004104097064447811
MULL,MU,0.004079402138560525
CRWU,CRWV,0.0040382327956617736
QCMU,QCOM,0.004007713220596667
IRE,IREN,0.003984606609965984
ANEL,ANET,0.003955444104314818
URAA,URA,0.003841978365485755
AMDG,AMD,0.003837070502540643
XYZG,XYZ,0.00379361370346142
AVL,AVGO,0.0037748203598520916
ORCX,ORCL,0.0036476421506138326
NVDU,NVDA,0.0035230258151002698
IONL,IONQ,0.0034643771105682592
PLTA,PLTR,0.00332800585623507
NVDL,NVDA,0.0030725581464907423
VRTL,VRT,0.0029860439567465707
METU,META,0.0029611888024786374
TSLT,TSLA,0.002957055322724098
SOFX,SOFI,0.0029503809523491313
MSTZ,MSTR,0.0028996003804683114
BULX,BULL,0.0028146353669967427
HOOG,HOOD,0.0027811667800986045
BAIG,BBAI,0.002604866578656156
CVNX,CVNA,0.0025982203656859
AMZU,AMZN,0.0024944306406881425
YINN,FXI,0.002490901431814101
VSTL,VST,0.002475020914977556
QUBX,QUBT,0.0024040708093827795
TSMG,TSM,0.002273753664365668
COZX,CORZ,0.0022678113944697782
ARCX,ACHR,0.0022076298433283295
TSMU,TSM,0.002193071628684993
MSTX,MSTR,0.002100340777650655
AVGX,AVGO,0.002055149645822328
RIOX,RIOT,0.0020433944305835905
KTUP,KTOS,0.0020386516578494653
SOUX,SOUN,0.0020177551872250323
UNHG,UNH,0.0019103187726353583
NOWL,NOW,0.0018952928069633473
LRCU,LRCX,0.0018301416137299364
CEGX,CEG,0.0016344666999075343
BOEG,BA,0.0016046800370361019
MVLL,MRVL,0.001557775311417742
ETRL,ETOR,0.0014744110860250893
TSLG,TSLA,0.0014294318699357603
GDXU,GDX,0.0014099162314380376
SBTU,SBET,0.0013628586060436011
NVDB,NVDA,0.001359678253040511
IREX,IREN,0.0013370900318244391
RGTU,RGTI,0.0012767534883345079
DLLL,DELL,0.0012691307672541483
UNX,U,0.0011436446820599728
SHPU,SHOP,0.0011034472110953738
MPL,MP,0.0010115677637267527
PLTG,PLTR,0.000931616185524609
LMNX,LMND,0.0009030102331194095
CRWL,CRWD,0.0008771584380005195
ARMG,ARM,0.0008394696992837889
AFRU,AFRM,0.0007678116247664946
QSU,QS,0.000698120075986851
MPG,MP,0.0006677517510845175
SOXL,SOXX,0.0006527005369350268
HIMZ,HIMS,0.0006451615343394975
ASMG,ASML,0.0006451614182058357
PONX,PONY,0.0006451613922574459
AVGU,AVGO,0.0006451613765235469
MSTU,MSTR,0.00064516133587123
GLGG,GLXY,0.0006451613182880502
OPEX,OPEN,0.0006451613165066772
MRAL,MARA,0.000645161315322543
SRPU,SRPT,0.0006451612992806667
JOBX,JOBY,0.000645161295548557
SMCL,SMCI,0.0006451612893583576
QPUX,IONQ,0.0006451612855590663
TTDU,TTD,0.0006451612841027356
TARK,ARKK,0.0006451612726942496
