underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
MSTR,"MSOO, MSTR, MSTW, MSTY, MTYY",1842.876227304243,8097.6761840395675,-0.37,0.0,-7128.3,-710.96,107.44473160782762,0.0,0.0,2208.367142951638
MARA,"MAAY, MARA, MARO",979.7263744200001,5774.38091,-9.29,0.0,-4209.22,-419.01,82.78549646360509,0.0,0.0,2199.372780883605
AMZN,"AMZN, AMZW, AMZY, AZYY",1775.56610859,558.8881174711635,0.0,0.0,-240.12,-24.439999999999998,0.0,0.0,0.0,2069.8942260611634
NFLX,"NFLW, NFLX, NFLY",61.09994813013111,2434.6184508756305,0.0,0.0,-461.23,-34.870000000000005,0.0,0.0,0.0,1999.6183990057618
NVDA,"NVDA, NVDO, NVDY, NVYY",205.2055377,1375.9268177683498,0.955470463572315,0.0,-273.0,-23.44,0.270802977313178,0.0,0.0,1285.9186289092354
META,"FBY, FBYY, META, METW",290.66860655031815,2001.0314019030034,9.192026183228965,0.0,-1072.77,-100.19999999999999,26.205844361854318,0.0,0.0,1154.1278789984049
AMD,"AMD, AMDY",896.15158561,295.6724444219617,0.0,0.0,-126.77000000000001,-6.84,0.0,0.0,0.0,1058.2140300319616
MSFT,"MSFO, MSFT, MSFW",1690.03038577,-502.2238082012849,12.083217469698543,0.0,-264.38,-35.21,0.0,0.0,0.0,900.2997950384135
COIN,"COIN, COIW, CONY",2153.6723025186866,-1351.0894688670555,0.0,0.0,-165.33,-17.740000000000002,0.0,0.0,0.0,619.5128336516311
GOOGL,"GOOGL, GOOY",459.75651363000003,221.26287618554733,5.45083841330961,0.0,-118.94,-13.03,0.0,0.0,0.0,554.5002282288569
RDDT,"RDDT, RDYY",806.4011985000001,-191.35425585520332,0.0,0.0,-105.7,-10.620000000000001,0.0,0.0,0.0,498.7269426447967
HOOD,"HOOD, HOOW, HOOY",3688.43122228,-2676.477161713441,0.0,0.0,-669.09,-21.19,0.0,0.0,0.0,321.6740605665591
XOM,"XOM, XOMO",-255.23719707,668.400283732854,19.996761883309386,0.0,-163.23,-23.080000000000002,0.0,0.0,0.0,246.8498485461634
ABNB,"ABNB, ABNY",212.45937050000003,123.22519557551307,0.0,0.0,-99.24000000000001,-11.59,0.0,0.0,0.0,224.8545660755131
AAPL,"AAPL, APLY",37.66504405,251.70346553961915,6.499639923753586,0.0,-116.11,-25.32,0.0,0.0,0.0,154.4381495133727
ARM,"ARM, ARMW",174.02727752,92.8539801242118,0.0,0.0,-140.34,-15.81,0.0,0.0,0.0,110.73125764421178
XYZ,"XYZ, XYZY",674.11389486,-461.8884834823316,0.0,0.0,-145.49,-9.73,0.0,0.0,0.0,57.00541137766834
HIMS,"HIMS, HMYY",-91.34587966,149.217804,0.0,0.0,-11.61,-1.24,3.6760162984114433,0.0,0.0,48.69794063841144
PYPL,"PYPL, PYPY",900.2662167999999,-774.953791,0.0,0.0,-91.03,-11.91,0.0,0.0,0.0,22.372425799999974
TSM,"TSM, TSMY",-178.58521378460333,320.17045808862406,16.078960528955438,-3.3776091206991055,-138.64,-10.64,0.0,0.0,0.0,5.00659571227709
SPY,"JEPI, SPY, SPYI, XYLD, XYLG",4.239159799999991,13.119353329087769,-0.34,0.0,-64.38,-26.71,0.0,0.0,0.0,-74.07148687091224
AI,"AI, AIYY",117.26935850999996,0.0,0.0,0.0,-176.57999999999998,-20.3,0.0,0.0,0.0,-79.61064148999992
SNDX,SNXX,-97.22757425,0.0,0.0,0.0,0.0,-1.15,0.0,0.0,0.0,-98.37757425000001
CVNA,"CVNA, CVNY",22.698600640000222,0.0,0.0,0.0,-140.7,-23.330000000000002,0.0,0.0,0.0,-141.33139935999986
RBLX,"RBLX, RBLY",751.0320812900001,-730.9823612305862,0.0,0.0,-167.32,-8.18,0.0,0.0,0.0,-155.45027994058603
DKNG,"DKNG, DKUP, DRAY",305.50381485000014,-416.06547900000004,0.0,0.0,-50.56,-32.73,2.842148388080167,0.0,0.0,-191.0095157619196
PLTR,"PLTR, PLTW",1124.7039502896923,-942.6227148707079,0.0,0.0,-381.96999999999997,-10.21,0.0,0.0,0.0,-210.09876458101564
QQQ,"JEPQ, QQQ, QQQX, QYLD, QYLG, TQQY",-239.48196772000006,15.77675340023899,0.0,0.0,-170.38,-31.27,0.8673392516270909,0.0,0.0,-424.4878750681339
BABA,"BABA, BABO",306.0343233837702,-662.126277402607,0.0,0.0,-151.56,-10.63,0.0,0.0,0.0,-518.2819540188368
IBIT,"IBIT, XBTY",0.0,942.4234024103082,-0.15,0.0,-1785.47,-79.27,31.0137284705241,0.0,0.0,-891.4528691191679
TSLA,"TSLA, TSLW, TSLY, TSYY",973.2850250125626,-2200.9127085309183,0.0,0.0,-352.64,-45.96,0.22863141977810256,0.0,0.0,-1625.9990520985775
SNOW,"SNOW, SNOY",734.35125347,-2668.7931015656704,0.0,0.0,-114.75,-12.7,0.0,0.0,0.0,-2061.8918480956704
