underlying,etf,delta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
BE,BEZ,-2.011492,0.0,924.4661804440324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.4661804440324
CLSK,CLSZ,-2.021312,-256.0511165367608,937.8617091910306,0.0,0.0,0.0,-1.3587539597932605,0.0,0.0,0.0,680.4518386944766
MSTR,SMST,-1.976281,36.55685700106543,373.9879698546013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.54482685566677
MSTR,MSTZ,-2.00267,36.55685700106543,373.9879698546013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.54482685566677
MSTR,MSDD,-1.991286,36.55685700106543,373.9879698546013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.54482685566677
IREN,IREZ,-2.012506,0.0,303.7439444226767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.7439444226767
XLK,WEBS,-2.792386,280.07212157524543,0.0,0.0,0.0,0.0,-1.2061567536525488,0.0,0.0,0.0,278.8659648215929
QQQ,QID,-1.9972,72.44317078,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,71.65317078
CRCL,CRCD,-2.013611,0.0,36.84089474706119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.84089474706119
XLE,DUG,-1.991841,0.0,0.0,30.739033648702016,0.0,0.0,0.0,0.0,0.0,0.0,30.739033648702016
RGTI,RGTZ,-1.98427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMCI,SMCZ,-2.028408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RKLB,RKLZ,-2.015457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMD,DAMD,-2.031219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QS,QSX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPHB,HIBS,-3.005887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
