underlying,sector,sector_source,sector_confidence,instrument_class,beta_to_spy,beta_source,net_notional_usd,gross_notional_usd
MSTR,crypto-equity,override,1.0,letf,3.0464572926156737,computed,5541.528019725996,33778.631980274
MARA,crypto-equity,override,1.0,letf,3.148174695598902,computed,2676.0591056766007,21948.5408943234
VALE,metals,vendor,0.75,letf,1.1210615695532224,computed,2200.0532472896,3830.7267527104
META,mega-cap-tech,override,1.0,letf,1.4465829767171845,computed,1147.92853104,29988.09146896
GDX,metals,override,1.0,letf,1.7025260061014063,computed,1072.9892687799984,38381.65073122
USAR,industrials,override,1.0,letf,3.040864297428169,computed,848.7847641600001,19829.67523584
MRVL,semis,override,1.0,letf,2.846530170374213,computed,759.5683789919967,45919.931621008
TSM,semis,override,1.0,letf,2.105903438152244,computed,523.4555985653033,32178.0444014347
WULF,crypto-equity,override,1.0,letf,3.122762118623215,computed,400.4475546400008,28216.97244536
HIMS,healthcare,override,1.0,letf,2.6063267784483917,computed,361.30135999999993,1096.15864
CIFR,crypto-equity,override,1.0,letf,3.984591099129745,computed,280.06654838399845,17718.853451616
CRDO,semis,override,1.0,letf,3.1171170867973257,computed,280.0408787200031,28009.49912128
PLUG,clean,override,1.0,letf,2.640700478240554,computed,263.3268427926014,31499.8331572074
LLY,healthcare,override,1.0,letf,0.45616521652183495,computed,258.44963025180004,3357.5103697482
RTX,industrials,vendor,0.75,letf,0.4729167547955343,computed,230.78396409679976,4077.9160359032
HUT,crypto-equity,override,1.0,letf,4.566000476906745,computed,223.4794371156004,24031.1605628844
BE,clean,override,1.0,letf,4.162849671111322,computed,219.85810262999985,15324.58189737
COPX,metals,override,1.0,letf,2.250203779408512,computed,218.59757292759969,17195.8224270724
VRT,hardware,override,1.0,letf,2.5303054599786376,computed,168.84069759999875,21596.7793024
IWM,broad,override,1.0,letf,1.2688340858748755,computed,163.79130235999992,2535.70869764
NOW,software,override,1.0,letf,0.7493036941658241,computed,154.6677784000001,3702.9322216
MRNA,healthcare,override,1.0,letf,1.6404492750442818,computed,142.27383352750076,17464.6861664725
CORZ,crypto-equity,override,1.0,letf,2.407325400671569,computed,140.38834140000108,23576.4116586
XOP,energy,override,1.0,letf,-0.12944831376711213,computed,112.06671966999966,22711.453280330003
IBIT,crypto,override,1.0,letf,1.802702866980832,computed,111.26175229999536,75948.1382477
DKNG,software,override,1.0,letf,0.7963342571321939,computed,106.5559803839999,1935.084019616
ORLY,consumer,vendor,0.75,letf,0.07107633604075027,computed,86.65360100259977,4548.846398997401
FIGR,software,override,1.0,letf,2.8557455640484393,computed,81.26180954999836,27359.37819045
GLXY,crypto-equity,override,1.0,letf,3.853850090168674,computed,79.99525659999927,18242.5047434
FCX,metals,override,1.0,letf,2.1368187311172027,computed,69.59733994530052,6212.1626600547
ISRG,healthcare,vendor,0.75,letf,0.8516805693420675,computed,56.5583693136,5440.4016306864
UUUU,nuclear,override,1.0,letf,2.677426564567237,computed,48.64269976000014,8616.377300240001
BA,industrials,override,1.0,letf,1.1028058191120538,computed,45.5414455991986,35850.7785544008
SPY,broad,override,1.0,letf,1.0,computed,35.0573392199999,4174.902660780001
LCID,consumer,override,1.0,letf,2.2317315045524064,computed,34.830917,1551.369083
UBER,consumer,override,1.0,letf,0.9567289692023898,computed,28.39007323039914,18173.8499267696
KTOS,drones,override,1.0,letf,2.1583771917077894,computed,5.780313679999836,4012.35968632
PAAS,metals,override,1.0,letf,1.812445925817611,computed,3.065783161000013,1240.154216839
EWW,intl,override,1.0,letf,0.9119390338578329,computed,2.0414064744004463,6160.738593525601
DJT,software,override,1.0,letf,2.313994917685695,computed,-1.3819289600000957,1774.38192896
OKLO,nuclear,override,1.0,letf,3.9422013919229637,computed,-2.937599199999568,15670.177599199997
NU,fintech,override,1.0,letf,1.3188592137241022,computed,-18.34510192800008,17330.805101928
NEM,metals,override,1.0,letf,1.5127235716511667,computed,-19.562228740000137,3875.50222874
TTD,software,override,1.0,letf,0.7153751027480549,computed,-20.11431341999969,4253.47431342
AAL,industrials,override,1.0,letf,1.7998231824986162,computed,-23.13102912000022,5201.071029119999
ALAB,semis,override,1.0,letf,3.3936247720585353,computed,-23.603524160000237,37601.80352416
XYZ,fintech,override,1.0,letf,1.9922795024304374,computed,-29.66099099999974,5660.600991
CNC,healthcare,override,1.0,letf,0.24411301315108594,computed,-31.951711692600043,1747.9517116926
XOM,energy,vendor,0.75,letf,-0.3854947411951652,computed,-35.66431308900064,18577.224313089
ARKK,broad,override,1.0,letf,2.2765752444082152,computed,-37.95906760000025,5606.4390676
ADBE,mega-cap-tech,override,1.0,letf,0.4625905746447373,computed,-38.9805216000002,4009.4605216
UPS,industrials,override,1.0,letf,0.8516078283002517,computed,-41.12032913999997,3823.28032914
GLW,semis,override,1.0,letf,2.5531940209964326,computed,-48.51971995289989,1709.3197199529
XBI,healthcare,heuristic,0.55,letf,1.0489454330565082,computed,-51.04545327999995,4656.685453280001
JOBY,evtol,override,1.0,letf,3.1401542503661553,computed,-53.17448880000006,2653.2144888000003
SATS,satellite,override,1.0,letf,1.6217575194123146,computed,-53.34380123519986,9328.3438012352
RBLX,software,override,1.0,letf,1.696768280751925,computed,-56.68147571999907,16012.84147572
PONY,china,override,1.0,letf,3.2486305265124287,computed,-59.11494239999956,17611.1149424
PYPL,fintech,override,1.0,letf,1.2729135906452027,computed,-62.26177383999993,5043.26177384
ACHR,evtol,override,1.0,letf,2.956593445672337,computed,-74.00685766000015,4792.0868576600005
SNOW,software,override,1.0,letf,1.27175792323306,computed,-75.88456895999934,14717.98456896
HOOD,fintech,override,1.0,letf,3.050341544698058,computed,-77.94838332000108,9978.84838332
XPEV,china,override,1.0,letf,1.6163956365850718,computed,-80.09852429679995,4423.5985242968
NET,software,override,1.0,letf,1.5366952512279504,computed,-84.98094400000002,1269.260944
NOK,industrials,override,1.0,letf,1.4509702478342,computed,-86.56471278000026,6281.14471278
ZETA,software,override,1.0,letf,2.629444382756858,computed,-88.64912275359939,4617.8491227536
GDXJ,metals,override,1.0,letf,1.9556840709779264,computed,-88.79001600000038,4489.410016
OKTA,software,override,1.0,letf,1.228819203189734,computed,-100.74967783179954,4709.389677831799
APH,semis,override,1.0,letf,1.7137434967179428,computed,-105.45694347949984,5468.016943479501
GME,consumer,override,1.0,letf,0.816335311722574,computed,-109.16594764,1871.76594764
CMG,consumer,override,1.0,letf,0.9095693932015629,computed,-110.06353777280036,14913.823537772798
CRWD,software,override,1.0,letf,1.4590454641404604,computed,-112.5390650000004,4294.539065000001
MP,metals,override,1.0,letf,1.8878847790909858,computed,-118.24414681999951,7095.844146819999
ASHR,china,heuristic,0.55,letf,0.7439264520919772,computed,-118.40359080000052,16816.4035908
BULL,crypto-equity,override,1.0,letf,2.5193406213489884,computed,-119.35618380000004,5731.036183800001
CHNL,other,default,0.1,letf,2.252700464163744,computed,-119.42311753360082,7633.3321175336
ABNB,consumer,vendor,0.75,letf,1.144467148242129,computed,-120.59320924500024,5081.753209245
URA,nuclear,override,1.0,letf,2.3689027674248826,computed,-126.88221950999832,18365.98221951
LRCX,semis,override,1.0,letf,2.949383982442734,computed,-132.63249820000055,5351.8324982
COHR,semis,override,1.0,letf,3.088422160196647,computed,-133.45526399999994,2101.455264
FUTU,fintech,vendor,0.75,letf,2.090181434222876,computed,-133.94203127999992,1784.5420312799995
LEU,nuclear,override,1.0,letf,3.245878264789174,computed,-134.6471089295992,21548.7671089296
OPEN,consumer,override,1.0,letf,2.9277202223031993,computed,-138.25047681680098,8095.9504768168
MU,semis,override,1.0,letf,3.1302690070030694,computed,-138.86021749999964,21171.4402175
SNAP,software,override,1.0,letf,1.9450162831953806,computed,-139.08558003200096,6122.965580032
DNN,nuclear,override,1.0,letf,1.9668835969738125,computed,-140.22075783360015,5494.9407578336
SHOP,software,override,1.0,letf,2.1492424343633747,computed,-151.93771056000014,4721.77771056
IBM,software,vendor,0.75,letf,0.9587636681641427,computed,-152.85644635799986,1658.856446358
NVDA,semis,override,1.0,letf,1.859143477550067,computed,-153.61773248360686,82667.2177324836
GOOGL,mega-cap-tech,override,1.0,letf,1.3251196939600194,computed,-154.9801124400019,41821.46011244
ARM,semis,override,1.0,letf,3.080000081735935,computed,-155.0131947,4375.5931947
CSCO,software,vendor,0.75,letf,1.0585488217057617,computed,-157.07692298829895,19085.0769229883
SBUX,consumer,vendor,0.75,letf,0.6549065371560641,computed,-157.85246424160005,4879.1324642416
PANW,software,override,1.0,letf,1.1526167992652903,computed,-163.41305280600136,44577.433052806
CRM,mega-cap-tech,override,1.0,letf,0.5247909608106887,computed,-169.87192030000188,18654.3119203
AFRM,fintech,override,1.0,letf,2.5912790759539495,computed,-175.11859851999907,8734.87859852
RDDT,software,override,1.0,letf,1.9176130034891206,computed,-177.066718080001,9274.26671808
WDC,semis,override,1.0,letf,2.884838287507684,computed,-180.22289364000017,6690.642893640001
UNH,healthcare,override,1.0,letf,0.5505108305170892,computed,-183.46379960000013,20433.0637996
GEV,industrials,override,1.0,letf,2.0438635571208805,computed,-184.42831250000015,21707.4683125
AAPL,mega-cap-tech,override,1.0,letf,0.8754933344397672,computed,-195.37304730000145,32856.9730473
GRAB,consumer,override,1.0,letf,1.4804500668873135,computed,-196.46561218100032,9940.945612181
TEM,software,override,1.0,letf,2.5124072101626433,computed,-197.1612419999983,18155.761242
NIO,china,override,1.0,letf,1.2113307687486528,computed,-197.85542912000028,6394.59542912
DELL,hardware,override,1.0,letf,1.9145862353582357,computed,-215.07470583999972,7552.494705839999
ORCL,mega-cap-tech,override,1.0,letf,1.826240798068687,computed,-216.01070000000027,6279.5707
BIDU,mega-cap-tech,vendor,0.75,letf,1.642371729517583,computed,-217.71479255999972,4968.85479256
CLSK,crypto-equity,override,1.0,letf,3.317578998332596,computed,-223.80246455999892,16600.08246456
OSCR,healthcare,override,1.0,letf,1.5139451573525755,computed,-227.41454968639985,6104.2945496864
UPST,fintech,override,1.0,letf,2.773280740847529,computed,-236.45909699999905,12281.219097
COIN,crypto-equity,override,1.0,letf,3.114041313298173,computed,-244.1418520000016,11833.991852
U,software,override,1.0,letf,2.286115823655005,computed,-247.3440017344005,8130.064001734401
CLS,semis,override,1.0,letf,3.072008109074454,computed,-253.8107346000006,5606.2907346
BLSH,crypto-equity,override,1.0,letf,2.676300106053648,computed,-254.3347659279989,18644.814765928
ASML,semis,override,1.0,letf,2.1928656735021144,computed,-255.60957307999888,17185.56957308
TER,semis,override,1.0,letf,3.0718000181193097,computed,-257.79501101069945,26604.035011010703
BBAI,software,override,1.0,letf,3.0555413304637407,computed,-257.90104000000065,23410.40104
QCOM,semis,override,1.0,letf,2.0044471744887926,computed,-272.6581900000001,16140.11819
FIG,software,override,1.0,letf,1.2418918468294895,computed,-272.8819103200003,12383.60191032
EWY,intl,override,1.0,letf,2.584677129398439,computed,-290.5968760000005,5304.576876
ASTS,space,override,1.0,letf,3.228723229175,computed,-308.8657446000016,22680.1057446
CEG,nuclear,override,1.0,letf,1.4093676811675167,computed,-318.5005662000003,21856.5805662
AVGO,semis,override,1.0,letf,2.125126388326301,computed,-361.8957570000002,52959.935757
PLTR,software,override,1.0,letf,1.7903566787716079,computed,-362.4490393200013,61463.72903932
COST,consumer,vendor,0.75,letf,-0.08036906773493596,computed,-379.02784840959976,16174.3878484096
SOXX,semis,override,1.0,letf,2.4145157352168836,computed,-381.3935662900003,22302.69356629
BABA,china,override,1.0,letf,1.2643809075586798,computed,-386.5887476499984,16463.028747649998
APP,software,override,1.0,letf,2.14443573866243,computed,-388.8767760000005,6914.136775999999
RCAT,drones,override,1.0,letf,3.4425252927923906,computed,-411.0516972000005,20235.7116972
KWEB,china,override,1.0,letf,1.1750874257764483,computed,-422.2429294399981,16616.04292944
SOEZ,broad,override,1.0,letf,2.631536513449184,computed,-425.2607139100001,18657.74071391
SPOT,software,override,1.0,letf,0.6177579472174172,computed,-435.9477976205994,4687.5477976206
CRCL,software,override,1.0,letf,3.033920107686827,computed,-436.6205409600007,23862.90054096
IREN,crypto-equity,override,1.0,letf,3.374373396812159,computed,-453.9856439999985,26211.985644
AMZN,mega-cap-tech,override,1.0,letf,1.4251419620857801,computed,-459.5280636108018,49400.7280636108
UEC,nuclear,override,1.0,letf,2.793883792120053,computed,-468.5081767634984,18842.4281767635
FXI,china,override,1.0,letf,0.852411578916032,computed,-493.1874872000026,20150.6274872
ETHA,crypto,override,1.0,letf,2.96948281034266,computed,-494.11166443,60226.75166443
BMNR,crypto-equity,override,1.0,letf,5.025233074402912,computed,-500.9655963299992,22492.16559633
LITE,semis,override,1.0,letf,2.730328158734172,computed,-504.4984287500001,7634.25842875
RKT,fintech,override,1.0,letf,2.0327659224857544,computed,-562.5332079999989,15755.173207999998
DUOL,software,override,1.0,letf,0.8903104989326522,computed,-572.2122207999992,15469.0122208
QQQ,broad,override,1.0,letf,1.3621400598707503,computed,-639.7524271239995,8325.392427124
SOFI,fintech,override,1.0,letf,2.546608447289008,computed,-641.4777336040006,21384.177733604003
SMCI,semis,override,1.0,letf,3.5451785510948364,computed,-650.5388379799997,8034.53883798
SBET,crypto-equity,override,1.0,letf,3.552236004355174,computed,-666.8179825000007,19722.6979825
ONDS,drones,override,1.0,letf,3.4686835559571576,computed,-684.842932800002,26715.2429328
NBIS,software,override,1.0,letf,3.1657766037233936,computed,-733.203714000003,47359.083714
NFLX,mega-cap-tech,override,1.0,letf,0.3217623315790996,computed,-740.4097496909963,69941.589749691
SNDK,semis,override,1.0,letf,3.933462322427434,computed,-745.0028459999994,26490.162846
CRWV,software,override,1.0,letf,2.920453197830077,computed,-782.5285818800003,36889.64858188
INTC,semis,override,1.0,letf,2.508783582010509,computed,-937.1927923000004,36968.1927923
IONQ,quantum,override,1.0,letf,3.359187887182876,computed,-948.3373819200006,22126.65738192
RDW,space,override,1.0,letf,3.749036999495683,computed,-953.1331757999988,13429.7731758
QBTS,quantum,override,1.0,letf,4.077310935356446,computed,-1043.2036974399998,38057.603697440005
LAC,metals,override,1.0,letf,2.087658167721897,computed,-1114.93580672,14614.57580672
XRPZ,crypto,override,1.0,letf,2.694504240973505,computed,-1173.5300172000025,40003.3700172
CRML,metals,override,1.0,letf,3.6140463211839493,computed,-1212.8162226528038,42705.3362226528
KLAC,semis,override,1.0,letf,2.627630424042466,computed,-1255.391548939202,22073.5915489392
QUBT,quantum,override,1.0,letf,3.657343380536942,computed,-1265.2287035100017,50088.90870351
TSLA,mega-cap-tech,override,1.0,letf,2.0978772580424696,computed,-1318.4850802256035,40986.2850802256
FLY,evtol,override,1.0,letf,3.159727083891268,computed,-1804.9352230000004,28483.615223
MSFT,mega-cap-tech,override,1.0,letf,0.8003185269488805,computed,-1807.6000731699987,66527.64007317
AAOI,software,vendor,0.75,letf,4.057344327056327,computed,-2793.555646499997,71699.7156465
AMD,semis,override,1.0,letf,2.9068621008108337,computed,-3057.683599413698,88761.7635994137
NVTS,semis,override,1.0,letf,4.257920064257825,computed,-5352.2069428,63441.7269428
