etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-1.0,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-1.9809,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
CELT,CELH,-1.0,1.0
CLSZ,CLSK,-2.036713,1.0
CONI,COIN,-1.0,1.0
CRCD,CRCL,-2.01013,1.0
CORD,CRWV,-2.006543,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-1.989611,1.0
SDOW,DIA,-2.98855,1.0
DKUP,DKNG,-1.0,1.0
BTCZ,IBIT,-1.992648,1.0
IREZ,IREN,-2.009275,1.0
TWM,IWM,-2.003726,1.0
TZA,IWM,-2.991242,1.0
LITZ,LITE,-1.0,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.982362,1.0
NBIZ,NBIS,-1.987364,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVDS,NVDA,-1.455699,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.0,1.0
QID,QQQ,-1.992632,1.0
QSX,QS,-1.0,1.0
SNDQ,SNDK,-1.0,1.0
TSXD,SOXX,-1.888301,1.0
SSPC,SPCX,-1.0,1.0
HIBS,SPHB,-3.016601,1.0
SPXS,SPY,-2.90112,1.0
SPXU,SPY,-2.895529,1.0
TBT,TLT,-1.981694,1.0
TBX,TLT,-0.423032,1.0
TMV,TLT,-2.966585,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.353894,1.0
DUG,XLE,-1.976419,1.0
SKF,XLF,-2.004191,1.0
FNGD,XLK,-2.837909,1.0
REW,XLK,-1.998931,1.0
TECS,XLK,-2.964014,1.0
TTXD,XLK,-1.905282,1.0
WEBS,XLK,-2.244235,1.0
DRIP,XOP,-1.998577,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
