ETF,Underlying,Leverage,is_yieldboost,scenario_style,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,False,,1.985635,500,ols
AMUU,AMD,2.0,False,,2.007407,268,ols
AMZU,AMZN,2.0,False,,1.989846,500,ols
ASMU,ASML,2.0,False,,2.00158,53,ols
AVL,AVGO,2.0,False,,1.98663,387,ols
BOEU,BA,2.0,False,,1.995602,255,ols
BABU,BABA,2.0,False,,2.038171,52,ols
BRKU,BRK-B,2.0,False,,1.947018,344,ols
CONX,COIN,2.0,False,,2.004026,109,ols
CSCL,CSCO,2.0,False,,2.021472,212,ols
GGLL,GOOGL,2.0,False,,1.997223,500,ols
HODU,HOOD,2.0,False,,2.006609,109,ols
LINT,INTC,2.0,False,,2.000234,109,ols
ELIL,LLY,2.0,False,,1.992617,273,ols
LMTL,LMT,2.0,False,,1.998955,183,ols
METU,META,2.0,False,,1.998124,474,ols
MRVU,MRVL,2.0,False,,2.009814,52,ols
MSFU,MSFT,2.0,False,,1.992361,500,ols
MUU,MU,2.0,False,,1.994227,387,ols
NFXL,NFLX,2.0,False,,1.995536,392,ols
NVDU,NVDA,2.0,False,,1.986399,500,ols
ORCU,ORCL,2.0,False,,2.00544,109,ols
PALU,PANW,2.0,False,,2.004968,273,ols
PLTU,PLTR,2.0,False,,1.991685,344,ols
QCMU,QCOM,2.0,False,,1.986105,212,ols
SHPU,SHOP,2.0,False,,2.009423,183,ols
SOFA,SOFI,2.0,False,,1.988617,53,ols
TSLL,TSLA,2.0,False,,1.99366,500,ols
TSMX,TSM,2.0,False,,1.997969,392,ols
XOMX,XOM,2.0,False,,1.98392,255,ols
YINN,FXI,2.0,False,,2.975834,500,ols
MEXX,EWW,2.0,False,,2.954657,500,ols
KORU,EWY,2.0,False,,2.931874,500,ols
HIBL,SPHB,2.0,False,,3.006114,500,ols
LABU,XBI,2.0,False,,2.985607,500,ols
SOXL,SOXX,2.0,False,,2.964297,500,ols
CHAU,ASHR,2.0,False,,1.966104,500,ols
CWEB,KWEB,2.0,False,,1.988809,500,ols
ERX,XLE,2.0,False,,1.987676,500,ols
NUGT,GDX,2.0,False,,1.976622,500,ols
JNUG,GDXJ,2.0,False,,1.972869,500,ols
GUSH,XOP,2.0,False,,2.009742,500,ols
URAA,URA,2.0,False,,1.924389,461,ols
TQQQ,QQQ,2.0,False,,2.970529,500,ols
SPXL,SPY,2.0,False,,2.882795,500,ols
URTY,IWM,2.0,False,,2.999342,500,ols
MSTU,MSTR,2.0,False,,1.966676,403,ols
NVDX,NVDA,2.0,False,,1.996823,500,ols
TSLT,TSLA,2.0,False,,1.992817,500,ols
BTCL,IBIT,2.0,False,,2.005976,452,ols
ETU,ETHA,2.0,False,,1.989403,377,ols
CCUP,CRCL,2.0,False,,1.984696,180,ols
CRWU,CRWV,2.0,False,,1.989846,190,ols
AAPX,AAPL,2.0,False,,1.993033,500,ols
GOOX,GOOGL,2.0,False,,1.980517,500,ols
MSFX,MSFT,2.0,False,,2.007307,500,ols
NFLU,NFLX,2.0,False,,1.992004,396,ols
ROBN,HOOD,2.0,False,,2.011783,311,ols
DJTU,DJT,2.0,False,,2.003319,290,ols
RBLU,RBLX,2.0,False,,2.019285,290,ols
SNOU,SNOW,2.0,False,,2.003926,254,ols
SMUP,SMR,2.0,False,,1.981771,190,ols
GLXU,GLXY,2.0,False,,2.009977,181,ols
AFRU,AFRM,2.0,False,,1.954701,155,ols
KTUP,KTOS,2.0,False,,2.030037,155,ols
TTDU,TTD,2.0,False,,1.999896,154,ols
BMNU,BMNR,2.0,False,,1.948387,147,ols
SBTU,SBET,2.0,False,,2.022129,130,ols
CIFU,CIFR,2.0,False,,1.99421,107,ols
SOLX,GSOL,2.0,False,,1.969853,100,ols
XRPK,XRPZ,2.0,False,,1.95966,100,ols
XRPT,XRPZ,2.0,False,,2.014227,106,ols
CHNU,CHNL,2.0,False,,2.0059,19,ols_short_history
CRDX,CRDD,2.0,False,,1.977741,19,ols_short_history
STLU,STLR,2.0,False,,1.865942,19,ols_short_history
GMEU,GME,2.0,False,,1.964479,254,ols
APLX,APLD,2.0,False,,1.995034,160,ols
APPX,APP,2.0,False,,1.987691,253,ols
ARCX,ACHR,2.0,False,,1.983846,222,ols
ASTX,ASTS,2.0,False,,1.990978,201,ols
BEX,BE,2.0,False,,1.983696,113,ols
CEGX,CEG,2.0,False,,1.991821,201,ols
CLSX,CLSK,2.0,False,,2.000173,155,ols
COZX,CORZ,2.0,False,,2.035701,119,ols
CRDU,CRDO,2.0,False,,1.994898,155,ols
CSEX,CLS,2.0,False,,2.004612,113,ols
CWVX,CRWV,2.0,False,,1.988752,201,ols
DOGD,DDOG,2.0,False,,1.905296,177,ols
FLYT,FLY,2.0,False,,1.993395,128,ols
GEVX,GEV,2.0,False,,1.992151,201,ols
IREX,IREN,2.0,False,,1.983035,128,ols
JOBX,JOBY,2.0,False,,1.979676,160,ols
LABX,ALAB,2.0,False,,1.998847,179,ols
LRCU,LRCX,2.0,False,,2.036538,174,ols
NEBX,NBIS,2.0,False,,1.998485,160,ols
NVTX,NVTS,2.0,False,,2.00296,160,ols
OPEX,OPEN,2.0,False,,1.998936,128,ols
PONX,PONY,2.0,False,,2.008032,160,ols
QBTX,QBTS,2.0,False,,1.99236,253,ols
QUBX,QUBT,2.0,False,,1.968187,213,ols
RGTU,RGTI,2.0,False,,1.989,213,ols
SMU,SMR,2.0,False,,1.983061,201,ols
SNPX,SNPS,2.0,False,,1.576334,112,ols
SRPU,SRPT,2.0,False,,1.965737,128,ols
TARK,ARKK,2.0,False,,1.978274,500,ols
TEMT,TEM,2.0,False,,1.984697,241,ols
UNX,U,2.0,False,,2.029182,155,ols
UPSX,UPST,2.0,False,,1.989523,222,ols
VOYX,VOYG,2.0,False,,1.89121,158,ols
WULX,WULF,2.0,False,,1.992048,128,ols
CRMU,CRML,2.0,False,,1.953258,54,ols
UECG,UEC,2.0,False,,1.980765,54,ols
DNNG,DNN,2.0,False,,1.979484,54,ols
RCAX,RCAT,2.0,False,,2.003081,59,ols
RDWU,RDW,2.0,False,,1.984578,61,ols
OKLL,OKLO,2.0,False,,1.99807,213,ols
GDXU,GDX,2.0,False,,3.039866,500,ols
MRNX,MRNA,2.0,False,,2.007248,58,ols
ZETX,ZETA,2.0,False,,2.038181,58,ols
LITX,LITE,2.0,False,,1.983616,64,ols
SNXX,SNDK,2.0,False,,1.994181,64,ols
WDCX,WDC,2.0,False,,2.043,64,ols
LNOK,NOK,2.0,False,,2.00299,68,ols
USGG,USAR,2.0,False,,1.995605,73,ols
ONDG,ONDS,2.0,False,,2.002761,73,ols
PLUL,PLUG,2.0,False,,1.952666,73,ols
ALBG,ALB,2.0,False,,1.995527,73,ols
UUUG,UUUU,2.0,False,,1.990545,73,ols
HUTG,HUT,2.0,False,,1.999579,73,ols
XPEG,XPEV,2.0,False,,1.998425,71,ols
ORLG,ORLY,2.0,False,,2.002662,71,ols
LUNL,LUNR,2.0,False,,1.987396,73,ols
RKTL,RKT,2.0,False,,1.97308,73,ols
EOSU,EOSE,2.0,False,,1.969121,72,ols
KEEX,KEEL,2.0,False,,2.046008,82,ols
FGRU,FIGR,2.0,False,,1.990058,49,ols
APHU,APH,2.0,False,,2.001552,49,ols
COPZ,COPX,2.0,False,,2.012881,49,ols
LEUX,LEU,2.0,False,,2.02412,48,ols
COHX,COHR,2.0,False,,2.049543,48,ols
AXPG,AXP,2.0,False,,2.017925,48,ols
FCXG,FCX,2.0,False,,2.012171,48,ols
GLWG,GLW,2.0,False,,1.996884,35,ols
