ETF,Underlying,Leverage,is_yieldboost,scenario_style,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,False,,1.98581,499,ols
AMUU,AMD,2.0,False,,2.007534,266,ols
AMZU,AMZN,2.0,False,,1.988487,499,ols
ASMU,ASML,2.0,False,,2.008769,51,ols
AVL,AVGO,2.0,False,,1.986577,385,ols
BOEU,BA,2.0,False,,1.994849,253,ols
BABU,BABA,2.0,False,,2.039243,50,ols
BRKU,BRK-B,2.0,False,,1.946683,342,ols
CONX,COIN,2.0,False,,2.004094,107,ols
CSCL,CSCO,2.0,False,,2.022859,209,ols
GGLL,GOOGL,2.0,False,,1.997147,499,ols
HODU,HOOD,2.0,False,,2.008368,107,ols
LINT,INTC,2.0,False,,1.997852,107,ols
ELIL,LLY,2.0,False,,1.992667,271,ols
LMTL,LMT,2.0,False,,1.99914,181,ols
METU,META,2.0,False,,1.99818,472,ols
MRVU,MRVL,2.0,False,,2.00907,50,ols
MSFU,MSFT,2.0,False,,1.99251,499,ols
MUU,MU,2.0,False,,1.994047,385,ols
NFXL,NFLX,2.0,False,,1.995458,390,ols
NVDU,NVDA,2.0,False,,1.986318,499,ols
ORCU,ORCL,2.0,False,,2.005492,107,ols
PALU,PANW,2.0,False,,2.005612,271,ols
PLTU,PLTR,2.0,False,,1.991737,342,ols
QCMU,QCOM,2.0,False,,2.006793,210,ols
SHPU,SHOP,2.0,False,,2.009264,181,ols
SOFA,SOFI,2.0,False,,1.986523,51,ols
TSLL,TSLA,2.0,False,,1.993578,499,ols
TSMX,TSM,2.0,False,,1.997586,390,ols
XOMX,XOM,2.0,False,,1.984396,253,ols
YINN,FXI,2.0,False,,2.974958,499,ols
MEXX,EWW,2.0,False,,2.955375,499,ols
KORU,EWY,2.0,False,,2.931903,499,ols
HIBL,SPHB,2.0,False,,3.006679,499,ols
LABU,XBI,2.0,False,,2.985917,499,ols
SOXL,SOXX,2.0,False,,2.963738,499,ols
CHAU,ASHR,2.0,False,,1.966202,499,ols
CWEB,KWEB,2.0,False,,1.988283,499,ols
ERX,XLE,2.0,False,,1.987804,499,ols
NUGT,GDX,2.0,False,,1.976425,499,ols
JNUG,GDXJ,2.0,False,,1.973445,499,ols
GUSH,XOP,2.0,False,,2.010428,499,ols
URAA,URA,2.0,False,,1.924536,459,ols
TQQQ,QQQ,2.0,False,,2.970662,499,ols
SPXL,SPY,2.0,False,,2.883018,499,ols
URTY,IWM,2.0,False,,2.999463,499,ols
MSTU,MSTR,2.0,False,,1.966712,401,ols
NVDX,NVDA,2.0,False,,1.996672,499,ols
TSLT,TSLA,2.0,False,,1.99254,499,ols
BTCL,IBIT,2.0,False,,2.006028,450,ols
ETU,ETHA,2.0,False,,1.989508,375,ols
CCUP,CRCL,2.0,False,,1.984608,178,ols
CRWU,CRWV,2.0,False,,1.98973,188,ols
AAPX,AAPL,2.0,False,,1.991893,499,ols
GOOX,GOOGL,2.0,False,,1.980158,499,ols
MSFX,MSFT,2.0,False,,2.00716,499,ols
NFLU,NFLX,2.0,False,,1.991973,394,ols
ROBN,HOOD,2.0,False,,2.012259,309,ols
DJTU,DJT,2.0,False,,2.003876,288,ols
RBLU,RBLX,2.0,False,,2.019271,288,ols
SNOU,SNOW,2.0,False,,2.004335,252,ols
SMUP,SMR,2.0,False,,1.982212,188,ols
GLXU,GLXY,2.0,False,,2.009573,179,ols
AFRU,AFRM,2.0,False,,1.956314,153,ols
KTUP,KTOS,2.0,False,,2.029063,153,ols
TTDU,TTD,2.0,False,,2.000901,152,ols
BMNU,BMNR,2.0,False,,1.948265,145,ols
SBTU,SBET,2.0,False,,2.022218,128,ols
CIFU,CIFR,2.0,False,,1.992214,105,ols
SOLX,GSOL,2.0,False,,1.967054,98,ols
XRPK,XRPZ,2.0,False,,1.959973,98,ols
XRPT,XRPZ,2.0,False,,2.014958,104,ols
CHNU,CHNL,2.0,False,,2.000223,17,ols_short_history
CRDX,CRDD,2.0,False,,1.983913,17,ols_short_history
STLU,STLR,2.0,False,,1.717964,17,ols_short_history
GMEU,GME,2.0,False,,1.965127,252,ols
APLX,APLD,2.0,False,,1.994809,158,ols
APPX,APP,2.0,False,,1.987265,251,ols
ARCX,ACHR,2.0,False,,1.984034,220,ols
ASTX,ASTS,2.0,False,,1.991262,199,ols
BEX,BE,2.0,False,,1.980134,111,ols
CEGX,CEG,2.0,False,,1.991005,199,ols
CLSX,CLSK,2.0,False,,2.000063,153,ols
COZX,CORZ,2.0,False,,2.036762,117,ols
