etf,underlying,delta,partial_hedge_ratio
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
CELT,CELH,-1.0,1.0
CLSZ,CLSK,-2.0137,1.0
CRCD,CRCL,-2.011311,1.0
CORD,CRWV,-2.006367,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-1.990119,1.0
SDOW,DIA,-2.989118,1.0
DKUP,DKNG,-1.0,1.0
BTCZ,IBIT,-1.992766,1.0
TWM,IWM,-2.003306,1.0
TZA,IWM,-2.991596,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.982465,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVDS,NVDA,-1.452872,1.0
OKTX,OKTA,-1.0,1.0
QID,QQQ,-1.993125,1.0
QSX,QS,-1.0,1.0
TSXD,SOXX,-1.886221,1.0
HIBS,SPY,-4.469009,1.0
SPXS,SPY,-2.90218,1.0
SPXU,SPY,-2.894914,1.0
TBT,TLT,-1.981571,1.0
TBX,TLT,-0.425979,1.0
TMV,TLT,-2.963534,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.446577,1.0
DUG,XLE,-1.974995,1.0
SKF,XLF,-2.003439,1.0
FNGD,XLK,-2.84361,1.0
REW,XLK,-1.998427,1.0
TECS,XLK,-2.963329,1.0
TTXD,XLK,-1.869417,1.0
WEBS,XLK,-2.248816,1.0
DRIP,XOP,-1.998401,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
