symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
DUST,flow_program,11952.475116,11952.475116,1
SQQQ,flow_program,11260.567097999998,11260.567097999998,1
ZSL,flow_program,10657.888349940002,10657.888349940002,1
SOXS,flow_program,10608.386239,10608.386239,1
FAZ,flow_program,10504.18130316,10504.18130316,1
SDS,flow_program,9613.7583465,9613.7583465,1
TSLQ,flow_program,9545.173651969999,9545.173651969999,1
LABD,flow_program,8973.1325264,8973.1325264,1
NVDQ,flow_program,8915.373762750001,8915.373762750001,1
EWV,flow_program,623.829836602,623.829836602,1
