symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
LABD,DRX DLY S&P BIOTECH BEAR 3X,0.0,303.72289,0.0,0.0,-15.54,-38.47,4.233845174274607,0.0,0.0,253.9467351742746
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,12.77779,0.0,0.0,-105.79,-12.13,0.271038368051722,0.0,0.0,55.01334331805173
TSYY,GRANITE YIELDBOOST TSLA ETF,0.0,5.380479,0.0,0.0,-3.0900000000000003,-0.07,0.0734768075890215,0.0,0.0,2.2939558075890214
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,4.996026,0.0,0.0,-148.45000000000002,-6.66,0.08035158286200009,0.0,0.0,-45.609760157138005
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,-198.29103,0.0,0.0,0.0,-56.16,6.317523211580567,0.0,0.0,-248.13350678841942
FAZ,DIREXION DAILY FIN BEAR 3X,0.0,-337.356683,0.0,0.0,-26.13,-32.38,4.942299941933134,0.0,0.0,-390.92438305806684
EWV,PROSHARES ULTSHRT MSCI JAPAN,-389.07722994,-8.131192,0.0,0.0,-1.46,-2.74,0.44536403508665506,0.0,0.0,-400.96305790491334
SOXS,DIREXION DAILY SEMI BEAR 3X,0.0,-377.419636,0.0,0.0,-25.53,-31.14,5.007913813532322,0.0,0.0,-429.08172218646774
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,-428.000007,0.0,0.0,-29.37,-10.959999999999999,5.340345195264093,0.0,0.0,-462.9896618047359
SDS,PROSHARES ULTRASHORT S&P500,0.0,-423.620712,0.0,0.0,-26.99,-21.1,7.011000286087902,0.0,0.0,-464.69971171391217
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,-629.84903,0.0,0.0,0.0,-13.83,7.254948933916122,0.0,0.0,-636.4240810660839
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-1580.037632,0.0,0.0,0.0,-152.22,7.435683529028945,0.0,0.0,-1724.8219484709712
DUST,DIREXION DAILY GOLD MINERS I,-3.4059583,-1824.169378,0.0,0.0,-90.65,-61.269999999999996,8.492027335347194,0.0,0.0,-1971.003308964653
