etf,underlying,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,haircut_factor,ema_applied,prev_w_book
AMUU,AMD,0.0,0.0,0.3343634528279837,0.09338701757695114,1.2531421553682616,1.0,False,0.0
AMZU,AMZN,0.0,0.0,0.06534934690167606,0.07484901735193517,0.30557878012002077,1.0,False,0.0
AVL,AVGO,0.0,0.0,0.15324677247285096,0.08252164833781754,0.6499672685393715,1.0,False,0.0
BOEU,BA,0.0,0.0,0.062367162335997,0.08052005090122145,0.27109405139816944,1.0,False,0.0
METU,META,0.0,0.0,0.0801519526917904,0.07484901735193517,0.3747969503757466,1.0,False,0.0
MSFU,MSFT,0.0,0.0,0.0597189239173655,0.07484901735193517,0.27925047128942077,1.0,False,0.0
MUU,MU,0.0,0.0,0.3445352789308236,0.08654492653654665,1.3933497023059578,1.0,False,0.0
NFXL,NFLX,0.0,0.0,0.0844631214227444,0.11437854334280143,0.2584583754433787,1.0,False,0.0
NVDU,NVDA,0.0,0.0,0.0800068127038012,0.07484901735193517,0.37411826416725075,1.0,False,0.0
PALU,PANW,0.0,0.0,0.0918569961479606,0.07484901735193517,0.42953067106571696,1.0,False,0.0
PLTU,PLTR,0.0,0.0,0.24622934089559334,0.08659205930952903,0.9952444831621409,1.0,False,0.0
QCMU,QCOM,0.0,0.0,0.1162162457666318,0.09463187645364275,0.42983070338087287,1.0,False,0.0
SHPU,SHOP,0.0,0.0,0.1710637029106969,0.11341784408334762,0.5278913252375474,1.0,False,0.0
TSLL,TSLA,0.0,0.0,0.1800080180448118,0.07735763044730759,0.8144355760560518,1.0,False,0.0
YINN,FXI,0.0,0.0,0.09538285584214296,0.1212680709766691,0.2752909259286628,1.0,False,0.0
SOXL,SOXX,0.0,0.0,0.17361943896284493,0.14238743634188644,0.42677082471720723,1.0,False,0.0
CWEB,KWEB,0.0,0.0,0.10104417863907485,0.07484901735193517,0.47249067222072016,1.0,False,0.0
NUGT,GDX,0.0,0.0,0.23264612454100847,0.07484901735193517,1.087871911617658,1.0,False,0.0
JNUG,GDXJ,0.0,0.0,0.23669603578040882,0.07894966631628884,1.0493218830242332,1.0,False,0.0
URAA,URA,0.0,0.0,0.2023900727231949,0.10148788579057472,0.6979801076878563,1.0,False,0.0
MSTU,MSTR,0.0,0.0,0.0954113471030731,0.14666619748532245,0.22768689758536537,1.0,False,0.0
NVDX,NVDA,0.0,0.0,-0.03008255708642075,0.08522051603037756,0.0,1.0,False,0.0
