symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,32444.38777671,32444.38777671,1
SVIX,SVIX,volatility_etp_bucket5,-29619.25,29619.25,1
