underlying,etf,delta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl,bucket,symbol
NBIS,NBIZ,-2.024255,-2578.74238643,7869.19997389186,0.0,0.0,0.0,-555.3100000000001,70.32301864037314,0.0,0.0,4805.470606102233,bucket_4,
LITE,LITZ,-2.002141,-804.96370926,5089.625323343557,0.0,0.0,0.0,-978.92,68.78200285928331,0.0,0.0,3374.523616942841,bucket_4,
MSTR,MSTZ,-1.992108,445.80230715,1766.983935502189,0.0,0.0,0.0,-185.31,34.404665098583536,0.0,0.0,2061.8809077507726,bucket_4,
COIN,CONI,-1.930583,261.33225725,2063.801205,0.0,0.0,0.0,-333.59,34.37079733149063,0.0,0.0,2025.914259581491,bucket_4,
MSTR,SMST,-1.972061,0.0,1230.176212502189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.176212502189,bucket_4,
NVDA,NVDQ,-1.997102,1511.29918369,0.0,0.0,0.0,0.0,-392.33,0.0,0.0,0.0,1118.9691836900001,bucket_4,
AMD,DAMD,-2.024988,0.0,966.8852653026229,0.0,0.0,0.0,-32.8,53.72425114498092,0.0,0.0,987.8095164476038,bucket_4,
XLF,FAZ,-2.99532,941.70759925,0.0,0.0,0.0,-46.84,-108.65,0.0,0.0,0.0,786.21759925,bucket_4,
BE,BEZ,-1.999219,1562.93144603,0.0,0.0,0.0,0.0,-854.81,0.0,0.0,0.0,708.12144603,bucket_4,
SPY,SDS,-1.989965,873.17422075,0.0,0.0,0.0,-84.78999999999999,-100.92999999999999,0.0,0.0,0.0,687.4542207500001,bucket_4,
MU,MUZ,-2.007156,4.4114826,474.74092,0.0,0.0,0.0,-25.46,13.100285435746981,0.0,0.0,466.792688035747,bucket_4,
XLK,WEBS,-2.720192,313.26477971,0.0,0.0,0.0,0.0,-1.1875,0.0,0.0,0.0,312.07727971,bucket_4,
SPCX,SNK,-2.0,-3.3333333249174757e-07,235.66113859860056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.66113826526723,bucket_4,
QQQ,QID,-1.996072,72.44317078,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,71.65317078,bucket_4,
AAOI,AAOZ,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
XLE,DUG,-1.993775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
XRPZ,XRP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
AUR,AURU,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
AXON,AXUP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
IWM,TWM,-2.002493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
IBIT,BTCZ,-1.995909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
BMNR,BMNZ,-1.992835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
BLSH,BLSX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
KEEL,BTFL,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
NEM,NWMX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
NET,NETX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
NVDA,NVDS,-1.502303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
OKLO,OKLS,-1.994485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
