symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,7342.67013816,7342.67013816,1
SVIX,SVIX,volatility_etp_bucket5,-4874.639999999999,4874.639999999999,1
