underlying,symbol,leg_class,net_notional_usd,gross_notional_usd,_ratio_b1,_ratio_b2,_ratio_b4
AAL,AAL,spot,2092.44,2092.44,1.0,0.0,0.0
AAL,AALG,core_levered_etf,-2166.9251328000005,2166.9251328000005,1.0,0.0,0.0
AAOI,AAOI,spot,12348.05,12348.05,1.0,0.0,0.0
AAOI,AAOX,core_levered_etf,-11700.231112500001,11700.231112500001,1.0,0.0,0.0
AAPL,AAPL,spot,15849.06,15849.06,1.0,0.0,0.0
AAPL,AAPU,core_levered_etf,-7521.197824139999,7521.197824139999,1.0,0.0,0.0
AAPL,AAPB,core_levered_etf,-8043.237824790001,8043.237824790001,1.0,0.0,0.0
ABNB,ABNB,spot,2003.04,2003.04,1.0,0.0,0.0
ABNB,ABNG,core_levered_etf,-2157.8379590775,2157.8379590775,1.0,0.0,0.0
ACHR,ACHR,spot,1797.45,1797.45,1.0,0.0,0.0
ACHR,ARCX,core_levered_etf,-1806.0651921,1806.0651921,1.0,0.0,0.0
ADBE,ADBE,spot,1930.96,1930.96,1.0,0.0,0.0
ADBE,ADBG,core_levered_etf,-1927.3760114399997,1927.3760114399997,1.0,0.0,0.0
ALAB,ALAB,spot,7868.42,7868.42,1.0,0.0,0.0
ALAB,LABX,core_levered_etf,-7629.705269550001,7629.705269550001,1.0,0.0,0.0
AMD,AMD,spot,26486.460000000003,26486.460000000003,1.0,0.0,0.0
AMD,AMUU,core_levered_etf,-8852.3761055338,8852.3761055338,1.0,0.0,0.0
AMD,AMDG,core_levered_etf,-8978.63491392,8978.63491392,1.0,0.0,0.0
AMD,AMDL,core_levered_etf,-8984.625460799998,8984.625460799998,1.0,0.0,0.0
AMZN,AMZN,spot,17898.45,17898.45,1.0,0.0,0.0
AMZN,AMZU,core_levered_etf,-8347.51125936,8347.51125936,1.0,0.0,0.0
AMZN,AMZZ,core_levered_etf,-9531.385124758199,9531.385124758199,1.0,0.0,0.0
APH,APH,spot,2043.2,2043.2,1.0,0.0,0.0
APH,APHU,core_levered_etf,-2113.5685994,2113.5685994,1.0,0.0,0.0
APP,APP,spot,2714.8799999999997,2714.8799999999997,1.0,0.0,0.0
APP,APPX,core_levered_etf,-2571.1501395,2571.1501395,1.0,0.0,0.0
ARKK,ARKK,spot,2188.8,2188.8,1.0,0.0,0.0
ARKK,TARK,core_levered_etf,-2212.2701674404,2212.2701674404,1.0,0.0,0.0
ARM,ARM,spot,2015.9099999999999,2015.9099999999999,1.0,0.0,0.0
ARM,ARMG,core_levered_etf,-2096.9566266,2096.9566266,1.0,0.0,0.0
ASHR,ASHR,spot,7665.839999999999,7665.839999999999,1.0,0.0,0.0
ASHR,CHAU,core_levered_etf,-7581.8291976,7581.8291976,1.0,0.0,0.0
ASML,ASML,spot,8158.5599999999995,8158.5599999999995,1.0,0.0,0.0
ASML,ASMU,core_levered_etf,-8221.07872608,8221.07872608,1.0,0.0,0.0
ASTS,ASTS,spot_b4_structural,9154.91,9154.91,2.6370554380108597,0.0,-1.63705543801086
ASTS,ASTX,core_levered_etf,-9121.82954832,9121.82954832,1.0,0.0,0.0
AVGO,AVGO,spot,16614.97,16614.97,1.0,0.0,0.0
AVGO,AVL,core_levered_etf,-7981.4912539488,7981.4912539488,1.0,0.0,0.0
AVGO,AVGG,core_levered_etf,-8741.691452277,8741.691452277,1.0,0.0,0.0
BA,BA,spot,16170.96,16170.96,1.0,0.0,0.0
BA,BOEU,core_levered_etf,-6785.821103581599,6785.821103581599,1.0,0.0,0.0
BA,BOEG,core_levered_etf,-9348.1372236988,9348.1372236988,1.0,0.0,0.0
BABA,BABA,spot,6928.88,6928.88,1.0,0.0,0.0
BABA,BABX,core_levered_etf,-6780.99140019,6780.99140019,1.0,0.0,0.0
BE,BE,spot,3311.2499999999995,3311.2499999999995,1.0,0.0,0.0
BE,BEX,core_levered_etf,-3165.04949774,3165.04949774,1.0,0.0,0.0
BIDU,BIDU,spot,2126.1,2126.1,1.0,0.0,0.0
BIDU,BIDG,core_levered_etf,-2132.3517868224,2132.3517868224,1.0,0.0,0.0
BMNR,BMNR,spot,8978.640000000001,8978.640000000001,1.0,0.0,0.0
BMNR,BMNG,core_levered_etf,-9025.68835575,9025.68835575,1.0,0.0,0.0
BULL,BULL,spot,1862.8200000000002,1862.8200000000002,1.0,0.0,0.0
BULL,BULG,core_levered_etf,-1617.684453,1617.684453,1.0,0.0,0.0
CEG,CEG,spot,9781.099999999999,9781.099999999999,1.0,0.0,0.0
CEG,CEGX,core_levered_etf,-9662.36275728,9662.36275728,1.0,0.0,0.0
CIFR,CIFR,spot,5018.08,5018.08,1.0,0.0,0.0
CIFR,CIFG,core_levered_etf,-4781.5537370436,4781.5537370436,1.0,0.0,0.0
CLS,CLS,spot,1732.38,1732.38,1.0,0.0,0.0
CLS,CSEX,core_levered_etf,-1697.45040868,1697.45040868,1.0,0.0,0.0
CLSK,CLSK,spot_b4_structural,5042.7,5042.7,3.9823639568088525,0.0,-2.9823639568088525
CLSK,CLSX,core_levered_etf,-4920.9869595,4920.9869595,1.0,0.0,0.0
CMG,CMG,spot,6656.52,6656.52,1.0,0.0,0.0
CMG,CMGG,core_levered_etf,-6463.4718030848,6463.4718030848,1.0,0.0,0.0
COIN,COIN,spot_b4_structural,4670.7300000000005,4670.7300000000005,1.1973885909211845,0.0,-0.19738859092118444
COIN,CONX,core_levered_etf,-4596.603262765199,4596.603262765199,1.0,0.0,0.0
COPX,COPX,spot,6955.35,6955.35,1.0,0.0,0.0
COPX,COPZ,core_levered_etf,-7239.0393577892,7239.0393577892,1.0,0.0,0.0
CORZ,CORZ,spot,7695.900000000001,7695.900000000001,1.0,0.0,0.0
CORZ,COZX,core_levered_etf,-7458.76108215,7458.76108215,1.0,0.0,0.0
COST,COST,spot,7972.48,7972.48,1.0,0.0,0.0
COST,COTG,core_levered_etf,-8407.86595404,8407.86595404,1.0,0.0,0.0
CRCL,CRCL,spot,9436.96,9436.96,1.0,0.0,0.0
CRCL,CRCG,core_levered_etf,-8954.26390296,8954.26390296,1.0,0.0,0.0
CRDO,CRDO,spot,5467.4400000000005,5467.4400000000005,1.0,0.0,0.0
CRDO,CRDU,core_levered_etf,-5375.66237888,5375.66237888,1.0,0.0,0.0
CRM,CRM,spot,9498.24,9498.24,1.0,0.0,0.0
CRM,CRMG,core_levered_etf,-9575.724450599999,9575.724450599999,1.0,0.0,0.0
