ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.986532,499,ols,0.10846700000000001,100000,0.10846700000000001,False,False,29.15999984741211,0.10846700000000001,1.0,False,,True,False,False,False,False,False,False,False,0.562224,0.171866,0.282851,0.078396,0.171866,0.06339899999999998,0.06339899999999998,0.496633,0.5959595999999999,0.5,0.5959595999999999
AMUU,AMD,2.007596,256,ols,0.052954,10000,0.052954,False,False,62.16999816894531,0.052954,1.0,False,,True,False,False,False,False,False,False,False,1.283035,0.485014,0.559549,0.316672,0.485014,0.43206,0.43206,0.501899,0.6022788,0.501899,0.6022788
AMZU,AMZN,1.988634,499,ols,,0,,False,True,35.290000915527344,,1.0,False,,False,False,False,False,False,False,True,False,0.642908,0.210503,0.323152,0.102654,0.210503,0.210503,0.210503,0.4971585,1.0,0.5,1.0
ASMU,ASML,2.007374,41,ols,0.15254,200,0.15254,False,False,26.549999237060547,0.15254,1.0,False,,True,False,False,False,False,False,True,False,0.959644,0.304607,0.441994,0.197525,0.214947,0.152067,0.06240699999999999,0.5018435,0.6022122,0.5018435,0.6022122
AVL,AVGO,1.986547,375,ols,0.046013,100000,0.046013,False,False,48.900001525878906,0.046013,1.0,False,,True,False,False,False,False,False,False,False,1.074574,0.374071,0.538456,0.28411,0.374071,0.32805799999999996,0.32805799999999996,0.49663675,0.5959641,0.5,0.5959641
BOEU,BA,1.993147,243,ols,0.054356,15000,0.054356,False,False,37.573001861572266,0.054356,1.0,False,,True,False,False,False,False,False,False,False,0.602895,0.193873,0.354994,0.124728,0.191404,0.139517,0.137048,0.49828675,0.5979441,0.5,0.5979441
BABU,BABA,2.031139,40,ols,0.050412,20000,0.050412,False,False,14.020000457763672,0.050412,1.0,False,,True,False,False,False,False,False,False,False,0.726319,0.219483,0.445555,0.207888,0.209728,0.16907100000000003,0.159316,0.50778475,0.6093417,0.50778475,0.6093417
BRKU,BRK-B,1.946839,332,ols,0.087183,45000,0.087183,False,False,21.833999633789062,0.087183,1.0,False,,True,False,False,False,False,False,False,False,0.354346,0.133063,0.172607,0.02746,0.133063,0.04587999999999999,0.04587999999999999,0.48670975,0.5840517,0.5,0.5840517
CONX,COIN,2.003029,97,ols,0.15135500000000002,35000,0.15135500000000002,False,False,8.35099983215332,0.15135500000000002,1.0,False,,True,False,False,False,False,False,False,False,1.499209,0.660587,0.788027,0.623811,0.637967,0.509232,0.48661199999999993,0.50075725,0.6009087000000001,0.50075725,0.6009087000000001
CSCL,CSCO,2.023813,200,ols,0.092564,4000,0.092564,False,False,32.47100067138672,0.092564,1.0,False,,True,False,False,False,False,False,False,False,0.534566,0.191076,0.239115,0.059234,0.163871,0.098512,0.071307,0.50595325,0.6071439,0.50595325,0.6071439
FRDU,F,1.762742,182,ols,,0,,False,True,26.53969955444336,,1.0,False,,False,False,False,False,False,False,True,False,0.62959,0.180998,0.344107,0.079602,0.152832,0.180998,0.152832,0.4406855,1.0,0.5,1.0
GGLL,GOOGL,1.994566,499,ols,0.107505,15000,0.107505,False,False,96.7699966430664,0.107505,1.0,False,,True,False,False,False,False,False,False,False,0.601587,0.191096,0.301494,0.090159,0.191096,0.08359099999999998,0.08359099999999998,0.4986415,0.5983698,0.5,0.5983698
