ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.986063,501,ols
AMUU,AMD,2.0,2.007667,263,ols
AMZU,AMZN,2.0,1.98888,501,ols
ASMU,ASML,2.0,2.004753,48,ols
AVL,AVGO,2.0,1.986371,382,ols
BOEU,BA,2.0,1.993003,250,ols
BABU,BABA,2.0,2.037394,47,ols
BRKU,BRK-B,2.0,1.946475,339,ols
CONX,COIN,2.0,2.005806,104,ols
CSCL,CSCO,2.0,2.02243,207,ols
GGLL,GOOGL,2.0,1.995137,501,ols
HODU,HOOD,2.0,2.008207,104,ols
LINT,INTC,2.0,1.990037,104,ols
ELIL,LLY,2.0,1.992902,268,ols
LMTL,LMT,2.0,1.994181,178,ols
METU,META,2.0,1.998303,469,ols
MRVU,MRVL,2.0,2.010986,47,ols
MSFU,MSFT,2.0,1.991829,501,ols
MUU,MU,2.0,1.993591,382,ols
NFXL,NFLX,2.0,1.995501,387,ols
NVDU,NVDA,2.0,1.986703,501,ols
ORCU,ORCL,2.0,2.0042,104,ols
PALU,PANW,2.0,2.004736,268,ols
PLTU,PLTR,2.0,1.991898,339,ols
QCMU,QCOM,2.0,2.00121,207,ols
SHPU,SHOP,2.0,2.010158,178,ols
SOFA,SOFI,2.0,1.986066,48,ols
TSLL,TSLA,2.0,1.994157,501,ols
TSMX,TSM,2.0,1.996,387,ols
XOMX,XOM,2.0,1.984699,250,ols
YINN,FXI,2.0,2.97488,501,ols
MEXX,EWW,2.0,2.955176,501,ols
KORU,EWY,2.0,2.933278,501,ols
HIBL,SPHB,2.0,3.007398,501,ols
LABU,XBI,2.0,2.987026,501,ols
SOXL,SOXX,2.0,2.963813,501,ols
CHAU,ASHR,2.0,1.967016,501,ols
CWEB,KWEB,2.0,1.987759,501,ols
ERX,XLE,2.0,1.987754,501,ols
NUGT,GDX,2.0,1.976481,501,ols
JNUG,GDXJ,2.0,1.973246,501,ols
GUSH,XOP,2.0,2.010309,501,ols
URAA,URA,2.0,1.927992,456,ols
TQQQ,QQQ,2.0,2.971073,501,ols
SPXL,SPY,2.0,2.883221,501,ols
URTY,IWM,2.0,3.00021,501,ols
MSTU,MSTR,2.0,1.966529,398,ols
NVDX,NVDA,2.0,1.997317,501,ols
TSLT,TSLA,2.0,1.993028,501,ols
BTCL,IBIT,2.0,2.006469,447,ols
ETU,ETHA,2.0,1.989797,372,ols
CCUP,CRCL,2.0,1.984956,175,ols
CRWU,CRWV,2.0,1.988876,185,ols
AAPX,AAPL,2.0,1.991419,501,ols
GOOX,GOOGL,2.0,1.977593,501,ols
MSFX,MSFT,2.0,2.00682,501,ols
NFLU,NFLX,2.0,1.991882,391,ols
ROBN,HOOD,2.0,2.012244,306,ols
DJTU,DJT,2.0,2.003478,285,ols
RBLU,RBLX,2.0,2.018886,285,ols
SNOU,SNOW,2.0,2.002256,249,ols
