k_tr,example,tr_est,vcr,vcr_med,interval_days,denom,next_in_d,etf,und
k+2.25,2024-11-27,,,,12,1.0,12,CONI,COIN
k+2.25,2024-12-16,0.997,0.271,0.23,11,1.097,11,CONI,COIN
k+2.25,2025-01-02,0.961,0.275,0.23,12,1.024,12,CONI,COIN
k+2.25,2025-04-16,1.04,0.234,0.23,11,1.1,11,CONI,COIN
k+2.25,2025-08-08,1.008,0.257,0.23,11,1.085,11,CONI,COIN
k+2.25,2025-12-05,0.958,0.087,0.23,21,0.55,21,CONI,COIN
k+2.25,2026-04-06,0.978,0.137,0.23,17,0.716,17,CONI,COIN
k+2.25,2026-04-29,0.916,0.131,0.23,21,0.563,21,CONI,COIN
k0,2024-11-27,,,,12,1.0,12,CONI,COIN
k0,2024-12-16,0.997,0.271,0.23,11,1.103,11,CONI,COIN
k0,2025-01-02,0.961,0.275,0.23,11,1.112,11,CONI,COIN
k0,2025-04-02,1.015,0.261,0.23,11,1.079,11,CONI,COIN
k0,2025-08-08,1.008,0.257,0.23,11,1.068,11,CONI,COIN
k0,2025-12-18,1.005,0.089,0.23,19,0.647,19,CONI,COIN
k0,2026-04-15,0.929,0.137,0.23,16,0.768,16,CONI,COIN
k0,2026-05-07,0.903,0.16,0.23,15,0.825,15,CONI,COIN
k-1,2024-11-27,,,,12,1.0,12,CONI,COIN
k-1,2024-12-16,0.997,0.271,0.23,11,1.105,11,CONI,COIN
k-1,2025-01-02,0.961,0.275,0.23,10,1.151,10,CONI,COIN
k-1,2025-04-09,1.002,0.264,0.23,11,1.082,11,CONI,COIN
k-1,2025-08-15,1.005,0.276,0.23,11,1.11,11,CONI,COIN
k-1,2025-12-19,1.02,0.088,0.23,19,0.626,19,CONI,COIN
k-1,2026-04-22,0.902,0.132,0.23,14,0.852,14,CONI,COIN
k-1,2026-05-12,0.997,0.164,0.23,14,0.838,14,CONI,COIN
k+2.25,2025-12-22,,,,12,1.0,12,CORD,CRWV
k+2.25,2026-01-09,1.09,0.212,0.181,9,1.28,9,CORD,CRWV
k+2.25,2026-01-23,1.008,0.202,0.181,11,1.071,11,CORD,CRWV
k+2.25,2026-03-19,0.884,0.16,0.181,17,0.687,17,CORD,CRWV
k+2.25,2026-05-05,0.931,0.165,0.181,15,0.804,15,CORD,CRWV
k+2.25,2026-06-01,0.994,0.192,0.181,12,1.014,12,CORD,CRWV
k+2.25,2026-06-22,1.038,0.11,0.181,13,0.909,13,CORD,CRWV
k0,2025-12-22,,,,12,1.0,12,CORD,CRWV
k0,2026-01-09,1.09,0.212,0.181,11,1.077,11,CORD,CRWV
k0,2026-01-27,1.008,0.199,0.181,11,1.046,11,CORD,CRWV
k0,2026-03-19,0.884,0.16,0.181,13,0.948,13,CORD,CRWV
k0,2026-04-27,0.93,0.174,0.181,12,0.982,12,CORD,CRWV
k0,2026-05-14,0.982,0.185,0.181,12,1.01,12,CORD,CRWV
k0,2026-06-08,0.954,0.113,0.181,14,0.83,14,CORD,CRWV
k-1,2025-12-22,,,,12,1.0,12,CORD,CRWV
k-1,2026-01-09,1.09,0.212,0.181,12,0.987,12,CORD,CRWV
k-1,2026-01-28,0.976,0.191,0.181,11,1.049,11,CORD,CRWV
k-1,2026-03-18,0.919,0.159,0.181,12,1.025,12,CORD,CRWV
k-1,2026-04-21,0.955,0.175,0.181,12,1.031,12,CORD,CRWV
k-1,2026-05-11,0.981,0.189,0.181,12,1.039,12,CORD,CRWV
k-1,2026-06-02,1.012,0.173,0.181,12,0.969,12,CORD,CRWV
k+2.25,2026-04-20,,,,12,1.0,12,NBIZ,NBIS
k+2.25,2026-05-06,1.117,0.093,0.085,9,1.282,9,NBIZ,NBIS
k+2.25,2026-05-19,1.02,0.084,0.085,12,1.043,12,NBIZ,NBIS
k+2.25,2026-06-08,1.068,0.078,0.085,11,1.136,11,NBIZ,NBIS
k0,2026-04-20,,,,12,1.0,12,NBIZ,NBIS
k0,2026-05-06,1.117,0.093,0.085,12,1.019,12,NBIZ,NBIS
k0,2026-05-22,1.078,0.079,0.085,12,0.984,12,NBIZ,NBIS
k0,2026-06-12,1.013,0.08,0.085,12,0.988,12,NBIZ,NBIS
k-1,2026-04-20,,,,12,1.0,12,NBIZ,NBIS
k-1,2026-05-06,1.117,0.093,0.085,13,0.902,13,NBIZ,NBIS
k-1,2026-05-27,1.011,0.079,0.085,12,0.972,12,NBIZ,NBIS
k-1,2026-06-15,1.075,0.086,0.085,13,0.927,13,NBIZ,NBIS
k+2.25,2026-01-02,,,,12,1.0,12,QBTZ,QBTS
k+2.25,2026-01-21,0.891,0.113,0.174,20,0.603,20,QBTZ,QBTS
k+2.25,2026-02-19,0.899,0.115,0.174,19,0.625,19,QBTZ,QBTS
k+2.25,2026-04-08,1.032,0.192,0.174,11,1.117,11,QBTZ,QBTS
k+2.25,2026-05-13,0.942,0.211,0.174,12,0.961,12,QBTZ,QBTS
k+2.25,2026-06-02,0.962,0.272,0.174,10,1.158,10,QBTZ,QBTS
k+2.25,2026-06-17,0.981,0.232,0.174,11,1.101,11,QBTZ,QBTS
k0,2026-01-02,,,,12,1.0,12,QBTZ,QBTS
k0,2026-01-21,0.891,0.113,0.174,14,0.847,14,QBTZ,QBTS
k0,2026-02-10,0.879,0.11,0.174,14,0.84,14,QBTZ,QBTS
k0,2026-04-08,1.032,0.192,0.174,11,1.046,11,QBTZ,QBTS
k0,2026-05-11,0.959,0.217,0.174,11,1.107,11,QBTZ,QBTS
k0,2026-05-28,1.006,0.274,0.174,10,1.25,10,QBTZ,QBTS
k0,2026-06-12,1.03,0.24,0.174,10,1.163,10,QBTZ,QBTS
k-1,2026-01-02,,,,12,1.0,12,QBTZ,QBTS
k-1,2026-01-21,0.891,0.113,0.174,13,0.955,13,QBTZ,QBTS
k-1,2026-02-09,0.905,0.111,0.174,13,0.936,13,QBTZ,QBTS
k-1,2026-04-02,1.03,0.193,0.174,12,1.017,12,QBTZ,QBTS
k-1,2026-05-07,0.955,0.222,0.174,10,1.165,10,QBTZ,QBTS
k-1,2026-05-21,0.959,0.203,0.174,11,1.113,11,QBTZ,QBTS
k-1,2026-06-10,0.989,0.249,0.174,10,1.199,10,QBTZ,QBTS
k+2.25,2026-02-12,,,,12,1.0,12,DAMD,AMD
k+2.25,2026-03-03,0.903,0.404,0.346,13,0.928,13,DAMD,AMD
k+2.25,2026-03-20,0.925,0.395,0.346,13,0.954,13,DAMD,AMD
k+2.25,2026-04-09,0.936,0.341,0.346,14,0.845,14,DAMD,AMD
k+2.25,2026-04-29,0.961,0.294,0.346,15,0.781,15,DAMD,AMD
k+2.25,2026-05-20,1.075,0.227,0.346,14,0.872,14,DAMD,AMD
k+2.25,2026-06-17,1.135,0.203,0.346,13,0.948,13,DAMD,AMD
k0,2026-02-12,,,,12,1.0,12,DAMD,AMD
k0,2026-03-03,0.903,0.404,0.346,10,1.146,10,DAMD,AMD
k0,2026-03-17,0.91,0.372,0.346,11,1.065,11,DAMD,AMD
k0,2026-04-01,0.938,0.349,0.346,12,1.008,12,DAMD,AMD
k0,2026-04-20,0.929,0.348,0.346,12,1.006,12,DAMD,AMD
k0,2026-05-06,1.022,0.197,0.346,19,0.627,19,DAMD,AMD
k0,2026-06-04,1.143,0.224,0.346,17,0.695,17,DAMD,AMD
k-1,2026-02-12,,,,12,1.0,12,DAMD,AMD
k-1,2026-03-03,0.903,0.404,0.346,10,1.242,10,DAMD,AMD
k-1,2026-03-17,0.91,0.372,0.346,10,1.155,10,DAMD,AMD
k-1,2026-03-31,0.93,0.347,0.346,11,1.074,11,DAMD,AMD
k-1,2026-04-16,0.927,0.349,0.346,11,1.081,11,DAMD,AMD
k-1,2026-05-01,0.983,0.288,0.346,14,0.873,14,DAMD,AMD
k-1,2026-05-21,1.071,0.229,0.346,19,0.636,19,DAMD,AMD
k+2.25,2024-03-28,0.986,0.148,0.186,14,0.874,14,UVIX,SVIX
k+2.25,2024-04-18,0.886,0.182,0.186,16,0.734,16,UVIX,SVIX
k+2.25,2024-05-10,0.981,0.186,0.186,13,0.957,13,UVIX,SVIX
k+2.25,2024-09-24,0.935,0.525,0.186,7,1.701,7,UVIX,SVIX
k+2.25,2025-03-28,0.97,0.14,0.186,15,0.818,15,UVIX,SVIX
k+2.25,2025-10-16,0.974,0.306,0.186,10,1.241,10,UVIX,SVIX
k+2.25,2026-04-16,0.954,0.145,0.186,15,0.796,15,UVIX,SVIX
k+2.25,2026-05-07,0.894,0.179,0.186,16,0.745,16,UVIX,SVIX
k0,2024-03-28,0.986,0.148,0.186,13,0.906,13,UVIX,SVIX
k0,2024-04-17,0.887,0.177,0.186,12,0.978,12,UVIX,SVIX
k0,2024-05-03,0.95,0.171,0.186,12,0.963,12,UVIX,SVIX
k0,2024-09-24,0.935,0.525,0.186,6,1.847,6,UVIX,SVIX
k0,2025-03-28,0.97,0.14,0.186,14,0.886,14,UVIX,SVIX
k0,2025-10-24,0.975,0.236,0.186,11,1.126,11,UVIX,SVIX
k0,2026-04-28,0.971,0.166,0.186,13,0.95,13,UVIX,SVIX
k0,2026-05-15,0.874,0.187,0.186,12,1.004,12,UVIX,SVIX
k-1,2024-03-28,0.986,0.148,0.186,13,0.92,13,UVIX,SVIX
k-1,2024-04-17,0.887,0.177,0.186,11,1.092,11,UVIX,SVIX
k-1,2024-05-02,0.911,0.173,0.186,11,1.058,11,UVIX,SVIX
k-1,2024-09-20,0.975,0.524,0.186,6,1.872,6,UVIX,SVIX
k-1,2025-03-19,0.907,0.215,0.186,10,1.167,10,UVIX,SVIX
k-1,2025-10-27,0.94,0.236,0.186,10,1.184,10,UVIX,SVIX
k-1,2026-04-23,0.932,0.167,0.186,12,1.021,12,UVIX,SVIX
k-1,2026-05-11,0.899,0.182,0.186,11,1.091,11,UVIX,SVIX
