variant,cagr,vol,sharpe,maxdd,n_names,turnover_per_rebal,sleeve
no_tilt,0.31645037082123517,3.111453453961799,-0.5285204296739473,-1.146001608455224,6,0.04618773252432024,inverse_decay_bucket4_dynamic
lowTR_prod_a1.0,0.2969829875947112,3.1267008059127375,-0.5216057104435433,-1.146001608455224,6,0.11953096122237575,inverse_decay_bucket4_dynamic
lowTR_a0.5,0.3095297932579981,3.1174156149412457,-0.5256185551670455,-1.146001608455224,6,0.08003466366553515,inverse_decay_bucket4_dynamic
lowTR_a1.5,0.29144107743593395,3.1283625478819848,-0.5219675361410143,-1.146001608455224,6,0.1317444729611248,inverse_decay_bucket4_dynamic
highTR_a0.5,0.3197185890266083,3.1077527710784785,-0.5305755857966751,-1.146001608455224,6,0.07769426345501552,inverse_decay_bucket4_dynamic
highTR_a1.0,0.3205487802211977,3.1056315985828973,-0.5319833257223231,-1.146001608455224,6,0.10624339230870654,inverse_decay_bucket4_dynamic
highTR_a1.5,0.3197525128683012,3.1059439372326088,-0.531797159964108,-1.146001608455224,6,0.11786439683570321,inverse_decay_bucket4_dynamic
highTR_a2.0,0.31960743082064913,3.1053345275182305,-0.5323229833165297,-1.146001608455224,6,0.12651721018501222,inverse_decay_bucket4_dynamic
highTR_asym_c2.0,0.3205487802211977,3.1056315985828973,-0.5319833257223231,-1.146001608455224,6,0.10624339230870654,inverse_decay_bucket4_dynamic
