variant,mean_cagr,median_cagr,mean_sharpe,median_sharpe,mean_maxdd,n_ruin,port_cagr,port_sharpe,port_maxdd,mean_interval_d,mean_n_rebal
PROD trEst k+2.25 b12,-0.031239747350422696,-0.31580312101305463,0.3137337628705276,-0.002304640165219008,-0.732990218531759,1,0.004926787452436132,0.18945813051226695,-0.44095509410582423,12.852380902922032,32.6
TRagnostic k0 b12,0.3117713465434714,0.7471476843107587,0.5244849485453159,0.8581220598362568,-0.6680119878925252,0,0.015874790403793693,0.2285438095427207,-0.46393497924503113,11.866041055718474,34.4
contrarian k-1.0 b12,0.4006546467161211,0.7397050359115172,0.5932433742491035,0.8450064294163115,-0.6594899697691738,0,0.07458447676825308,0.3589380139380322,-0.4228681135468073,11.57866310160428,34.8
contrarian k-2.25 b12,0.1001969800544414,-0.3139046258725082,0.23137339854097302,-0.13683500468508367,-0.7136791543503153,0,0.030747543253517806,0.25490128587681377,-0.3646928286695058,11.496925008512086,35.8
rawTR k+2.25 b12,0.275051012997335,0.6896612311520696,0.4984923398902576,0.6113630855269124,-0.6910761276655535,0,0.07382861811246122,0.356490659607016,-0.3884586333950324,13.463110444777609,29.4
rawTR contrarian k-2.25 b12,0.2044054607303072,0.54275923224178,0.4620063254211546,0.8313748844095387,-0.6277365441317946,0,0.07431728015330918,0.3744876092425268,-0.34532249354553424,10.811868686868687,38.8
fixed ~8d (k0 b8),-0.003578815018703718,0.19702249142248163,0.24695930776929426,0.6113409874640675,-0.6465408740542713,0,0.014708415898000649,0.20720568879569226,-0.3710942495800926,7.9565349143610025,51.6
fixed ~12d (k0 b12),0.3117713465434714,0.7471476843107587,0.5244849485453159,0.8581220598362568,-0.6680119878925252,0,0.015874790403793693,0.2285438095427207,-0.46393497924503113,11.866041055718474,34.4
fixed ~16d (k0 b16),0.05867116510300887,-0.3915827238042705,0.5241353172543057,0.22175079416179255,-0.7196945213502112,1,0.01742625340368731,0.22454955554170392,-0.4229799890101088,15.794272727272727,26.2
