scheme,port_cagr,port_sharpe,port_maxdd
risk_only (current),0.004926787452436354,0.18945813051226693,-0.4409550941058239
lowTR a1.0,-0.019127148849458542,0.140836686305191,-0.44554401636028484
vcr_penalty a1.0,-0.015645047439871496,0.1506076224217224,-0.45408637422267717
lowTR+vcr_pen,-0.0417269189380558,0.10317275877644444,-0.47501080440596344
