variant,family,mean_n_rebal,cagr,vol,sharpe,maxdd,calmar,cvar95_daily,boot_dd_med,boot_dd_p95,boot_dd_p99,boot_dd_p999,boot_P(dd>15),boot_P(dd>25),boot_P(dd>40),t_dd_med,t_dd_p95,t_dd_p99,t_dd_p999,t_P(dd>15),t_P(dd>25),t_P(dd>40),lap_dd_med,lap_dd_p95,lap_dd_p99,lap_dd_p999,lap_P(dd>15),lap_P(dd>25),lap_P(dd>40),score
lin b12 k+0.00 m5.0,linear,30.2,0.021136513784858035,0.5219714494052015,0.2742161374267418,-0.40886170743841965,0.05169599744931235,-0.06091982617805721,0.33492271144893365,0.5643915451857573,0.6630828578340678,0.7568029543097169,0.956375,0.7515,0.295125,0.09001044452489643,0.21708552014754764,0.3476982885296578,0.8536685274142718,0.171125,0.028875,0.00675,0.26877909054052745,0.4728891732653077,0.5564341833354313,0.6481691595693497,0.93575,0.564875,0.14425,-0.2610592588080206
lin b12 k-1.00 m5.0,linear,31.0,0.023390714780624267,0.5363678065502411,0.2795449636617842,-0.42400613964626743,0.055165981323143744,-0.060795163507139295,0.34219754502512645,0.5772386282640694,0.6699540523377031,0.7566948607637372,0.947125,0.748375,0.31575,0.08893851996537966,0.21853064622518306,0.3551500051164115,0.776361192709523,0.16575,0.032125,0.007375,0.2691385213333917,0.47196522322875656,0.5473972761429005,0.6427436268960948,0.937625,0.576,0.13675,-0.2652285993514104
lin b10 k+0.00 m2.5,linear,34.2,-0.0071284606486491375,0.4512254503856149,0.1937600162284318,-0.3588418239137957,-0.019865188987450922,-0.05662094530686402,0.30791048367521945,0.5300923226146913,0.6268398437497584,0.7214518851249752,0.948375,0.71575,0.232625,0.0913417991510036,0.22031850190446012,0.34451831658953136,0.650731737097895,0.17375,0.03075,0.005875,0.2528689535075165,0.4477508290766447,0.528805019559022,0.6253008495755378,0.9145,0.50975,0.108125,-0.2721746219559948
drift 5% + vcr m6,drift_vcr,21.6,-0.008669091526378514,0.4666089309826591,0.20021791296606858,-0.3791409462980757,-0.02286508912061159,-0.059291136993459906,0.3235435958501039,0.5488895438097071,0.6435672340598797,0.721582911825114,0.956875,0.7395,0.266875,0.1250642871824803,0.33453037276128184,0.6523067625167488,0.9589186890568268,0.36525,0.109875,0.032375,0.2637083558112443,0.46589392036522664,0.5514850234317148,0.6344355606508788,0.93075,0.555875,0.130375,-0.28311386343123207
vcr_ins b12 m6,vcr_insurance,33.8,-0.021755053881647224,0.4649138816655549,0.17076563629641703,-0.3933666383469374,-0.05530477615760574,-0.05932694730774402,0.32650320702545366,0.5526510850969623,0.633887038987136,0.7297738719974882,0.961,0.745,0.28275,0.09485559382696146,0.23194281492942137,0.36091856858038024,0.8989586251566721,0.1935,0.037875,0.0075,0.26307874242772944,0.4658978672095778,0.5464140983579109,0.6307274772997348,0.928,0.54825,0.1285,-0.29808059643012835
vcr_ins b14 m8,vcr_insurance,30.8,-0.028348347239631422,0.4970667361014476,0.16637486898844228,-0.40598037831596,-0.06982689005124508,-0.05975651302935456,0.3281096818842843,0.5575805606354247,0.6432457416114694,0.7497270379856764,0.96025,0.7685,0.285,0.08725732431190097,0.2122871450605264,0.36174530895329204,0.9501745528099922,0.14925,0.028875,0.00775,0.2607012211240524,0.4572228666105888,0.532016092730792,0.6261086831379293,0.9195,0.541125,0.11725,-0.3071386275573438
vcr_ins b12 m8,vcr_insurance,36.0,-0.038073426782753494,0.4639101912543644,0.12979352619211743,-0.3968479726066887,-0.0959395773970291,-0.05760564145013273,0.31975392161967475,0.551254468935795,0.6467950493055211,0.7400364833868207,0.959125,0.737625,0.27075,0.09319851872735907,0.22704886838955257,0.373375664588895,0.9525091612442741,0.186,0.03525,0.007875,0.2585621288909351,0.4578485144793678,0.5418552387761313,0.6227896561955156,0.923125,0.539125,0.123375,-0.313700661250651
lin b12 k+0.00 m2.5,linear,28.6,-0.019615702490981324,0.5779130673218172,0.21751768905206495,-0.4615190827348351,-0.04250247329914089,-0.06381460785265827,0.361497870439515,0.6053508949046895,0.6989781907449801,0.7749047740646313,0.958625,0.769625,0.408625,0.08937773194149501,0.2131250891339327,0.3380617504790273,0.867152839294757,0.161625,0.02725,0.00625,0.2709065205380682,0.47421620751186827,0.5512826993835342,0.6293026450679083,0.947875,0.58275,0.148375,-0.3222911499433261
lin b12 k+2.25 m2.5,linear,27.0,-0.041082104539349684,0.5094589156725737,0.14756719228753876,-0.44095509410582456,-0.09316618650853008,-0.06161249194181636,0.33869078423683263,0.5645978905801201,0.6569720990549747,0.7384214799081625,0.967375,0.793,0.32075,0.09025840775241167,0.2174409873242589,0.3548569019760679,0.9459709054430785,0.176375,0.03075,0.00675,0.27189243436528526,0.4772009612958087,0.5659318133653501,0.630939586638305,0.94125,0.582125,0.144,-0.32338104982940974
drift 3% f21,drift_gate,109.0,-0.07527029669785168,0.35907671161910043,-0.047156828635605066,-0.343571214344891,-0.2190820812546078,-0.050358196029034005,0.29817605665461966,0.5189675930928835,0.6050386109685995,0.7010276087633752,0.94175,0.68225,0.220875,0.11538270885695912,0.2718283597098395,0.42886086404377094,0.9536253893563182,0.305,0.067625,0.01175,0.23023067125156815,0.4103390612461399,0.4851006008460962,0.568299027923547,0.85525,0.4195,0.06025,-0.33475409324429345
lin b10 k-1.00 m2.5,linear,35.2,-0.05971122953450414,0.42388905861039644,0.054882852111088315,-0.42751278665258385,-0.13967121311631825,-0.056482160510517444,0.3212939675421315,0.5550286773853367,0.6487402129636678,0.7364573416951347,0.9595,0.75225,0.276,0.0934922841392789,0.22298859069763385,0.33738614144986,0.7794988492452488,0.182375,0.031625,0.005625,0.25164290263893047,0.4397664072809945,0.5147674709316991,0.5871480057280624,0.9055,0.506375,0.094875,-0.3372255682271725
drift 5% f21,drift_gate,63.2,-0.07531606724407747,0.3611402315462225,-0.044983087897878415,-0.3582780758406564,-0.2102167905958448,-0.05040315802133955,0.3029723479414185,0.5257898299527992,0.6151695789933576,0.6943557949344552,0.94125,0.688625,0.227375,0.11663635676169637,0.273932527977476,0.42620551016398345,0.9303374958624041,0.313,0.0705,0.012875,0.2328250482917898,0.414882764793769,0.4956669375309027,0.5810414143510192,0.8675,0.428,0.062625,-0.3382109822204771
vcr_ins b12 m4,vcr_insurance,31.8,-0.054003632215649855,0.499363378819262,0.11850411546144028,-0.4674329631355567,-0.1155323575243637,-0.061380376658489756,0.344006287590011,0.5689381615928031,0.6627947712274526,0.7615572631837034,0.96425,0.762,0.323625,0.08915664581341681,0.21513730011285734,0.34596951343248544,0.6982663221017203,0.15825,0.02875,0.006875,0.27425280160388926,0.4785225161006589,0.5515390844197443,0.64109673878811,0.939125,0.5895,0.151625,-0.3384727130120514
lin b14 k-1.00 m5.0,linear,27.2,-0.03972275210612364,0.5296227393824091,0.16786748826894737,-0.4644792624908768,-0.08552104542429138,-0.0630333264042201,0.35794147585102076,0.6073492783603989,0.703817012826117,0.7914782247890549,0.9505,0.753875,0.404625,0.09963469357179755,0.2362157311940795,0.3749940068174864,0.8182054852390483,0.218625,0.04075,0.008625,0.2691199922322906,0.4701100725051231,0.546990273778134,0.6340063981847037,0.932,0.570875,0.13525,-0.3433973912863231
drift 8% f21,drift_gate,36.4,-0.08430190297066309,0.37040945378076484,-0.061418836737144815,-0.3719055889911642,-0.2266755474133677,-0.05290366185127299,0.30595301576015704,0.5324250492588949,0.6219898730795604,0.7028725675854736,0.94725,0.696125,0.23925,0.10879525646553612,0.2602075059126991,0.4173484863976949,0.8544699076312441,0.267125,0.057625,0.01225,0.2316439738719005,0.41694059279635903,0.4914754286038043,0.5669849110176229,0.865375,0.426375,0.063375,-0.35051442760011053
lin b12 k+2.25 m5.0,linear,28.4,-0.06865326185611664,0.4811079514481544,0.07509656635710237,-0.4637852136819087,-0.1480281385236294,-0.06231425606253951,0.3389629264016395,0.5675263727598643,0.6588063652903731,0.7454544031812348,0.976125,0.798,0.31925,0.10422953783771743,0.250698075189648,0.41317745377763104,0.9519657757657737,0.239125,0.05025,0.011,0.28317104762156636,0.49198363145276297,0.5794175379272677,0.6521726475275242,0.952625,0.6195,0.17375,-0.3524164482360488
lin b10 k-1.00 m5.0,linear,35.8,-0.0775690769748062,0.47131456773036184,0.0508451568958601,-0.4384990224512929,-0.17689680706967215,-0.06293196193312646,0.3512212707504692,0.5917851762574421,0.68821464766492,0.7867163571893264,0.965375,0.78475,0.349625,0.09335116986073361,0.2283824703386459,0.3624758423135167,0.9518449167882521,0.191625,0.035,0.007125,0.26697341221128046,0.4725866748196649,0.5436302315100814,0.6219025352902153,0.930625,0.56225,0.141125,-0.37346166510352724
vol_tgt b12 g1.50,vol_target,30.0,-0.17060094978828033,0.475899846288758,-0.17168957761536824,-0.5480889898289016,-0.311265055409227,-0.06509701641766638,0.3884925048732425,0.6409398289923806,0.7387785541289018,0.8229488544720622,0.975125,0.827375,0.465125,0.08129937315329505,0.20006633555826842,0.30798580278561355,0.7289615480868675,0.129375,0.02075,0.0045,0.26045974874911065,0.46054003461340914,0.5407584649517991,0.6283831071747679,0.928875,0.541,0.1285,-0.4910708642844706
