variant,family,mean_n_rebal,cagr,vol,sharpe,maxdd,calmar,cvar95_daily,boot_dd_med,boot_dd_p95,boot_dd_p99,boot_dd_p999,boot_P(dd>15),boot_P(dd>25),boot_P(dd>40),t_dd_med,t_dd_p95,t_dd_p99,t_dd_p999,t_P(dd>15),t_P(dd>25),t_P(dd>40),lap_dd_med,lap_dd_p95,lap_dd_p99,lap_dd_p999,lap_P(dd>15),lap_P(dd>25),lap_P(dd>40),score
lin b14 k-1.00 m2.5,linear,25.6,0.12063782821877567,0.5411563071488695,0.4533311711295536,-0.3624404212358556,0.3328487143001951,-0.06021876987911284,0.31561469910803064,0.5279899045820615,0.6198618029656677,0.7218892588100928,0.95125,0.7065,0.23,0.0903560493570808,0.22085890004145806,0.37368457111631587,0.9521219301544921,0.17725,0.033,0.007625,0.2768504531477137,0.4752124317961606,0.5574430158108242,0.6469940968348497,0.945625,0.596,0.152875,-0.1433571240722551
lin b14 k+0.00 m2.5,linear,24.8,0.10830150790442783,0.5121760567119295,0.43267962165659346,-0.33072469861984244,0.3274672510289804,-0.05876006846438358,0.3025333586781492,0.5093983960708609,0.599046080158267,0.6904368603084248,0.95375,0.6995,0.198125,0.09230893038755578,0.21963593780326654,0.3478462885489514,0.6998602726758639,0.1775,0.0315,0.005875,0.2751931023919908,0.4716583407120641,0.5561435171974826,0.6269895295163557,0.939125,0.594,0.147,-0.14639769013100262
vcr_ins b14 m4,vcr_insurance,27.4,0.08393228031985611,0.48485893850248235,0.3888466023325915,-0.34883345916639874,0.24060845688492047,-0.05671601266675595,0.2968910730091987,0.511047978717037,0.6065444688980481,0.6956060285503014,0.932625,0.6915,0.197875,0.09509518207582951,0.22786349607407655,0.37144965304956246,0.8726548201460823,0.188625,0.03625,0.00875,0.2612238642330109,0.4579992833082765,0.5459397477474182,0.6392699935314807,0.92475,0.543375,0.12225,-0.1715917090386624
lin b10 k+2.25 m2.5,linear,32.2,0.08885827463383467,0.49290714434280436,0.39780881103356147,-0.3890393584074263,0.22840433162748724,-0.057477305552766485,0.3090125478583831,0.5256621178603019,0.6230612832571113,0.71663411022299,0.92725,0.687125,0.212125,0.09613004433916977,0.23197369079428848,0.35000102822931545,0.7435713808651724,0.199,0.037125,0.00675,0.26357432933172004,0.4586795220123687,0.5357775805816472,0.6216619615824615,0.927375,0.551375,0.119125,-0.1739727842963163
vol_tgt b12 g0.75,vol_target,28.8,0.0941339534958312,0.5633686057818588,0.4049562263409795,-0.41869247510096785,0.2248283862114569,-0.05953549325476108,0.3277332218403199,0.5483563154651452,0.6541949832433794,0.7578389791288442,0.936125,0.711125,0.2655,0.07984424041950916,0.19669230751865313,0.32218139195586476,0.6676903845653848,0.12125,0.022125,0.004875,0.2664902898017239,0.4705954943518132,0.5503449028145725,0.6312141857617296,0.931375,0.567875,0.139,-0.1800442042367414
lin b14 k+2.25 m2.5,linear,23.0,0.08163633494100142,0.5397340225831857,0.38762608642184065,-0.3680283208959648,0.2218207955905616,-0.06195703160683567,0.32068182573134907,0.5441236791967673,0.6355379083012889,0.727967159128711,0.947125,0.7295,0.249875,0.10005408951606226,0.23406772862291114,0.39813295422229844,0.9527914422553787,0.217125,0.038625,0.009875,0.2871719556124628,0.4946788629474373,0.5789408788598446,0.6564346501725044,0.955625,0.631375,0.181,-0.19042550465738223
lin b12 k-1.00 m2.5,linear,29.0,0.07688911581104141,0.5683796140861609,0.38222550611437583,-0.4228681135468073,0.18182765109937887,-0.06272107655763803,0.3322076468908201,0.5499782928190249,0.6363327533455732,0.7321627867513206,0.96075,0.73775,0.289375,0.09264243637276026,0.22447158589993157,0.3498948044016456,0.9530488163500651,0.18175,0.033375,0.00675,0.2821801061642396,0.4877657866009625,0.5702376861400746,0.6484756274870986,0.9555,0.62325,0.168,-0.19810003059847103
vcr_ins b14 m6,vcr_insurance,28.8,0.05283758324491661,0.500680454451083,0.3309146577514197,-0.36043468941202517,0.14659405655740357,-0.058415838520539394,0.30551509948123895,0.5186392302382655,0.6103516858313164,0.706786199838797,0.9415,0.697375,0.217875,0.09041307864704878,0.21865505009001845,0.35216660581683995,0.6680008628792465,0.167375,0.02925,0.006375,0.2652007555376402,0.46582316057371964,0.5440746041430324,0.6376226038337423,0.927125,0.555,0.1335,-0.20648203187421615
lin b14 k+2.25 m5.0,linear,24.6,0.04938496167182316,0.49217458796269264,0.326016248252944,-0.3638632397320981,0.13572396515840365,-0.06085130009866328,0.3093183502577027,0.5369832566416365,0.6303755146461208,0.7259719855966553,0.96775,0.73575,0.23825,0.0960281424079924,0.22881189023695922,0.3681392878415046,0.6379592767089711,0.194625,0.036875,0.007,0.2726583565281737,0.4799745627946967,0.5706350537269553,0.6383297391411866,0.9465,0.5835,0.155375,-0.21910666664899509
lin b10 k+0.00 m5.0,linear,35.8,0.033545678699299586,0.5395831462493037,0.3002573470378428,-0.3982619905135256,0.08423017887307105,-0.05914133996320664,0.3282107793867099,0.5424076491614782,0.6390445511019205,0.7278589779278106,0.954125,0.733375,0.265375,0.08772977955611633,0.2110941097246385,0.3272334952334871,0.6926761001151164,0.146875,0.026625,0.005875,0.2692077721820493,0.4682974894816463,0.5456819141527952,0.6381513375591766,0.939375,0.574125,0.136875,-0.23765814588143952
lin b10 k+2.25 m5.0,linear,33.4,0.0501096830890333,0.6070564858565828,0.34493216708166735,-0.4701976477383599,0.10657153078085299,-0.06457859069648234,0.3563134788118456,0.5845365581539659,0.6904728198438486,0.7770864371883667,0.952375,0.739625,0.398,0.10293457041188775,0.24636568854589475,0.4116695021452333,0.9529876527706694,0.24025,0.04675,0.010625,0.283586268409111,0.49518092604818575,0.5843338039211053,0.6718607054747013,0.953375,0.625875,0.1665,-0.24215859598794964
lin b14 k+0.00 m5.0,linear,26.4,0.024190570869302874,0.4539008741017539,0.26969056429095717,-0.40907435547728166,0.05913489942697305,-0.0586821390168848,0.3221912313116052,0.5553482208334719,0.6639742163291594,0.7599575473814345,0.920125,0.690875,0.262375,0.10551140657579461,0.2451412003562534,0.36786396257587106,0.9512944953150918,0.253375,0.04725,0.008375,0.2582380209638102,0.456257381137411,0.5357657936710841,0.610565088835556,0.91325,0.533125,0.11575,-0.2534835395474331
