symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,23737.363165450002,23737.363165450002,1
DUST,flow_program,11320.759019680001,11320.759019680001,1
ZSL,flow_program,11307.39081264,11307.39081264,1
SQQQ,flow_program,10846.79122176,10846.79122176,1
TSLQ,flow_program,10571.2909764,10571.2909764,1
FAZ,flow_program,10355.198287000001,10355.198287000001,1
SDS,flow_program,9655.85934336,9655.85934336,1
SOXS,flow_program,9296.90748,9296.90748,1
LABD,flow_program,8885.324410600002,8885.324410600002,1
NVDQ,flow_program,8617.8470144,8617.8470144,1
EWV,flow_program,822.4728816,822.4728816,1
TSYY,flow_program,-34.517394239999994,34.517394239999994,1
NVYY,flow_program,-46.480212024,46.480212024,1
TQQY,flow_program,-215.0187006363,215.0187006363,1
