ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,borrow_annual,strategy_tag,long_usd,short_usd,sleeve
MUU,MU,1.994182,371,ols,0.044568,100000,0.044568,False,False,148.82000732421875,0.044568,1.0,False,True,False,False,False,False,False,False,False,1.272466,0.515806,0.611006,0.370077,0.515806,0.471238,0.471238,0.4985455,0.5982546,0.5,0.5982546,0.044568,ETF_LS,6677.3262469043575,-3348.403629610717,core_leveraged
NFXL,NFLX,1.996125,376,ols,0.053341,100000,0.053341,False,False,31.729999542236328,0.053341,1.0,False,True,False,False,False,False,False,False,False,0.695139,0.226228,0.329797,0.108135,0.226228,0.172887,0.172887,0.49903125,0.5988374999999999,0.5,0.5988374999999999,0.053341,ETF_LS,1848.2128592552986,-925.900361578207,core_leveraged
NVDU,NVDA,1.987284,500,ols,0.050982,15000,0.050982,False,False,100.62999725341795,0.050982,1.0,False,True,False,False,False,False,False,False,False,0.983251,0.353831,0.494507,0.239893,0.353831,0.302849,0.302849,0.496821,0.5961852,0.5,0.5961852,0.050982,ETF_LS,3907.7972611743126,-1966.4010081972745,core_leveraged
ORCU,ORCL,2.003421,93,ols,0.147675,150000,0.147675,False,False,9.010000228881836,0.147675,1.0,False,True,False,False,False,False,False,False,False,1.067963,0.363933,0.514938,0.266523,0.302472,0.216258,0.154797,0.50085525,0.6010262999999999,0.50085525,0.6010262999999999,0.147675,ETF_LS,837.2966671357223,-417.9334583872897,core_leveraged
PALU,PANW,2.004825,257,ols,0.051389,55000,0.051389,False,False,14.039999961853027,0.051389,1.0,False,True,False,False,False,False,False,False,False,0.737412,0.245532,0.348376,0.122246,0.245532,0.194143,0.194143,0.50120625,0.6014474999999999,0.50120625,0.6014474999999999,0.051389,ETF_LS,2232.9806805941234,-1113.803289860274,core_leveraged
PLTU,PLTR,1.991931,328,ols,0.073591,150000,0.073591,False,False,46.68999862670898,0.073591,1.0,False,True,False,False,False,False,False,False,False,1.281733,0.495272,0.62839,0.390107,0.495272,0.421681,0.421681,0.49798275,0.5975792999999999,0.5,0.5975792999999999,0.073591,ETF_LS,5032.834642911801,-2526.6109332661626,core_leveraged
QCMU,QCOM,2.002699,196,ols,0.033708,5000,0.033708,False,False,13.4483003616333,0.033708,1.0,False,True,False,False,False,False,False,False,False,0.640575,0.220189,0.38325,0.147476,0.204031,0.186481,0.170323,0.50067475,0.6008096999999999,0.50067475,0.6008096999999999,0.033708,ETF_LS,2409.253521070772,-1203.003307571818,core_leveraged
SHPU,SHOP,2.011907,167,ols,0.051603,20000,0.051603,False,False,13.420499801635742,0.051603,1.0,False,True,False,False,False,False,False,False,False,1.013886,0.340415,0.578887,0.341119,0.340652,0.288812,0.289049,0.50297675,0.6035721,0.50297675,0.6035721,0.051603,ETF_LS,3675.3219233337804,-1826.7851960024896,core_leveraged
SOFA,SOFI,1.989515,37,ols,0.046826,300,0.046826,False,False,13.665900230407717,0.046826,1.0,False,True,False,False,False,False,False,True,False,0.841118,0.302455,0.572475,0.322591,0.319635,0.255629,0.272809,0.49737875,0.5968545,0.5,0.5968545,0.046826,ETF_LS,3575.2486174801684,-1797.0453188240192,core_leveraged
TSLL,TSLA,1.993798,500,ols,0.064614,550000,0.064614,False,False,10.489999771118164,0.064614,1.0,False,True,False,False,False,False,False,False,False,1.248783,0.49669,0.626243,0.388539,0.49669,0.432076,0.432076,0.4984495,0.5981394,0.5,0.5981394,0.064614,ETF_LS,5465.838466939072,-2741.420378061906,core_leveraged
TSMX,TSM,1.994971,376,ols,0.221912,500000,0.221912,False,False,59.25,0.221912,1.0,False,True,False,False,False,False,False,False,False,0.808808,0.278771,0.409355,0.16631,0.278771,0.0568589999999999,0.0568589999999999,0.49874275,0.5984913,0.5,0.5984913,0.221912,ETF_LS,836.1175112362588,-419.1126142867534,core_leveraged
XOMX,XOM,1.982839,239,ols,0.050301,15000,0.050301,False,False,52.04999923706055,0.050301,1.0,False,True,False,False,False,False,False,False,False,0.445964,0.138039,0.229938,0.051518,0.133576,0.087738,0.083275,0.49570975,0.5948517,0.5,0.5948517,0.050301,ETF_LS,834.4128687005647,-420.81725682244735,core_leveraged
YINN,FXI,2.973007,500,ols,0.016495,1000000,0.016495,False,False,31.6200008392334,0.016495,1.0,False,True,False,False,False,False,False,False,False,0.859574,0.368489,0.28843,0.243992,0.368489,0.351994,0.351994,0.74325175,0.8919020999999999,0.74325175,0.8919020999999999,0.016495,ETF_LS,5426.767082942813,-1825.3462177999625,core_leveraged
