underlying,net_notional_usd,gross_notional_usd,orphan_frac
DIA,-17627.760000000002,17627.760000000002,1.0
QQQ,-17611.41,17611.41,1.0
XLK,-16789.96,16789.96,1.0
CLSK,-9552.0,9552.0,1.0
