symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
SOXS,flow_program,9485.99449972,9485.99449972,1
LABD,flow_program,9371.0719284,9371.0719284,1
FAZ,flow_program,9363.29188656,9363.29188656,1
SQQQ,flow_program,9274.5829748,9274.5829748,1
NVDQ,flow_program,8778.0303826,8778.0303826,1
EWV,flow_program,8396.73389984,8396.73389984,1
DUST,flow_program,8320.327415040001,8320.327415040001,1
SDS,flow_program,8183.597435240002,8183.597435240002,1
TSLQ,flow_program,8170.010857280001,8170.010857280001,1
ZSL,flow_program,7537.768804800001,7537.768804800001,1
TSYY,flow_program,-13.004370359999998,13.004370359999998,1
NVYY,flow_program,-20.6667184,20.6667184,1
TQQY,flow_program,-75.16803609600001,75.16803609600001,1
