date,bucket_2_yieldboost_gross_trade_pnl,bucket_3_inverse_gross_trade_pnl,bucket_4_inverse_decay_gross_trade_pnl,bucket_core_screener_gross_trade_pnl,bucket_2_yieldboost_net_pair_pnl,bucket_3_inverse_net_pair_pnl,bucket_4_inverse_decay_net_pair_pnl,bucket_core_screener_net_pair_pnl
2023-01-03,0.0,0.0,0.0,0.0,-3391.782338306845,0.0,0.0,-4628.2998587564325
2023-01-04,0.0,0.0,0.0,0.0,172.44896677459053,0.0,0.0,-269.42454726747224
2023-01-05,4376.648132324219,0.0,0.0,-7926.827636003494,4549.717728918221,0.0,0.0,-8179.755288151635
2023-01-06,19340.047241210938,0.0,0.0,-126.64067888259888,19511.0763009216,-0.13395428585909253,0.0,-482.3393244491946
2023-01-09,5700.258056640625,0.0,0.0,10584.358309984207,5870.181290124349,-0.014364507818585349,0.0,10308.257587388362
2023-01-10,-17813.084716796875,-0.5051956176757812,0.0,11873.227283716202,-17643.375444765952,-0.5196184856119307,0.0,11576.348612278878
2023-01-11,17202.406127929688,1.8042221069335938,0.0,-220.57978081703186,17370.96220596393,1.7900076624488528,0.0,-518.3077136012047
2023-01-12,21171.550903320312,5.41265869140625,0.0,5061.042330741882,21338.153086450573,5.3990695163943885,0.0,4746.734718314972
2023-01-13,-10280.347473144531,1.515533447265625,0.0,2963.006871700287,-10216.648061750655,0.6195895204801556,0.0,1924.0742546068875
2023-01-17,-6926.23299407959,3.1754302978515625,0.0,12236.6322889328,-6742.869173055176,2.9576911699928403,0.0,11980.9662103076
2023-01-18,25797.34716796875,-30.87646484375,0.0,-4881.766976356506,25980.51196018105,-31.10156960164291,0.0,-5123.6331477527365
2023-01-19,-6826.00870513916,-23.183059692382812,0.0,931.8682687282562,-6642.793715945302,-23.414227817561315,0.0,687.2490897492676
2023-01-20,-17566.099479675293,40.13372802734375,0.0,13209.672685623169,-17383.488486489474,39.413563970106296,0.0,12934.000735482648
2023-01-23,-5018.823097229004,21.918445587158203,0.0,4174.181599617004,-4836.821472083017,21.581188366904787,0.0,3904.4897409611344
