date,bucket,bucket_universe,sizing_slice,flow_sleeve_alloc_usd,incumbent_cohort,etf,under,underlying,beta_abs,pair_weight_gtp,long_sh,short_sh,underlying_price,etf_price,long_notional_usd,short_notional_usd,gross_notional_usd,net_notional_usd,pct_book_gross,net_over_gross,borrow_rate_annual
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,APPX,APP,APP,1.988,0.006704564292503721,24.0,-163.0,459.9999084472656,35.0,11039.997802734375,-5705.0,16744.997802734375,5334.997802734375,0.0007252674720235042,0.318602478518283,0.025387
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,ARCX,ACHR,ACHR,1.984,0.005269851887347802,1903.0,-317.0,5.679999828338623,17.020000457763672,10809.0396733284,-5395.340145111084,16204.379818439484,5413.699528217316,0.000701851963498566,0.33408865929301984,0.088709
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,ARMG,ARM,ARM,1.996,0.0021832965835986077,46.0,-244.0,212.52000427246094,17.905000686645508,9775.920196533203,-4368.820167541504,14144.740364074707,5407.100028991699,0.0006126438598042745,0.38226930221531924,0.158198
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,ASMG,ASML,ASML,1.985,0.001477956966983662,7.0,-144.0,1434.9000244140625,36.720001220703125,10044.300170898438,-5287.68017578125,15331.980346679688,4756.6199951171875,0.0006640661741582684,0.3102417226974392,0.107689
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,ASMU,ASML,ASML,2.002,0.001477956966983662,7.0,-219.0,1434.9000244140625,24.1200008392334,10044.300170898438,-5282.280183792114,15326.580354690552,4762.019987106323,0.0006638322870843466,0.31070335827710927,0.135255
2026-05-01,bucket_4_inverse_decay,bucket_4_inverse_decay,bucket_4_inverse_decay,0.0,post_start,ASTN,ASTS,ASTS,1.906,0.003331266594504367,-302.0,-1073.0,71.01000213623047,16.950000762939453,-21445.0206451416,-18187.350818634033,39632.371463775635,-39632.371463775635,0.0017165765084266094,-1.0,0.508847
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,ASTX,ASTS,ASTS,1.991,0.0032628406197693616,1103.0,-1451.0,71.01000213623047,24.829999923706055,78324.0323562622,-36028.329889297485,114352.36224555969,42295.70246696472,0.004952885014545062,0.3698716986374024,0.10855
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,AVGG,AVGO,AVGO,1.999,0.0036837230074229536,26.0,-147.0,418.3999938964844,36.52000045776367,10878.399841308594,-5368.44006729126,16246.839908599854,5509.959774017334,0.0007036910155316139,0.33914039930317624,0.007762
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,AVGU,AVGO,AVGO,1.994,0.0006374184252440568,26.0,-114.0,418.3999938964844,46.82979965209961,10878.399841308594,-5338.5971603393555,16216.99700164795,5539.802680969238,0.000702398445061446,0.3416047175939103,0.12546
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,AVGX,AVGO,AVGO,1.978,0.002183292824078211,26.0,-86.0,418.3999938964844,62.45000076293945,10878.399841308594,-5370.700065612793,16249.099906921387,5507.699775695801,0.0007037889016758073,0.3389541455985367,0.095147
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,AVL,AVGO,AVGO,1.987,0.003614041404727384,26.0,-91.0,418.3999938964844,58.86000061035156,10878.399841308594,-5356.260055541992,16234.659896850586,5522.139785766602,0.0007031634689511559,0.34014508593665455,0.03612
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,AVXX,AVAV,AVAV,1.997,0.004414488962564783,55.0,-469.0,185.47999572753906,10.23900032043457,10201.399765014648,-4802.0911502838135,15003.490915298462,5399.308614730835,0.000649838480473806,0.35987015589987625,0.178994
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,AXPG,AXP,AXP,2.018,0.0,0.0,0.0,323.17999267578125,12.332500457763672,0.0,0.0,0.0,0.0,0.0,,0.372463
2026-05-01,bucket_3_inverse,bucket_3_inverse,bucket_3_flow_program,72.22222222222223,post_start,AZYY,AMZN,AMZN,0.598,0.0,0.0,-144.0,271.2051086425781,17.24489974975586,0.0,-2483.2655639648438,2483.2655639648438,-2483.2655639648438,0.00010755640336039364,-1.0,0.0
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BABU,BABA,BABA,2.038,0.0025599286968186036,81.0,-343.0,131.60000610351562,14.6899995803833,10659.600494384766,-5038.669856071472,15698.270350456238,5620.9306383132935,0.0006799311045808401,0.3580605068474905,0.053679
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,incumbent,BABX,BABA,BABA,2.007,0.005746039873734253,80.0,-191.0,131.60000610351562,26.68000030517578,10528.00048828125,-5095.880058288574,15623.880546569824,5432.120429992676,0.0006767090972897903,0.34768061710413434,0.016283
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BAIG,BBAI,BBAI,2.006,0.005496045503135978,2943.0,-1762.0,3.9149999618530273,3.3594000339508057,11521.84488773346,-5919.26285982132,17441.10774755478,5602.58202791214,0.0007554177238108094,0.3212285658115732,0.0
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BEG,BE,BE,1.973,0.00023717278192513343,47.0,-85.0,277.3999938964844,89.4800033569336,13037.799713134766,-7605.8002853393555,20643.59999847412,5431.99942779541,0.0008941256225135405,0.2631323716888972,0.410244
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BEX,BE,BE,1.984,0.004224060897540961,47.0,-121.0,277.3999938964844,61.79999923706055,13037.799713134766,-7477.799907684326,20515.59962081909,5559.999805450439,0.0008885816080315107,0.2710132732268858,0.07788
2026-05-01,bucket_4_inverse_decay,bucket_4_inverse_decay,bucket_4_inverse_decay,0.0,post_start,BEZ,BE,BE,1.985,0.0024358567297408334,-108.0,-3594.0,277.3999938964844,2.305000066757202,-29959.199340820312,-8284.170239925385,38243.3695807457,-38243.3695807457,0.0016564153847161897,-1.0,0.980023
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BIDG,BIDU,BIDU,2.013,0.0,0.0,0.0,126.29000091552734,14.84000015258789,0.0,0.0,0.0,0.0,0.0,,0.2179029999999999
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BITU,IBIT,IBIT,1.994,0.0018463838743881008,247.0,-363.0,44.3650016784668,15.188300132751465,10958.155414581299,-5513.352948188782,16471.50836277008,5444.802466392517,0.00071342196466156,0.33055882597244074,0.081807
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BITX,IBIT,IBIT,2.003,0.003292253984309367,247.0,-285.0,44.3650016784668,19.34000015258789,10958.155414581299,-5511.900043487549,16470.055458068848,5446.25537109375,0.0007133590357479724,0.33067620111901774,0.031612
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BLSG,BLSH,BLSH,2.016,0.005411291717007263,273.0,-922.0,38.040000915527344,5.300000190734863,10384.920249938965,-4886.600175857544,15271.520425796509,5498.320074081421,0.000661447504720729,0.3600375025392829,0.040795
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BMNG,BMNR,BMNR,1.991,0.0021525616495202265,865.0,-6540.0,21.6299991607666,1.3898999691009521,18709.94927406311,-9089.945797920227,27799.895071983337,9620.003476142883,0.0012040825480480871,0.34604459661568643,0.3086472487299048
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BMNU,BMNR,BMNR,1.948,0.001318152968414287,487.0,-2611.0,21.6299991607666,2.0000998973846436,10533.809591293335,-5222.260832071304,15756.07042336464,5311.548759222031,0.0006824345693919377,0.3371112603905062,0.3905125591480979
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BMNZ,BMNR,BMNR,1.968,0.0,0.0,0.0,21.6299991607666,15.470000267028809,0.0,0.0,0.0,0.0,0.0,,0.946848
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BOEG,BA,BA,1.993,0.0018206131690469128,47.0,-337.0,230.7100067138672,15.890000343322754,10843.370315551758,-5354.930115699768,16198.300431251526,5488.44019985199,0.0007015886501300482,0.3388281519500091,0.0571509999999999
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BOEU,BA,BA,1.996,0.00276443153144777,47.0,-133.0,230.7100067138672,39.89500045776367,10843.370315551758,-5306.035060882568,16149.405376434326,5537.335254669189,0.0006994708837845709,0.3428816805075329,0.049976
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BRKU,BRK-B,BRK-B,1.947,0.0,0.0,0.0,478.82000732421875,21.530000686645508,0.0,0.0,0.0,0.0,0.0,,0.081562
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BTCL,IBIT,IBIT,2.006,0.0029648016312064794,247.0,-276.0,44.3650016784668,19.94499969482422,10958.155414581299,-5504.819915771484,16462.975330352783,5453.335498809814,0.0007130523778199914,0.3312484766198672,0.04242
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BTCZ,IBIT,IBIT,1.992,0.0,0.0,0.0,44.3650016784668,4.0,0.0,0.0,0.0,0.0,0.0,,0.25516
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BU,B,B,2.021,0.002181331783589484,266.0,-262.0,39.154998779296875,18.5,10415.229675292969,-4847.0,15262.229675292969,5568.229675292969,0.0006610450992256501,0.36483723504089405,0.0977089999999999
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,BULX,BULL,BULL,1.981,0.00995062087341466,1571.0,-1180.0,6.795000076293945,4.510000228881836,10674.945119857788,-5321.800270080566,15996.745389938354,5353.144849777222,0.0006928588003558711,0.3346396232038704,0.0
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CCUP,CRCL,CRCL,1.985,0.001271317842686185,109.0,-1153.0,95.46790313720703,4.310100078582764,10406.001441955566,-4969.5453906059265,15375.546832561493,5436.45605134964,0.0006659531469397927,0.353578062006654,0.226939
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CEGX,CEG,CEG,1.992,0.001620856978879581,35.0,-278.0,316.7699890136719,19.709999084472656,11086.949615478516,-5479.379745483398,16566.329360961914,5607.569869995117,0.0007175288977566548,0.33849199468466423,0.118065
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,incumbent,CHAU,ASHR,ASHR,1.966,0.0,0.0,0.0,35.54990005493164,23.915000915527344,0.0,0.0,0.0,0.0,0.0,,0.0
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CHNU,CHNL,CHNL,2.006,0.0,0.0,0.0,21.01580047607422,21.037500381469727,0.0,0.0,0.0,0.0,0.0,,0.0
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CIFG,CIFR,CIFR,1.99,0.003587973600223126,597.0,-585.0,18.030000686645508,9.380000114440918,10763.910409927368,-5487.300066947937,16251.210476875305,5276.610342979431,0.0007038803157060174,0.3246902961774937,0.249482
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CIFU,CIFR,CIFR,1.994,0.0004381682049340939,597.0,-240.0,18.030000686645508,22.06999969482422,10763.910409927368,-5296.7999267578125,16060.71033668518,5467.110483169556,0.0006956292811747824,0.34040278222824416,0.4378869999999999
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CLSX,CLSK,CLSK,2.0,0.002179850175861941,852.0,-298.0,12.585000038146973,17.43000030517578,10722.42003250122,-5194.140090942383,15916.560123443604,5528.279941558838,0.0006893857771754988,0.3473288134297435,0.100685
2026-05-01,bucket_4_inverse_decay,bucket_4_inverse_decay,bucket_4_inverse_decay,0.0,post_start,CLSZ,CLSK,CLSK,2.035,0.0027386118321886385,-1976.0,-1833.0,12.585000038146973,8.630999565124512,-24867.960075378418,-15820.62220287323,40688.58227825165,-40688.58227825165,0.0017623236238555415,-1.0,0.292597
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CMGG,CMG,CMG,1.973,0.0025163773492875626,316.0,-345.0,33.720001220703125,15.48009967803955,10655.520385742188,-5340.634388923645,15996.154774665833,5314.8859968185425,0.0006928332193405322,0.3322602257660121,0.058284
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CNCG,CNC,CNC,1.998,0.016158454064985808,260.0,-362.0,53.68000030517578,24.216999053955078,13956.800079345703,-8766.553657531738,22723.35373687744,5190.246421813965,0.0009842049258405852,0.2284102286094671,0.009278
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,COHX,COHR,COHR,2.05,0.0015303122891065384,33.0,-110.0,329.25,45.93000030517578,10865.25,-5052.300033569336,15917.550033569336,5812.949966430664,0.0006894286526433177,0.36519124828704397,0.318169
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,COIA,COIN,COIN,2.004,0.0013231418450079496,54.0,-794.0,192.63009643554688,6.304999828338623,10402.025207519531,-5006.169863700867,15408.195071220398,5395.855343818665,0.000667367223298423,0.35019386234907585,0.104321
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,COIG,COIN,COIN,1.997,0.0010016189665437035,54.0,-625.0,192.63009643554688,8.020000457763672,10402.025207519531,-5012.500286102295,15414.525493621826,5389.524921417236,0.0006676414096259468,0.34963936604128987,0.1537069999999999
2026-05-01,bucket_4_inverse_decay,bucket_4_inverse_decay,bucket_4_inverse_decay,0.0,post_start,CONI,COIN,COIN,1.506,0.0003502846873436358,-91.0,-373.0,192.63009643554688,46.06999969482422,-17529.338775634766,-17184.109886169434,34713.4486618042,-34713.4486618042,0.0015035257366264464,-1.0,0.55677
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,incumbent,CONL,COIN,COIN,1.988,0.0017093193145984171,54.0,-617.0,192.63009643554688,8.154999732971191,10402.025207519531,-5031.634835243225,15433.660042762756,5370.390372276306,0.0006684701745053,0.34796609212567314,0.1060319999999999
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CONX,COIN,COIN,2.004,0.001224602718766062,54.0,-507.0,192.63009643554688,9.84000015258789,10402.025207519531,-4988.880077362061,15390.905284881592,5413.145130157471,0.0006666183596809119,0.3517106388455769,0.104375
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,COPZ,COPX,COPX,2.013,0.0030389792621725083,132.0,-315.0,79.76499938964844,16.26759910583496,10528.979919433594,-5124.293718338013,15653.273637771606,5404.686201095581,0.0006779821851218707,0.34527513708404,0.0613499999999999
2026-05-01,bucket_4_inverse_decay,bucket_4_inverse_decay,bucket_4_inverse_decay,0.0,post_start,CORD,CRWV,CRWV,2.006,0.0020175966735892646,-225.0,-2487.0,119.54499816894531,5.275000095367432,-26897.624588012695,-13118.925237178802,40016.5498251915,-40016.5498251915,0.0017332162280773767,-1.0,0.361469
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,COTG,COST,COST,1.987,0.0,0.0,0.0,1030.4449462890625,15.800000190734863,0.0,0.0,0.0,0.0,0.0,,0.120969
2026-05-01,bucket_whitelist,bucket_whitelist,,0.0,post_start,COYY,COIN,COIN,0.464,0.00030066175532456925,26.0,-2772.0,192.63009643554688,3.839900016784668,5008.382507324219,-10644.2028465271,15652.585353851318,-5635.820339202881,0.0006779523738346563,-0.36005683481650447,0.23794
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,COZX,CORZ,CORZ,2.036,0.004768787177079164,524.0,-325.0,20.655000686645508,16.1299991607666,10823.220359802246,-5242.2497272491455,16065.470087051392,5580.970632553101,0.0006958354377927905,0.34738918950471964,0.095659
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CRCA,CRCL,CRCL,1.98,0.002354825838813899,109.0,-130.0,95.46790313720703,38.11000061035156,10406.001441955566,-4954.300079345703,15360.30152130127,5451.701362609863,0.0006652928346191719,0.3549215069150553,0.110148
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CRCD,CRCL,CRCL,2.009,0.0,0.0,0.0,95.46790313720703,5.599899768829346,0.0,0.0,0.0,0.0,0.0,,0.85014
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CRCG,CRCL,CRCL,1.99,0.002600330424335573,362.0,-6537.0,95.46790313720703,2.539900064468384,34559.380935668945,-16603.326721429825,51162.70765709877,17956.05421423912,0.0022159840258851675,0.35095981109099367,0.067849
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CRDU,CRDO,CRDO,1.995,0.0063091339369256965,56.0,-91.0,173.1699981689453,46.58000183105469,9697.519897460938,-4238.780166625977,13936.300064086914,5458.739730834961,0.0006036157923646191,0.3916921783925876,0.082297
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CRDX,CRDD,CRDD,1.978,0.0,0.0,0.0,20.091699600219727,20.93899917602539,0.0,0.0,0.0,0.0,0.0,,0.971728
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CRMG,CRM,CRM,1.984,0.0028734625886141308,61.0,-976.0,180.71099853515625,5.744999885559082,11023.370910644531,-5607.119888305664,16630.490798950195,5416.251022338867,0.0007203078890995831,0.32568197101439544,0.072715
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CRMU,CRML,CRML,1.953,0.00809567300484037,108093.0,-65338.0,12.229999542236328,9.869999885559082,1321977.3405189514,-644886.0525226593,1966863.3930416107,677091.2879962921,0.08518974189736353,0.3442492703823319,0.251866
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CRWG,CRWV,CRWV,1.997,0.0012572817839248086,99.0,-1194.0,119.54499816894531,5.279900074005127,11834.954818725586,-6304.200688362122,18139.155507087708,5530.754130363464,0.0007856519071694628,0.30490692514336587,0.090429
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CRWL,CRWD,CRWD,1.997,0.001599123882811435,24.0,-225.0,452.4150085449219,24.404600143432617,10857.960205078125,-5491.035032272339,16348.995237350464,5366.925172805786,0.0007081156167115906,0.3282724775981742,0.191855
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CRWU,CRWV,CRWV,1.99,0.000928631624457745,99.0,-637.0,119.54499816894531,9.920000076293945,11834.954818725586,-6319.040048599243,18153.99486732483,5515.914770126343,0.0007862946367423425,0.30384027374902345,0.167579
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CSCL,CSCO,CSCO,2.021,0.0,0.0,0.0,92.69999694824219,40.81650161743164,0.0,0.0,0.0,0.0,0.0,,0.097609
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CSEX,CLS,CLS,2.005,0.006874088577229807,27.0,-197.0,413.375,27.014999389648438,11161.125,-5321.954879760742,16483.079879760742,5839.170120239258,0.0007139231558217001,0.3542523704813845,0.042796
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,post_start,CVNX,CVNA,CVNA,1.987,0.001713901212576835,27.0,-269.0,386.0050048828125,18.06999969482422,10422.135131835938,-4860.829917907715,15282.965049743652,5561.305213928223,0.0006619431998277805,0.36388915343502043,0.165266
2026-05-01,bucket_core_screener,bucket_core_screener,,0.0,incumbent,CWEB,KWEB,KWEB,1.989,0.005526405471419729,377.0,-201.0,28.684999465942383,26.8700008392334,10814.244798660278,-5400.870168685913,16215.114967346191,5413.374629974365,0.0007023169294783221,0.33384744054394655,0.006422
