symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,6453.72702216,6453.72702216,1
SVIX,SVIX,volatility_etp_bucket5,-5066.16,5066.16,1
