etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.024552,1.0
ASTN,ASTS,-1.988676,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-2.013025,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
BMNZ,BMNR,-1.987814,1.0
CELT,CELH,-1.0,1.0
CONI,COIN,-1.924026,1.0
CRCD,CRCL,-1.992471,1.0
CORD,CRWV,-2.005556,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-2.002427,1.0
SDOW,DIA,-2.999404,1.0
DKUP,DKNG,-1.0,1.0
HOOZ,HOOD,-2.009099,1.0
BTCZ,IBIT,-1.996182,1.0
IONZ,IONQ,-2.015708,1.0
IREZ,IREN,-2.009152,1.0
TWM,IWM,-2.0032,1.0
TZA,IWM,-2.997648,1.0
BTFL,KEEL,-1.0,1.0
LITZ,LITE,-2.000243,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.988029,1.0
SMST,MSTR,-1.962977,1.0
MUZ,MU,-2.0,1.0
NBIZ,NBIS,-2.035228,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVD,NVDA,-2.000844,1.0
NVDS,NVDA,-1.494497,1.0
OKLS,OKLO,-2.000396,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.996489,1.0
QID,QQQ,-1.994704,1.0
QSX,QS,-1.0,1.0
RGTZ,RGTI,-1.986046,1.0
RKLZ,RKLB,-1.994242,1.0
SMCZ,SMCI,-2.007413,1.0
SNDQ,SNDK,-2.020946,1.0
HIBS,SPHB,-3.005022,1.0
SPXS,SPY,-2.993952,1.0
SPXU,SPY,-2.992181,1.0
UVIX,SVIX,-1.99204,1.0
TBT,TLT,-2.000068,1.0
TBX,TLT,-1.371713,1.0
TMV,TLT,-2.98961,1.0
TSDD,TSLA,-2.007513,1.0
STSM,TSM,-1.995719,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.744465,1.0
DUG,XLE,-1.989379,1.0
SKF,XLF,-1.997972,1.0
FNGD,XLK,-2.903595,1.0
REW,XLK,-2.005442,1.0
TECS,XLK,-2.997342,1.0
WEBS,XLK,-2.743206,1.0
DRIP,XOP,-1.995947,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
