etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.032494,0.75
ASTN,ASTS,-2.003824,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.009837,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.991963,0.75
CBRZ,CBRS,-2.0,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.024298,0.75
CONI,COIN,-1.925382,0.75
CRCD,CRCL,-2.008946,0.75
CORD,CRWV,-2.013539,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.00246,0.75
SDOW,DIA,-2.999202,0.75
DKUP,DKNG,-1.0,0.75
ETHD,ETHA,-1.989293,0.75
HOOZ,HOOD,-2.003546,0.75
BTCZ,IBIT,-1.99782,0.75
IONZ,IONQ,-2.031478,0.75
IREZ,IREN,-2.017476,0.75
TWM,IWM,-2.001866,0.75
TZA,IWM,-2.997546,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.989383,0.75
MSTZ,MSTR,-2.001553,0.75
SMST,MSTR,-1.976673,0.75
MUYY,MU,0.135414,0.75
NBIZ,NBIS,-2.044717,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.004169,0.75
NVDS,NVDA,-1.494098,0.75
OKLS,OKLO,-2.004921,0.75
OKTX,OKTA,-1.0,0.75
PLTZ,PLTR,-2.000102,0.75
QBTZ,QBTS,-2.006635,0.75
QID,QQQ,-1.996871,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.998738,0.75
RKLZ,RKLB,-2.012522,0.75
ZSL,SLV,-2.020998,0.75
SMCZ,SMCI,-2.039033,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.006865,0.75
SPXS,SPY,-2.995993,0.75
SPXU,SPY,-2.994213,0.75
UVIX,SVIX,-1.984847,0.75
TBT,TLT,-1.99734,0.75
TBX,TLT,-1.372594,0.75
TMV,TLT,-2.989532,0.75
TSDD,TSLA,-2.010821,0.75
STSM,TSM,-2.006087,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.73323,0.75
DUG,XLE,-1.990704,0.75
SKF,XLF,-1.996199,0.75
FNGD,XLK,-2.918143,0.75
REW,XLK,-2.006497,0.75
TECS,XLK,-2.99995,0.75
WEBS,XLK,-2.791674,0.75
DRIP,XOP,-1.996593,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
