run_date,underlying,qty_b1,qty_b2,qty_b4,ledger_total,ibkr_position,diff_ledger_minus_ibkr
2026-04-21,FLYT,0.0,0.0,0.0,0.0,-220.0,220.0
2026-04-21,NFXL,-217.0,0.0,0.0,-217.0,0.0,-217.0
2026-04-21,ADBG,0.0,0.0,0.0,0.0,-214.0,214.0
2026-04-21,WULX,0.0,0.0,0.0,0.0,-211.0,211.0
2026-04-21,TSLQ,-5.0,0.0,0.0,-5.0,-213.0,208.0
2026-04-21,HMYY,0.0,0.0,0.0,0.0,-200.0,200.0
2026-04-21,SNAG,0.0,0.0,0.0,0.0,-192.0,192.0
2026-04-21,MRVU,0.0,0.0,0.0,0.0,-190.0,190.0
2026-04-21,CHAU,0.0,0.0,0.0,0.0,-189.0,189.0
2026-04-21,LABD,-13.0,0.0,0.0,-13.0,-200.0,187.0
2026-04-21,NOWL,0.0,0.0,0.0,0.0,-180.0,180.0
2026-04-21,PYPG,0.0,0.0,0.0,0.0,-179.0,179.0
2026-04-21,OSCG,0.0,0.0,0.0,0.0,-176.0,176.0
2026-04-21,RKTL,-437.0,0.0,0.0,-437.0,-264.0,-173.0
2026-04-21,CRDU,0.0,0.0,0.0,0.0,-172.0,172.0
2026-04-21,ETRL,0.0,0.0,0.0,0.0,-171.0,171.0
2026-04-21,XLE,168.0,0.0,0.0,168.0,0.0,168.0
2026-04-21,PBR,168.0,0.0,0.0,168.0,0.0,168.0
2026-04-21,CELH,158.0,0.0,0.0,158.0,0.0,158.0
2026-04-21,SNDU,0.0,0.0,0.0,0.0,-155.0,155.0
2026-04-21,GUSH,0.0,0.0,0.0,0.0,-151.0,151.0
2026-04-21,TSMG,-10.0,0.0,0.0,-10.0,-155.0,145.0
2026-04-21,UPSX,7.0,0.0,0.0,7.0,-138.0,145.0
2026-04-21,HOOW,-143.0,0.0,0.0,-143.0,0.0,-143.0
2026-04-21,CWEB,0.0,0.0,0.0,0.0,-143.0,143.0
2026-04-21,GSX,-141.0,0.0,0.0,-141.0,0.0,-141.0
2026-04-21,UUUG,-23.0,0.0,0.0,-23.0,-163.0,140.0
2026-04-21,MSFL,-265.0,0.0,0.0,-265.0,-398.0,133.0
2026-04-21,OKTG,0.0,0.0,0.0,0.0,-131.0,131.0
2026-04-21,AALG,0.0,0.0,0.0,0.0,-128.0,128.0
2026-04-21,ASTX,-11.0,0.0,0.0,-11.0,-137.0,126.0
2026-04-21,OPEN,633.0,0.0,0.0,633.0,755.0,-122.0
2026-04-21,ORCU,0.0,0.0,0.0,0.0,-118.0,118.0
2026-04-21,RCAX,-245.0,0.0,0.0,-245.0,-361.0,116.0
2026-04-21,PTIR,-330.0,0.0,0.0,-330.0,-445.0,115.0
2026-04-21,TSLW,-113.0,0.0,0.0,-113.0,0.0,-113.0
2026-04-21,SATG,0.0,0.0,0.0,0.0,-112.0,112.0
2026-04-21,SOXL,-155.0,0.0,0.0,-155.0,-43.0,-112.0
2026-04-21,RDTL,0.0,0.0,0.0,0.0,-112.0,112.0
2026-04-21,DUST,-8.0,0.0,0.0,-8.0,-118.0,110.0
2026-04-21,XPEG,0.0,0.0,0.0,0.0,-106.0,106.0
2026-04-21,SLV,-105.0,0.0,0.0,-105.0,0.0,-105.0
2026-04-21,ARMG,0.0,0.0,0.0,0.0,-103.0,103.0
2026-04-21,CRMG,-697.0,0.0,0.0,-697.0,-799.0,102.0
2026-04-21,PLTW,-101.0,0.0,0.0,-101.0,0.0,-101.0
2026-04-21,BEX,0.0,0.0,0.0,0.0,-101.0,101.0
