run_date,underlying,qty_total,qty_b1,qty_b2,qty_b4,qty_b4_plan,plan_b4_usd,realized_b1,realized_b2,realized_b4,ratio_b1,ratio_b2,ratio_b4,ratio_source,split_method
2026-05-18,BE,118.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,held_exposure,held_exposure
2026-05-18,BFF,-4000.0,-4000.0,0.0,0.0,0.0,0.0,-20810.4637502268,0.0,0.0,1.0,0.0,0.0,held_exposure_eod,held_exposure
2026-05-18,BIDU,0.0,0.0,0.0,0.0,0.0,0.0,69.771605,0.0,0.0,1.0,0.0,0.0,universe_beta_fallback,held_exposure
2026-05-18,BITF,0.0,0.0,0.0,0.0,0.0,0.0,-56.890663,0.0,0.0,1.0,0.0,0.0,held_exposure_eod,held_exposure
2026-05-18,BJRI,-5000.0,-5000.0,0.0,0.0,0.0,0.0,14763.977177,0.0,0.0,1.0,0.0,0.0,held_exposure_eod,held_exposure
2026-05-18,BKNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,b4_underlying_only,held_exposure
2026-05-18,BLSH,111.0,111.0,0.0,0.0,0.0,0.0,1615.446758,0.0,0.0,1.0,0.0,0.0,held_exposure,held_exposure
2026-05-18,BMNR,714.0,714.0,0.0,0.0,0.0,0.0,1050.157681,0.0,0.0,1.0,0.0,0.0,held_exposure,held_exposure
2026-05-18,BRK.B,19.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6398587210646375,0.3601412789353624,0.0,held_exposure,held_exposure
2026-05-18,BULL,221.0,221.0,0.0,0.0,0.0,0.0,175.763327,0.0,0.0,1.0,0.0,0.0,held_exposure,held_exposure
2026-05-18,CC,-14523.0,-14523.0,0.0,0.0,0.0,0.0,104248.73671899996,0.0,0.0,1.0,0.0,0.0,held_exposure_eod,held_exposure
2026-05-18,CEG,5.0,5.0,0.0,0.0,0.0,0.0,-795.371121,0.0,0.0,1.0,0.0,0.0,held_exposure,held_exposure
2026-05-18,CELH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-792.729404,0.0,0.0,1.0,b4_underlying_only,held_exposure
2026-05-18,CHNL,0.0,0.0,0.0,0.0,0.0,0.0,53.87704,0.0,0.0,1.0,0.0,0.0,universe_beta_fallback,held_exposure
