symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,19575.61351128,19575.61351128,1
SVIX,SVIX,volatility_etp_bucket5,-21692.3,21692.3,1
